"","n","k","distance","kernel","R2","RMSE","MAE"
"1",2,13,2,"optimal",0.553950512123353,0.102016955533797,0.0741277613412229
"2",3,7,2,"optimal",0.27934135136631,0.129671829374515,0.09255
"3",4,23,2,"optimal",0.475500560718752,0.110625016996563,0.0796367457589502
"1",5,7,2,"optimal",0.445815301767063,0.113712472160775,0.0841506954789448
"2",6,5,2,"optimal",0.4535651866578,0.112914578199364,0.0842301233381811
"3",7,5,2,"optimal",0.438439298517292,0.114466707293015,0.084907554366457
"4",8,5,2,"optimal",0.532931568559225,0.104392931593411,0.077375
"5",9,23,2,"optimal",0.563502812333971,0.100918679972577,0.0652955678532686
"6",10,5,2,"optimal",0.530257417297634,0.104691350445846,0.0715702539962477
"7",11,5,2,"optimal",0.513404143258198,0.106552842454684,0.0719156946098953
"8",12,5,2,"optimal",-0.266946665734248,0.171933301535292,0.114060522501406
"9",13,5,2,"optimal",-0.373586947552364,0.179023034365034,0.119737386162545
"10",14,5,2,"optimal",0.0693000597117934,0.14736205842554,0.09863362091925
"11",15,5,2,"optimal",-0.345607654230688,0.177190347856169,0.107228461283468
"12",16,5,2,"optimal",-0.2327607440735,0.169597807852807,0.101907493818418
"13",17,5,2,"optimal",-0.106407959911303,0.160671364559673,0.0957334246057535
"14",18,23,2,"optimal",-0.106839924956087,0.160702726246676,0.0950832418079118
"15",19,23,2,"optimal",0.133105277783764,0.142221094244227,0.0894663427084029
"16",20,5,2,"optimal",-0.0964850227117462,0.159949242714738,0.0970245837090534
"17",21,23,2,"optimal",0.108819544928304,0.144199469587513,0.0939479650443115
"18",22,5,2,"optimal",0.332598498930125,0.124788460198407,0.0777027339788993
"19",23,5,2,"optimal",0.0169565659547977,0.151449271873675,0.0942403609712894
"20",24,5,2,"optimal",0.199730877698065,0.136646611421496,0.0886066932773683
"21",25,5,2,"optimal",0.243552888267056,0.132852619146452,0.0851161791269107
"22",26,5,2,"optimal",0.239565273033298,0.133202325549536,0.0829878529075697
"23",27,5,2,"optimal",0.264675102628187,0.130984670460746,0.0767382278246783
"24",28,5,2,"optimal",0.262864142097213,0.131145866008173,0.0740432188540375
"25",29,5,2,"optimal",0.249565849216024,0.132323546181773,0.0774102115112771
"26",30,5,2,"optimal",0.250258259472175,0.132262485977726,0.0770664987397895
"27",31,5,2,"optimal",0.208227280625279,0.135919291897616,0.0853537157082627
"28",32,5,2,"optimal",-0.274747326424389,0.172461790722542,0.0982185013692731
"29",33,5,2,"optimal",-0.303178841863742,0.174374448246678,0.104234422224481
"30",34,5,2,"optimal",-0.303705067416333,0.174409651023945,0.103316992436571
"31",35,5,2,"optimal",-0.417706233484848,0.181875399699757,0.106862217753994
"32",36,5,2,"optimal",-0.392783063126083,0.180269633079095,0.103358158763292
"33",37,5,2,"optimal",-0.390622119682612,0.180129732002678,0.101424657487859
"34",38,5,2,"optimal",-0.21541046011058,0.168400090726844,0.0975294753988741
"35",39,5,2,"optimal",-0.216095579297483,0.168447547072944,0.0981726259083192
"36",40,5,2,"optimal",0.149329858807354,0.140883921241093,0.0844862397491748
"37",41,5,2,"optimal",0.138578193612537,0.141771445370324,0.0878109440424102
"38",42,5,2,"optimal",0.105610069874081,0.144458894411766,0.0915688551871029
"39",43,5,2,"optimal",0.144867976920891,0.141252915788727,0.0874241310443579
"40",44,5,2,"optimal",0.111789116949212,0.143959019955772,0.090298380483938
"41",45,5,2,"optimal",0.122763379011681,0.143066915191202,0.0902156001765142
"42",46,5,2,"optimal",0.121722013892243,0.143151807170743,0.0904734146177773
"43",47,5,2,"optimal",0.594629166141132,0.0972539132962976,0.0668429337516473
"44",48,5,2,"optimal",0.708553999191964,0.0824631435706864,0.0650300471708267
"45",49,5,2,"optimal",0.705477728408396,0.0828972086467044,0.062952001326373
"46",50,5,2,"optimal",0.485261945484127,0.109590769075989,0.0794666666666666
"47",51,5,2,"optimal",0.527474842963881,0.105000968249504,0.07205
