"","n","lm_intercept","k","R2","RMSE","MAE"
"1",10,TRUE,5,0.562248067747279,0.101063625119595,0.0785651515151515
"2",11,TRUE,5,0.269264630458023,0.130575260441846,0.0970309523809524
"3",12,TRUE,5,0.168083671554914,0.139322308074518,0.0970297619047619
"4",13,TRUE,5,-0.00948084181548348,0.153472255907488,0.0933666666666667
"5",14,TRUE,5,0.490957650443566,0.108982757851303,0.0819448717948718
"6",15,TRUE,5,0.517946350152415,0.106054359154448,0.0800134615384615
"7",16,TRUE,5,-1.85458375843245,0.258078741084964,0.16134
"8",17,TRUE,5,-1.65325834850182,0.248811589695228,0.141041666666667
"9",18,TRUE,5,-1.56991514835689,0.244872620287909,0.136768333333333
"10",19,TRUE,5,-1.71577396389639,0.251725751761714,0.141991666666667
"11",20,TRUE,5,-1.68673386337003,0.250376267512185,0.151773333333333
"12",21,TRUE,5,-1.56552400412695,0.244663327247873,0.142325
"13",22,TRUE,5,-1.68451783625756,0.250272990618911,0.146128333333333
"14",23,TRUE,5,-1.6843418929923,0.250264789040195,0.148638333333333
"15",24,TRUE,5,-1.82108560706226,0.256560012992412,0.157556666666667
"16",25,TRUE,5,-0.422753433917141,0.182198860940421,0.112830803571429
"17",26,TRUE,7,0.692536504603524,0.0846988700198581,0.0653736842105263
"18",27,TRUE,5,-0.956675807659356,0.213668388240594,0.113486666666667
"19",28,TRUE,7,0.260921940463168,0.131318523568466,0.0906439814814815
"20",29,TRUE,7,0.49348690244537,0.108711672245651,0.0752666666666666
"21",30,TRUE,7,0.484006536391559,0.109724329691144,0.070019696969697
"22",31,TRUE,7,0.503567548965843,0.107624443236158,0.0690888888888889
"23",32,TRUE,5,0.284343862218637,0.129220981817479,0.0874825757575757
"24",33,TRUE,5,-0.0471419680472933,0.156308868483739,0.0822016666666666
"25",34,TRUE,5,-0.122131364642606,0.16180900489981,0.102996666666667
"26",35,TRUE,5,0.111494500554443,0.14398289332403,0.104317592592593
"27",36,TRUE,5,-0.0142471519574425,0.15383414239585,0.0982283333333333
"28",37,TRUE,5,0.494193568443498,0.108635810775865,0.0792274509803922
"29",38,TRUE,5,0.212402202378401,0.135560475282612,0.0943916666666667
"30",39,TRUE,5,-0.371530663144386,0.178888983823301,0.104533333333333
"31",40,TRUE,5,0.251315165237408,0.132169228342436,0.107318253968254
"32",41,TRUE,5,0.161429904413353,0.139878356765291,0.108174074074074
"33",42,TRUE,5,0.354671053348413,0.122707585138887,0.0893453703703704
"34",43,TRUE,5,0.41261765001656,0.117068831225243,0.0899622222222222
"35",44,TRUE,5,0.448991410321205,0.113386153052928,0.0869948717948717
"36",45,TRUE,5,0.493284204639645,0.108733422337998,0.0681433333333333
"37",46,TRUE,5,0.783980284456803,0.0709949620278322,0.0516216666666666
"38",47,TRUE,5,0.435678036814738,0.114747785496017,0.0815612745098039
"39",48,TRUE,5,0.33541044795095,0.124525298385575,0.0946128787878788
"40",49,TRUE,5,0.12148397346576,0.143171205134244,0.107907142857143
"41",50,TRUE,5,0.371063674037133,0.121139053478958,0.0801305555555556
"42",51,TRUE,5,0.50382786558642,0.107596221768125,0.0760285714285714
