"","n","mtry","minnodesize","R2","RMSE","MAE"
"1",2,2,3,0.558911469164572,0.101448053604351,0.0798368817164027
"2",3,2,3,0.611981723913482,0.0951495913079424,0.071372974363461
"3",4,4,10,0.407287939138479,0.11759875355421,0.0737643848214284
"1",5,5,10,0.432431077278608,0.115077426235841,0.071173935846561
"2",6,6,5,-0.098426239332907,0.160090767139619,0.0892284572222223
"3",7,6,6,0.149768818533715,0.140847567345206,0.079956449166667
"4",8,7,3,-0.199955902092278,0.167326019349328,0.093343608333334
"5",9,8,2,-0.0408491143309742,0.155838487616935,0.0897410577777778
"6",10,9,4,0.101961151642188,0.144753275048828,0.0839729486111115
"7",11,8,2,0.119477673975506,0.143334594586794,0.0824981916666665
"8",12,7,7,0.684015345535933,0.0858645369686665,0.0559639743650795
"9",13,5,2,0.657196359323471,0.0894341840588603,0.0606389140674603
"10",14,6,3,0.711445161616944,0.0820531043802734,0.0575206138888889
"11",15,2,3,0.758545868896097,0.0750582019396774,0.052686147176985
"12",16,2,2,0.812588154715192,0.0661270813558175,0.0480301676717069
"13",17,2,8,0.756758950793109,0.0753354298008284,0.0582684006688886
"14",18,4,7,0.756296005716335,0.0754070862663535,0.0564033290211638
"15",19,3,2,0.823267835063963,0.0642153176311908,0.0525748629788904
"16",20,7,6,0.625035176096162,0.0935354198890305,0.0674407102777778
"17",21,4,2,0.712225966378032,0.0819420148315344,0.0626109883333332
"18",22,3,2,0.783653779756612,0.0710485947168142,0.052703171301291
"19",23,3,5,0.822773319030612,0.0643050956332391,0.0517449002209596
"20",24,9,3,0.526996235127596,0.105054131098736,0.0703864000000001
"21",25,5,3,0.687549226122181,0.0853830449473377,0.0619447638888886
"22",26,10,2,0.601181958658944,0.0964646592274339,0.0665375333333332
"23",27,9,2,0.611328599034301,0.0952296370689377,0.0668109833333331
"24",28,8,3,0.693639906992421,0.0845467528814758,0.0601782527777776
"25",29,10,2,0.641879594266016,0.0914103496688737,0.0648181083333332
"26",30,9,2,0.705810124893658,0.0828504167359059,0.0596572666666663
"27",31,10,2,0.607625136953994,0.0956822600301816,0.0677183499999997
"28",32,10,2,0.655563435228525,0.0896469381219786,0.0620409083333332
"29",33,6,2,0.688165256828224,0.0852988324354685,0.0586970416666661
"30",34,6,2,0.705436457108848,0.0829030166211984,0.0599667708333327
"31",35,6,2,0.72224743368591,0.0805025943329921,0.0582607805555553
"32",36,10,2,0.66336773067793,0.0886255021094234,0.0628018249999996
"33",37,10,2,0.709553145423288,0.0823216705779629,0.058019783333333
"34",38,10,4,0.783372043546415,0.0710948410743323,0.0536303583333331
"35",39,9,2,0.785978114962121,0.0706659055721826,0.052230733333333
"36",40,10,4,0.786386131371524,0.0705985138564348,0.0533264972222219
"37",41,5,4,0.861102227732722,0.0569283342659461,0.0462639166666664
"38",42,10,4,0.836476320925262,0.0617690840113493,0.0462932930555556
"39",43,9,2,0.837065492049493,0.0616577074804383,0.0439814166666664
"40",44,8,5,0.85213992358075,0.0587362613350127,0.045064256111111
"41",45,10,2,0.824878721984085,0.0639219912467993,0.0483785111111109
"42",46,9,2,0.818078044919793,0.0651513461719512,0.0506098416666662
"43",47,5,2,0.881868599676467,0.0525005088046604,0.0458288005555555
"44",48,3,5,0.802624009911964,0.0678622097369531,0.0525207541269839
"45",49,6,3,0.877265364573559,0.0535136291634655,0.0452488194444444
"46",50,10,4,0.832040554724001,0.0626012567714751,0.0505924361111108
"47",51,5,4,0.878465289466239,0.0532513965358786,0.0460950930555553
