"","n","lm_intercept","mtry","splitrule","min.node.size","R2","RMSE","MAE"
"1",10,TRUE,4,"variance",4,0.224573890182418,0.134508907856772,0.0752547008580251
"2",11,TRUE,5,"variance",5,0.236013309063359,0.133513054819016,0.0767670729848371
"3",12,TRUE,3,"variance",3,0.204436266776822,0.13624429463891,0.0820504213416868
"4",13,TRUE,4,"variance",4,0.292876902846852,0.128448296169716,0.0806436470861691
"5",14,TRUE,4,"variance",4,0.453139089830845,0.112958593667189,0.0732700613992079
"6",15,TRUE,3,"variance",3,0.503713542038982,0.107608616733937,0.0703561089639956
"7",16,TRUE,3,"variance",3,0.124774113073884,0.142902857657966,0.0858515243038042
"8",17,TRUE,3,"variance",3,0.0368378481797058,0.149909978014525,0.0910736362195904
"9",18,TRUE,3,"variance",3,-0.292091508395846,0.173631082344285,0.105191336403289
"10",19,TRUE,3,"variance",3,-0.266075104414152,0.171874152954081,0.102829883017202
"11",20,TRUE,4,"variance",4,0.120520980948901,0.143249652785229,0.0900905603081977
"12",21,TRUE,3,"variance",3,-0.101421128146251,0.160308864479312,0.100602854189095
"13",22,TRUE,4,"variance",4,0.220718551195978,0.134842875496573,0.0830415977300997
"14",23,TRUE,3,"variance",3,-0.215431611096826,0.168401555998299,0.101606001165227
"15",24,TRUE,3,"variance",3,-0.059815478374077,0.157251923096154,0.098184027471176
"16",25,TRUE,3,"variance",3,-0.122175014059273,0.161812151946678,0.100440188808835
"17",26,TRUE,3,"variance",3,-0.0741757682813,0.158313704677926,0.0959813415173767
"18",27,TRUE,4,"variance",4,-0.012598810135801,0.153709086900733,0.0974816055846834
"19",28,TRUE,3,"variance",3,-0.127532408485268,0.162197947082101,0.108081872491845
"20",29,TRUE,3,"variance",3,0.110800237009821,0.144039135268729,0.0928080342661216
"21",30,TRUE,4,"variance",4,0.0845005360963714,0.146153723260982,0.0921338853892165
"22",31,TRUE,5,"variance",5,0.106143809937269,0.144415784016947,0.0899925861609621
"23",32,TRUE,6,"variance",6,0.422540314490399,0.116075796199612,0.0787038486812279
"24",33,TRUE,3,"variance",3,0.0580936968587705,0.148246581627948,0.0945513151656778
"25",34,TRUE,4,"variance",4,0.56310051172264,0.100965175456818,0.0713288588032171
"26",35,TRUE,6,"variance",6,0.534718967122689,0.104192992333718,0.0749433113169348
"27",36,TRUE,4,"variance",4,0.149348885404151,0.140882345685291,0.0905642788640118
"28",37,TRUE,6,"variance",6,0.530217857478937,0.104695758693897,0.0762012506646017
"29",38,TRUE,3,"variance",3,0.749158075402513,0.0765034284911527,0.0609337322094805
"30",39,TRUE,3,"variance",3,0.31339229510355,0.126571280155778,0.0915463384788405
"31",40,TRUE,6,"variance",6,0.688223326936823,0.0852908898581976,0.0631420604634798
"32",41,TRUE,4,"variance",4,0.346234477566543,0.123507076864027,0.0877948162165407
"33",42,TRUE,4,"variance",4,0.320949769128784,0.125872769239151,0.0881330125423003
"34",43,TRUE,6,"variance",6,0.282941784252248,0.129347501545306,0.0895072755958253
"35",44,TRUE,6,"variance",6,0.400040734782467,0.118315520487171,0.0822971328821814
"36",45,TRUE,4,"variance",4,0.313229621225415,0.126586273157927,0.0873835690592079
"37",46,TRUE,10,"variance",10,0.578040927716418,0.0992238332221266,0.0746184026240872
"38",47,TRUE,7,"variance",7,0.096165706556132,0.145219602615454,0.0989062662724621
"39",48,TRUE,4,"variance",4,0.298425911723671,0.127943317217421,0.0909263227645476
"40",49,TRUE,3,"variance",3,0.452494315368148,0.113025165769447,0.0830549796650693
"41",50,TRUE,10,"variance",10,0.274383458894264,0.130117114421897,0.0905761903453876
"42",51,TRUE,6,"variance",6,0.116364694364215,0.143587742055944,0.0970137867325024
