"","n","C","sigma","R2","RMSE","MAE"
"1",2,0.526315789473684,1,0.397331844842755,0.118582324233457,0.0765964201244072
"2",3,0.947368421052632,1,0.300714614211537,0.127734455887387,0.0847347193307238
"3",4,1.57894736842105,1,0.209901944475808,0.135775475620002,0.10361409931387
"1",5,1.57894736842105,1,0.305465496614101,0.127299808152145,0.102710717849666
"2",6,2,1,0.30141888690061,0.127670116954851,0.108927061547811
"3",7,2,1,0.504449464935445,0.107528802925863,0.0844391763422895
"4",8,1.68421052631579,1,0.449242328857217,0.113360333194789,0.0892821578304423
"5",9,1.05263157894737,0.1,0.700568675374666,0.0835852127252418,0.0536578191518236
"6",10,1.15789473684211,0.1,0.725945299204338,0.0799649121055,0.0490663380547535
"7",11,1.26315789473684,0.1,0.727264715221291,0.079772187293592,0.044301631491039
"8",12,0.526315789473684,0.1,0.639085195938024,0.091766292206576,0.0629018935517565
"9",13,1.15789473684211,0.1,0.687989011673603,0.0853229339550277,0.0579827928794391
"10",14,1.47368421052632,0.1,0.712831805357251,0.0818557147895646,0.0599501389886657
"11",15,1.15789473684211,0.1,0.714886597869495,0.0815623353850838,0.0558279883337153
"12",16,1.68421052631579,0.01,0.778402993705059,0.0719056109708447,0.0518358324071526
"13",17,1.68421052631579,0.01,0.724796609305562,0.0801323218163104,0.0614300234537377
"14",18,1.68421052631579,0.01,0.723217290851191,0.0803619218367082,0.0587005479748632
"15",19,1.57894736842105,0.01,0.74096138747956,0.0777433210454845,0.0592453439340581
"16",20,1.68421052631579,0.01,0.736325175704067,0.0784359514355271,0.060592024025687
"17",21,1.57894736842105,0.01,0.769334841989874,0.073362113743694,0.0583329345258941
"18",22,1.68421052631579,0.01,0.760697552379169,0.0747230183914335,0.0594054977432094
"19",23,2,0.01,0.701222032108075,0.0834939717965741,0.0647266525508179
"20",24,1.36842105263158,0.01,0.798729193951601,0.0685285005460003,0.0544156506136698
"21",25,1.26315789473684,0.01,0.826293379498379,0.0636632817112476,0.0516882515970426
"22",26,2,0.01,0.724752258164665,0.0801387785258568,0.057685476465292
"23",27,2,0.01,0.744766757734791,0.077170169653231,0.0535995200269507
"24",28,2,0.01,0.799738939085011,0.0683563858550213,0.0488207844820055
"25",29,2,0.01,0.767878082408947,0.0735934073611431,0.0528562435085226
"26",30,2,0.01,0.781027142467627,0.0714785903747424,0.0507624598589578
"27",31,2,0.01,0.800503775053298,0.0682257278126919,0.0519853236895
"28",32,2,0.01,0.743616730223277,0.077343830560806,0.0515731680033607
"29",33,2,0.01,0.703934445676759,0.0831141135954675,0.0589420375031368
"30",34,2,0.01,0.704792781444735,0.0829935463822045,0.0604083297024087
"31",35,2,0.01,0.66876880772339,0.0879116538262201,0.0674659104205704
"32",36,2,0.01,0.691040609395345,0.084904661765896,0.0653884636697933
"33",37,2,0.01,0.712614361775969,0.0818866994738564,0.0626608672502214
"34",38,2,0.01,0.783633145473531,0.0710519828089649,0.055267362669285
"35",39,2,0.01,0.78167776018114,0.0713723218779079,0.0543572957089295
"36",40,2,0.01,0.799807979512346,0.0683446018344761,0.0532096854197405
"37",41,2,0.01,0.799197542347148,0.0684487226917101,0.0532592321579097
"38",42,2,0.01,0.796922002497573,0.0688354684762013,0.0533397382775893
"39",43,2,0.01,0.806423631007923,0.0672058388080313,0.051748874175262
"40",44,2,0.01,0.817062898762174,0.0653328694261388,0.0478112021386036
"41",45,2,0.01,0.813791018442513,0.0659145283302041,0.0473773747854811
"42",46,2,0.01,0.805031326498181,0.0674470958948159,0.0482155430434479
"43",47,2,0.01,0.815308357894258,0.0656454239820358,0.0460653470313041
"44",48,2,0.01,0.829776333147738,0.0630218005750827,0.0475201218492042
"45",49,2,0.01,0.823995637410182,0.0640829583794685,0.0482995335184398
"46",50,2,0.01,0.827960882841309,0.0633569757866545,0.0481091904698871
"47",51,2,0.01,0.828799050531522,0.063202451022657,0.0494595966607136
