"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"1",2,50,2,0.1,10,0.579492814326665,0.0990529802878468,0.0801453365157177
"2",3,50,2,0.1,10,0.597135595676225,0.0969527840276207,0.0719391383295188
"3",4,100,2,0.1,10,0.0557871586495415,0.14842798360307,0.122454844470758
"1",5,50,1,0.1,10,0.433056177015594,0.115014037734887,0.0907480087575137
"2",6,100,2,0.1,10,-0.457686126008733,0.184422050507485,0.143127708104866
"3",7,100,2,0.1,10,-0.482066010109225,0.185957890073583,0.142391770432202
"4",8,100,2,0.1,10,-0.711712531733756,0.199846364135821,0.141038331434041
"5",9,100,1,0.1,10,-0.0337675876069714,0.155307451041409,0.116102878740141
"6",10,100,2,0.1,10,0.0805677403667143,0.146467309880151,0.123605502764575
"7",11,100,2,0.1,10,0.318766344768645,0.126074973057767,0.10043739322093
"8",12,100,2,0.1,10,0.20596616298302,0.136113230384486,0.110142049852574
"9",13,100,2,0.1,10,0.100390052640242,0.144879841035352,0.116386316720214
"10",14,100,2,0.1,10,0.348919914036048,0.123253154246184,0.0908307304678849
"11",15,100,2,0.1,10,0.27618472487854,0.129955513112665,0.093069732485552
"12",16,100,2,0.1,10,0.527395801259373,0.105009749907303,0.082509260891062
"13",17,100,2,0.1,10,0.60810411832377,0.0956238413860692,0.0790776569914092
"14",18,100,2,0.1,10,0.629688723754654,0.0929531913036947,0.0713362798325712
"15",19,100,2,0.1,10,0.629688723754654,0.0929531913036947,0.0713362798325712
"16",20,100,2,0.1,10,0.594843738866211,0.0972281704484168,0.0744418193293466
"17",21,100,2,0.1,10,0.653582201616628,0.0899043975024126,0.0723847325080736
"18",22,100,2,0.1,10,0.596339354934614,0.0970485478244822,0.0783610428450808
"19",23,100,2,0.1,10,0.644532531447658,0.0910711387490664,0.0761198085288144
"20",24,100,2,0.1,10,0.694077280316969,0.0844863799695039,0.0693043117516407
"21",25,100,1,0.1,10,0.57818250480339,0.099207185873214,0.082102554438399
"22",26,100,1,0.1,10,0.621179404936732,0.0940151032380719,0.0779181036489333
"23",27,100,1,0.1,10,0.626472173613999,0.0933560174734149,0.0763124704695649
"24",28,100,1,0.1,10,0.63831865918217,0.0918636904363962,0.0765477670497497
"25",29,100,1,0.1,10,0.63831865918217,0.0918636904363962,0.0765477670497497
"26",30,100,1,0.1,10,0.63831865918217,0.0918636904363962,0.0765477670497497
"27",31,100,1,0.1,10,0.635150332298369,0.0922651758540421,0.0729095694033249
"28",32,100,1,0.1,10,0.599651580522005,0.0966495631675497,0.0761357089646832
"29",33,100,1,0.1,10,0.630387400049118,0.0928654612542079,0.0757778812473179
"30",34,100,1,0.1,10,0.63400319178875,0.0924101095976737,0.0750622226226152
"31",35,100,1,0.1,10,0.643649590006326,0.0911841738632133,0.0757385444247163
"32",36,100,1,0.1,10,0.678134555011882,0.0866598660253379,0.0717227991159598
"33",37,100,1,0.1,10,0.627771530182194,0.0931935015630239,0.0764748689405069
"34",38,100,1,0.1,10,0.66429635336376,0.0885031779964316,0.0708035365982667
"35",39,100,1,0.1,10,0.681090472221968,0.0862610188787576,0.0669821626838132
"36",40,100,1,0.1,10,0.630046448125351,0.0929082836027588,0.0752480344144613
"37",41,100,1,0.1,10,0.630046448125351,0.0929082836027588,0.0752480344144613
"38",42,100,1,0.1,10,0.701469725754748,0.0834593554316004,0.0658662612853412
"39",43,100,2,0.1,10,0.691453670284637,0.0848478864648193,0.0695364408756011
"40",44,100,1,0.1,10,0.688660002410277,0.0852311395733909,0.067685662901372
"41",45,100,1,0.1,10,0.656003543188221,0.0895896460885008,0.071353655507598
"42",46,100,1,0.1,10,0.673635044619042,0.0872634935239816,0.0725094555312616
"43",47,100,1,0.1,10,0.682190400307856,0.08611213202802,0.0666588266454935
"44",48,100,1,0.1,10,0.711802779347479,0.0820022427442889,0.0598752883756933
"45",49,100,1,0.1,10,0.719852167758674,0.0808489659044666,0.0575474585416262
"46",50,100,2,0.1,10,0.676193666414665,0.0869207581894999,0.0737859317080649
"47",51,100,2,0.1,10,0.670628624788354,0.0876645005518966,0.075378262143793
