"","n","k","R2","RMSE","MAE"
"1",2,21,0.462614592928723,0.123530517258917,0.102796428571429
"2",3,7,0.688154718423613,0.0941024464356271,0.0708059523809524
"3",4,7,0.650074660327202,0.0996825230828518,0.0848642857142858
"1",5,5,0.4353344176224,0.126627194288326,0.0945166666666667
"2",6,7,0.612474728706071,0.104901413468166,0.0803154761904762
"3",7,7,0.397184588196056,0.13083486755459,0.0977821428571429
"4",8,7,0.452570482791686,0.124679608785634,0.0880345238095238
"5",9,5,0.241745527509356,0.146736722965544,0.102863333333333
"6",10,5,0.38043867464491,0.132639683101753,0.100233333333333
"7",11,5,0.387735407182968,0.131856303982783,0.102071666666667
"8",12,5,0.441014249178854,0.125988728860958,0.0919166666666666
"9",13,5,0.44844914731988,0.125148055385078,0.0907016666666666
"10",14,5,0.457302827142867,0.124139532381913,0.0899483333333333
"11",15,5,0.458419327108411,0.124011769468332,0.0902416666666667
"12",16,5,0.460172227922329,0.123810916185394,0.0885416666666666
"13",17,5,0.497836006716266,0.119413687657655,0.0858833333333333
