"","n","lm_intercept","mtry","splitrule","min.node.size","R2","RMSE","MAE"
"1",10,TRUE,3,"variance",3,0.115839928554454,0.158451653184791,0.102368983945288
"2",11,TRUE,3,"variance",3,0.139544785865101,0.156313130509312,0.102594528232354
"3",12,TRUE,3,"variance",3,0.225192982705661,0.148329693128818,0.0963371948371355
"4",13,TRUE,3,"variance",3,-0.225496421670115,0.186546604850568,0.107935189162511
"5",14,TRUE,3,"variance",3,-0.340486470944115,0.195102369153177,0.114924590826827
"6",15,TRUE,3,"variance",3,-0.354141641635544,0.19609357861002,0.114948493826792
"7",16,TRUE,3,"variance",3,-0.368723197308374,0.197146530923232,0.118464322153655
"8",17,TRUE,3,"variance",3,-0.301065015604457,0.192212144957397,0.115727775837735
