"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"1",2,10,1,0.1,10,0.280891405429057,0.142898794542958,0.124496146769511
"2",3,50,2,0.1,10,0.240950419090311,0.146813637140469,0.122368578228174
"3",4,100,2,0.1,10,-0.0852857003144101,0.17555102354094,0.150280973812088
"1",5,50,2,0.1,10,0.405289659468194,0.129952329945168,0.106987691506805
"2",6,100,2,0.1,10,0.218304720338981,0.14898758146766,0.131193420447402
"3",7,100,2,0.1,10,0.403075927601901,0.130193970605279,0.114360387722662
"4",8,100,2,0.1,10,0.495791709616029,0.119656505854985,0.104129382790601
"5",9,100,2,0.1,10,0.477728453647615,0.121780992303122,0.102893608428498
"6",10,100,2,0.1,10,0.505092626067209,0.118547742429412,0.0996229286884691
"7",11,100,2,0.1,10,0.479948271503642,0.121521913014057,0.108269315226868
"8",12,100,2,0.1,10,0.542745355464894,0.113948965906063,0.099823062033197
"9",13,100,2,0.1,10,0.530983205995584,0.115405238375961,0.103514398821363
"10",14,100,2,0.1,10,0.532424969144284,0.115227723319129,0.104123104475509
"11",15,100,2,0.1,10,0.459737304729215,0.12386078153151,0.106457729235794
"12",16,100,1,0.1,10,0.410059386340859,0.129430155619762,0.107421280727278
"13",17,100,2,0.1,10,0.417710561296592,0.128588100835372,0.107170964145702
