"","n","lm_intercept","k","R2","RMSE","MAE"
"1",10,TRUE,5,-0.866894521782175,0.230245534592964,0.14182
"2",11,TRUE,5,-1.24655178725564,0.252574523721878,0.167225
"3",12,TRUE,5,-0.496479920543203,0.206142136338376,0.130857142857143
"4",13,TRUE,5,-0.167790523258186,0.18210161558866,0.10979
"5",14,TRUE,5,-0.178397081591763,0.182926723125227,0.111015
"6",15,TRUE,5,-0.171676793857686,0.182404370378929,0.11069
"7",16,TRUE,5,-0.144001970733908,0.180237316151049,0.116013333333333
"8",17,TRUE,5,-0.670642291348375,0.217807615798897,0.130665
