"","n","mtry","minnodesize","R2","RMSE","MAE"
"48",49,8,2,0.882370343982829,0.081950247591879,0.0521446489734299
"49",50,6,3,0.893543618642897,0.0779610547843212,0.0508704255493601
"50",51,10,4,0.881106497637538,0.0823893197012076,0.0520831594306419
"51",52,9,3,0.882758777194929,0.0818148288492764,0.05201672942029
"52",53,10,4,0.881184499700838,0.0823622888239604,0.0530199629140788
"53",54,10,4,0.883474199891233,0.081564823985487,0.0526022860248448
"54",55,10,3,0.881920949084192,0.0821066406174185,0.05191726563147
"55",56,10,4,0.880764861456309,0.0825076061551589,0.0526765833695653
"56",57,8,3,0.876560759986202,0.0839495700282838,0.0533613333333334
"57",58,10,2,0.883581565628649,0.0815272388085936,0.0518889508333335
"58",59,9,3,0.881099591426333,0.0823917125560268,0.0517974972981366
"59",60,6,5,0.866144544118309,0.0874198174506123,0.0562493826150894
"60",61,9,6,0.870342834534723,0.0860379626662358,0.0554119386456177
"61",62,7,2,0.870797845429773,0.0858868618121472,0.0545055154977572
"62",63,8,2,0.877931524579241,0.0834821483433657,0.0536823914251209
"63",64,9,4,0.872064784466488,0.0854647268766752,0.0541091828959627
"64",65,7,2,0.867952593728844,0.0868273995054345,0.0553553260671937
"65",66,10,5,0.872414892444594,0.08534770521949,0.0539138759886129
"66",67,6,4,0.861292238532632,0.0889902113015674,0.0548403315352102
"67",68,9,3,0.877705271922274,0.0835594791763412,0.051897497846791
"68",69,9,4,0.870449050197911,0.0860027141260249,0.0526495451397517
"69",70,8,3,0.869763194033338,0.0862300672596251,0.0526692880408904
"70",71,7,2,0.873017121510497,0.0851460372240234,0.0525809166527073
"71",72,9,3,0.864621051241797,0.0879158997675827,0.0527755455590062
"72",73,7,3,0.865050831161825,0.0877762380089228,0.0545809705253624
"73",74,10,4,0.866536712949158,0.0872916625129014,0.0533557806884058
"74",75,8,3,0.878511557519928,0.0832835710485565,0.0531164129296066
"75",76,9,4,0.875120113490174,0.0844380323025767,0.0532721168530021
"76",77,6,5,0.860489376603997,0.0892473842373075,0.0559097018702554
"77",78,6,2,0.860115949202208,0.0893667484332541,0.0543396855001884
"78",79,8,2,0.86713174582037,0.0870968545134372,0.0530292285919758
"79",80,9,3,0.871111602673937,0.0857825136876822,0.0536393671014494
"80",81,10,2,0.860064583102296,0.0893831548783554,0.0537212154917186
"81",82,9,6,0.853525736507418,0.091447643351215,0.0563109395419255
"82",83,10,2,0.870349669062376,0.0860356950068194,0.0527935714596275
"83",84,10,2,0.869585538575193,0.0862888602456919,0.0523492794565218
"84",85,8,3,0.863531344296955,0.0882690217016963,0.0543372322463768
"85",86,8,2,0.865139791932483,0.0877473014501892,0.0532054232349899
