"","n","lm_intercept","k","R2","RMSE","MAE"
"62",71,TRUE,5,0.813605864044982,0.103159203218596,0.0636817391304348
"63",72,TRUE,5,0.814763439083347,0.102838376337951,0.0628019565217391
"64",73,TRUE,5,0.817458175118255,0.102087613267275,0.063424347826087
"65",74,TRUE,5,0.825317284720741,0.099865808767914,0.0635058695652174
"66",75,TRUE,5,0.739293973355228,0.122002124072743,0.0625839130434783
"67",76,TRUE,5,0.72252286074214,0.125865139266632,0.066255
"68",77,TRUE,5,0.726392634365205,0.124984382485243,0.0656728260869565
"69",78,TRUE,5,0.714050410070272,0.127772265591876,0.0659416149068323
"70",79,TRUE,5,0.715689089101392,0.127405630054774,0.0648739130434783
"71",80,TRUE,5,0.714989148520418,0.127562362612834,0.0661551242236025
"72",81,TRUE,5,0.878708138029328,0.0832161631754027,0.0536329395085066
"73",82,TRUE,5,0.856314128867256,0.0905730284260213,0.0563226086956522
"74",83,TRUE,5,0.839118021406735,0.0958397243363605,0.0574323913043478
"75",84,TRUE,5,0.857230167742698,0.0902838522023758,0.0571448757763975
"76",85,TRUE,5,0.856065529928528,0.0906513472884843,0.0593430434782609
"77",86,TRUE,5,0.856836015248079,0.0904083920931545,0.0591580434782609
"78",87,TRUE,5,0.845073134865856,0.0940492254272225,0.0573734472049689
"79",88,TRUE,5,0.84944593693595,0.0927124583149255,0.0589271739130435
"80",89,TRUE,5,0.851138434868628,0.0921898581917564,0.0584318322981367
"81",90,TRUE,5,0.84179230099049,0.0950398327971022,0.0592695652173913
"82",91,TRUE,5,0.830534268631559,0.0983632345754707,0.0633405279503106
"83",92,TRUE,5,0.841211556605497,0.0952141077892035,0.0598096273291926
"84",93,TRUE,5,0.838284621149089,0.096087637991577,0.0596090062111801
"85",94,TRUE,5,0.837413554459751,0.0963460745568804,0.0602571428571429
"86",95,TRUE,5,0.828173799733112,0.0990459107204067,0.0613710869565217
"87",96,TRUE,5,0.824527113100302,0.100091423795405,0.0626845652173913
"88",97,TRUE,5,0.857729795530479,0.0901257380743484,0.0585649758454106
"89",98,TRUE,5,0.820485607498266,0.101237518973087,0.0638415217391304
"90",99,TRUE,5,0.85849290848384,0.0898837035864903,0.0581320048309179
"91",100,TRUE,5,0.825490246574724,0.0998163555257092,0.0587810869565218
"92",101,TRUE,5,0.824565214552004,0.100080556488044,0.0577954347826087
"93",102,TRUE,5,0.824121262266453,0.100207107554044,0.0577789130434783
"94",103,TRUE,5,0.848030560488728,0.0931472392090987,0.0574547748447205
"95",104,TRUE,5,0.843744986569974,0.0944514950774219,0.0596563664596273
"96",105,TRUE,5,0.83307395929005,0.0976233940913398,0.0568032608695652
"97",106,TRUE,5,0.84949637871278,0.0926969257785938,0.0599372670807454
"98",107,TRUE,5,0.847748494869981,0.0932336429414368,0.0585582298136646
"99",108,TRUE,5,0.848520426111318,0.0929969903793106,0.0580234472049689
"100",109,TRUE,5,0.838891417172878,0.0959071962977017,0.0597145962732919
"101",110,TRUE,5,0.855075634811972,0.0909625360112353,0.0563833333333333
"102",111,TRUE,5,0.852960135820898,0.0916240327513298,0.0563503623188406
"103",112,TRUE,5,0.877735285379418,0.0835492250027653,0.0527841897233202
"104",113,TRUE,5,0.874486027220912,0.0846521308490006,0.0543207509881423
"105",114,TRUE,5,0.870994751885411,0.0858213902805657,0.0558897727272727
"106",115,TRUE,5,0.874923291009183,0.0845045472563863,0.0545013833992095
"107",116,TRUE,5,0.878280095498129,0.0833628699940536,0.0552494983277592
"108",117,TRUE,5,0.837093148201943,0.0964409615918441,0.0590136645962733
"109",118,TRUE,5,0.817514449172666,0.102071876252664,0.0628626086956522
"110",119,TRUE,5,0.829127868638972,0.0987705506105079,0.0596250970496894
"111",120,TRUE,5,0.780180450215106,0.112027595222357,0.0673036956521739
