"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"42",43,100,2,0.1,10,0.79767464155057,0.107477366327765,0.06797219653181
"43",44,100,2,0.1,10,0.790589183207109,0.109343107404208,0.0684555331194768
"44",45,100,2,0.1,10,0.790589183207109,0.109343107404208,0.0684555331194768
"45",46,100,2,0.1,10,0.781906358073004,0.111586937592776,0.0688701024624093
"46",47,100,2,0.1,10,0.783375822593438,0.111210378739813,0.0691198814557233
"47",48,100,2,0.1,10,0.786811635790821,0.110324915921481,0.0687743453251117
"48",49,100,2,0.1,10,0.797250818885626,0.10758987697487,0.0674989445823544
"49",50,100,2,0.1,10,0.786792543648793,0.110329855899832,0.0692628440716168
"50",51,100,2,0.1,10,0.786792543648793,0.110329855899832,0.0692628440716168
"51",52,100,2,0.1,10,0.809391400426636,0.104318924699503,0.0662607929728613
"52",53,100,2,0.1,10,0.834201025703476,0.0972932646454644,0.065239121673714
"53",54,100,2,0.1,10,0.785442441565033,0.110678627710318,0.0690398498992031
"54",55,100,2,0.1,10,0.785442441565033,0.110678627710318,0.0690398498992031
"55",56,100,2,0.1,10,0.785442441565033,0.110678627710318,0.0690398498992031
"56",57,100,2,0.1,10,0.785442441565033,0.110678627710318,0.0690398498992031
"57",58,100,2,0.1,10,0.78579361549163,0.110588014810156,0.0690037198719508
"58",59,100,2,0.1,10,0.82785717996168,0.0991371234118939,0.0640423624851421
"59",60,100,2,0.1,10,0.800774350306147,0.106650889610882,0.068423244065682
"60",61,100,2,0.1,10,0.804313491499456,0.105699345653685,0.0673313979911615
"61",62,100,2,0.1,10,0.805129402397849,0.105478759850627,0.0678167663239901
"62",63,100,2,0.1,10,0.805129402397849,0.105478759850627,0.0678167663239901
"63",64,100,2,0.1,10,0.799675040449749,0.106944730001645,0.0664686453108346
"64",65,100,2,0.1,10,0.799675040449749,0.106944730001645,0.0664686453108346
"65",66,100,2,0.1,10,0.799687625444567,0.106941370659866,0.0660021702142236
"66",67,100,2,0.1,10,0.806886931870798,0.105002028329258,0.0638827406285907
"67",68,100,2,0.1,10,0.79978509850681,0.106915348375192,0.0661911823131934
"68",69,100,2,0.1,10,0.810419740150093,0.104037142097665,0.0633308095863171
"69",70,100,2,0.1,10,0.808692502687852,0.104510000942825,0.0651099697610915
"70",71,100,2,0.1,10,0.802770364061707,0.106115284566639,0.0654152556192688
"71",72,100,2,0.1,10,0.801527126512928,0.106449208164254,0.0657250930229788
"72",73,100,2,0.1,10,0.801527126512928,0.106449208164254,0.0657250930229788
"73",74,100,2,0.1,10,0.803281130952747,0.105977791765722,0.0660796362834499
"74",75,100,2,0.1,10,0.803281130952747,0.105977791765722,0.0660796362834499
"75",76,100,2,0.1,10,0.813453068964585,0.103201476516933,0.0649934422028702
"76",77,100,2,0.1,10,0.813453068964585,0.103201476516933,0.0649934422028702
"77",78,100,2,0.1,10,0.813453068964585,0.103201476516933,0.0649934422028702
"78",79,100,2,0.1,10,0.813453068964585,0.103201476516933,0.0649934422028702
"79",80,100,2,0.1,10,0.806876990097222,0.10500473113173,0.0648775431830206
"80",81,100,2,0.1,10,0.806876990097222,0.10500473113173,0.0648775431830206
"81",82,100,2,0.1,10,0.806876990097222,0.10500473113173,0.0648775431830206
"82",83,100,2,0.1,10,0.801547161965755,0.106443835107779,0.0655254727555681
"83",84,100,2,0.1,10,0.801547161965755,0.106443835107779,0.0655254727555681
"84",85,100,2,0.1,10,0.801547161965755,0.106443835107779,0.0655254727555681
"85",86,100,2,0.1,10,0.796965570458788,0.107665534632674,0.0671169389343108
"86",87,100,2,0.1,10,0.796965570458788,0.107665534632674,0.0671169389343108
"87",88,100,2,0.1,10,0.794766736101204,0.108246965976616,0.06752744978289
"88",89,100,2,0.1,10,0.794766736101204,0.108246965976616,0.06752744978289
"89",90,100,2,0.1,10,0.796090062626784,0.107897418014117,0.066599125194621
"90",91,100,2,0.1,10,0.796090062626784,0.107897418014117,0.066599125194621
