"","n","k","R2","RMSE","MAE"
"45",46,5,0.895608431317105,0.0772012919749967,0.0550402173913044
"46",47,5,0.895181625012278,0.0773589502424167,0.0533952173913044
"47",48,5,0.86566273651694,0.087577008274209,0.0586232608695652
"48",49,5,0.861823750587305,0.0888195475694105,0.0601102173913044
"49",50,5,0.860186596563899,0.0893441785894643,0.0599463043478261
"50",51,5,0.860045464408286,0.0893892606622246,0.0600817391304348
"51",52,5,0.857667770351491,0.0901453818779034,0.0609197826086956
"52",53,5,0.855789361228164,0.090738272496517,0.0606173913043478
"53",54,5,0.871567575030801,0.0856306415596254,0.0578291304347826
"54",55,5,0.871043041182191,0.0858053264283649,0.0582813043478261
"55",56,5,0.870007376245694,0.0861491925516118,0.0589755797101449
"56",57,5,0.867920868674299,0.0868378292390852,0.0593910869565217
"57",58,5,0.863590993174099,0.0882497289070845,0.0607960869565217
"58",59,5,0.852835332891106,0.0916629083392917,0.0624686956521739
"59",60,5,0.853723015703942,0.0913860393676428,0.06217
"60",61,5,0.854148674303115,0.091252978128888,0.0617978260869565
"61",62,5,0.861130178833301,0.0890421821385797,0.0603669565217391
"62",63,5,0.869367609336152,0.0863609267022394,0.058644347826087
"63",64,5,0.863981600335446,0.0881232867856905,0.059079347826087
"64",65,5,0.858760174484343,0.0897987812992253,0.0601022826086957
"65",66,5,0.862298927286145,0.0886666945032374,0.0588670652173913
"66",67,5,0.862298927286145,0.0886666945032374,0.0588670652173913
"67",68,5,0.859340671624983,0.0896140543373784,0.0590702173913043
"68",69,5,0.860375155213012,0.0892839114724825,0.0580910869565217
"69",70,5,0.860039939489891,0.0893910250333989,0.05763
"70",71,5,0.860906367473318,0.0891139062490054,0.0572213043478261
"71",72,5,0.861593689406125,0.0888934583596028,0.0569234782608696
"72",73,5,0.859020579023768,0.0897159618874552,0.0582034782608696
"73",74,5,0.861349218430546,0.0889719312357897,0.0580926086956522
"74",75,5,0.865142217315442,0.087746512404371,0.0578536956521739
"75",76,5,0.867270046614162,0.0870515137345599,0.0563195652173913
"76",77,5,0.871121408284849,0.0857792505314609,0.0560610869565217
"77",78,5,0.87096452040227,0.0858314455146273,0.0561415217391304
"78",79,5,0.869012404298356,0.0864782598214091,0.0559458695652174
"79",80,5,0.871419753954344,0.0856799062740526,0.0551095652173913
"80",81,5,0.871536204536538,0.0856410988547174,0.0550154347826087
"81",82,5,0.870925259974234,0.0858445020902937,0.055485652173913
"82",83,5,0.87116084932936,0.0857661239055526,0.0547777173913043
"83",84,5,0.870948949194633,0.0858366241637338,0.0553741304347826
"84",85,5,0.870162835493275,0.086097663877255,0.055898768115942
"85",86,5,0.871596409469483,0.0856210285273831,0.0545971739130435
"86",87,5,0.870586732879279,0.085957001485323,0.0553347826086957
"87",88,5,0.866351252228118,0.0873522917496332,0.056220652173913
"88",89,5,0.865869109620019,0.0875097131503251,0.0567295652173913
"89",90,5,0.864345986790008,0.088005168697022,0.057179347826087
"90",91,5,0.859156105747961,0.0896728285212416,0.059021847826087
"91",92,5,0.859936663944816,0.0894239994562084,0.0582377536231884
"92",93,5,0.857244339463383,0.0902793711811816,0.0583073913043478
"93",94,5,0.858715465843274,0.0898129928142965,0.0581360869565217
"94",95,5,0.8610576941124,0.0890654174091205,0.0575497826086957
"95",96,5,0.86361799527036,0.0882409939794326,0.0567342391304348
"96",97,5,0.861577269070695,0.0888987313023865,0.0568825
"97",98,5,0.861745037063505,0.088844842452642,0.0566797826086957
"98",99,5,0.861985133644012,0.0887676639861905,0.0566602173913044
"99",100,5,0.860455821991559,0.0892581163280673,0.0574082608695652
"100",101,5,0.861792248500223,0.0888296717465999,0.0563126086956522
"101",102,5,0.864808600810602,0.0878549807550959,0.0556978260869565
"102",103,5,0.864527075109763,0.0879464088052442,0.0560010869565217
"103",104,5,0.863496620714117,0.088280250733475,0.0562530434782609
"104",105,5,0.860545613909618,0.0892293944305058,0.0562515217391304
"105",106,5,0.859902177115657,0.0894350079059114,0.0566067391304348
"106",107,5,0.858612407284196,0.0898457434277067,0.0567534057971015
"107",108,5,0.859333221677197,0.0896164274867231,0.0565597463768116
"108",109,5,0.858313608029012,0.0899406303697297,0.0568186956521739
"109",110,5,0.858914621369637,0.0897496700248264,0.0563091304347826
"110",111,5,0.859130870864054,0.0896808614646597,0.0559708695652174
"111",112,5,0.863038311408369,0.0884283267619208,0.0558113043478261
"112",113,5,0.862701962567173,0.0885368407830628,0.056141884057971
"113",114,5,0.862701962567173,0.0885368407830628,0.056141884057971
"114",115,5,0.867887153649882,0.0868489118101586,0.0550532608695652
"115",116,5,0.864711903829733,0.0878863947093064,0.0565105434782609
"116",117,5,0.868105351601392,0.0867771622179977,0.0550419565217391
"117",118,5,0.86501925174643,0.0877865076540066,0.0559628260869565
"118",119,5,0.863473878916319,0.0882876042803587,0.0565308695652174
"119",120,5,0.864870572118216,0.0878348422250285,0.0564554347826087
