"","n","k","distance","kernel","R2","RMSE","MAE"
"71",72,5,2,"optimal",0.869082525676872,0.0864551095890162,0.0529856584828231
"72",73,5,2,"optimal",0.866394728354168,0.0873380826821602,0.0543573032089768
"73",74,5,2,"optimal",0.865203318396552,0.0877266321494602,0.0545641623166489
"74",75,5,2,"optimal",0.876514947488404,0.0839651468526311,0.0524249891885841
"75",76,5,2,"optimal",0.865010920547448,0.087789216764705,0.0541552509190645
"76",77,5,2,"optimal",0.867006239569675,0.0871379802870958,0.0537228852802016
"77",78,5,2,"optimal",0.877146547540942,0.083750139544287,0.0516289573774819
"78",79,5,2,"optimal",0.877367544235658,0.0836747780680014,0.0513716025008272
"79",80,5,2,"optimal",0.878219128268496,0.0833837448337016,0.0512104331935946
"80",81,5,2,"optimal",0.873142410131266,0.0851040218658613,0.0520005470687296
"81",82,5,2,"optimal",0.874339991846363,0.0847013628651591,0.0521616851038242
"82",83,5,2,"optimal",0.869764127059964,0.0862297583796113,0.0533443294569673
"83",84,5,2,"optimal",0.870307780758771,0.086049592380787,0.0529279616171514
"84",85,5,2,"optimal",0.871380396006532,0.0856930184252943,0.0524200218296917
"85",86,5,2,"optimal",0.85678940455635,0.0904231082760097,0.0551301681833666
"86",87,5,2,"optimal",0.856232740022353,0.0905986767048352,0.0563668959289154
"87",88,5,2,"optimal",0.848224367171594,0.0930878249058395,0.0575024810665086
"88",89,5,2,"optimal",0.848194990322901,0.0930968332511993,0.0575149800965305
"89",90,5,2,"optimal",0.847980257193894,0.0931626542338918,0.0576908101362589
"90",91,5,2,"optimal",0.856126569405705,0.0906321236181406,0.0562066025275713
"91",92,5,2,"optimal",0.856627717360945,0.0904741384893446,0.0558347815141196
"92",93,5,2,"optimal",0.854796535766177,0.0910500828696428,0.0565173509328226
"93",94,5,2,"optimal",0.857523171836963,0.0901911606147884,0.0562117077869172
"94",95,5,2,"optimal",0.858225234282924,0.0899686752345155,0.0555648125844726
"95",96,5,2,"optimal",0.859534957689165,0.0895521431280948,0.0561498214642274
"96",97,5,2,"optimal",0.858702226162457,0.0898172008739724,0.0558335794100549
"97",98,5,2,"optimal",0.859038597842033,0.0897102283298228,0.0553874643581643
"98",99,5,2,"optimal",0.860037195129321,0.089391901426282,0.0555629380939931
"99",100,5,2,"optimal",0.861911382194181,0.0887913783501659,0.0551382359675728
"100",101,5,2,"optimal",0.860371523308076,0.0892850726861998,0.0546697437639535
"101",102,5,2,"optimal",0.862364546532573,0.0886455656373741,0.0541647006058397
"102",103,5,2,"optimal",0.861252777642805,0.0890028687879495,0.0546344225765902
"103",104,5,2,"optimal",0.859043804878819,0.0897085713912359,0.0551061133791187
"104",105,5,2,"optimal",0.858646502490779,0.0898349097547399,0.0552968396611523
"105",106,5,2,"optimal",0.858895038521214,0.0897558984987394,0.0556006329833225
"106",107,5,2,"optimal",0.85941747449477,0.0895895854436519,0.0545921817972466
"107",108,5,2,"optimal",0.85904202997393,0.0897091361896851,0.0548471362143102
"108",109,5,2,"optimal",0.858011587914387,0.0900364385091892,0.0545195991376748
"109",110,5,2,"optimal",0.858903699400322,0.0897531438935617,0.0541413113461632
"110",111,5,2,"optimal",0.858304426374229,0.0899435445184686,0.0547497287193982
"111",112,5,2,"optimal",0.858683310940464,0.089823212488287,0.0548760166830389
"112",113,5,2,"optimal",0.859102552847456,0.0896898749955974,0.0551002003586058
"113",114,5,2,"optimal",0.864925308817501,0.0878170508512661,0.0543203887681106
"114",115,5,2,"optimal",0.865595449965126,0.0875989382177311,0.0541648678322797
"115",116,5,2,"optimal",0.866520959010858,0.0872968142925276,0.0534601956307897
"116",117,5,2,"optimal",0.867006172879562,0.0871380021348915,0.0537543366687747
"117",118,5,2,"optimal",0.866538531904596,0.0872910676669753,0.0538760605248563
"118",119,5,2,"optimal",0.865298075538596,0.0876957924201587,0.054519721648657
"119",120,5,2,"optimal",0.865367783011702,0.0876730984490514,0.0542753482423072
