"","n","lm_intercept","mtry","splitrule","min.node.size","R2","RMSE","MAE"
"1",10,TRUE,2,"variance",2,0.738906189494799,0.155997558839334,0.103024751711164
"2",11,TRUE,2,"variance",2,0.740796067267183,0.155431954179982,0.106202082284342
"3",12,TRUE,2,"variance",2,0.708551077276112,0.164816520431532,0.100965009236271
"4",13,TRUE,2,"variance",2,0.725377184347709,0.159988151929261,0.0971039797744748
"5",14,TRUE,2,"variance",2,0.735200241243203,0.157100767424015,0.0939811490810862
"6",15,TRUE,2,"variance",2,0.721658189963201,0.161067803993938,0.0961657749499886
"7",16,TRUE,2,"variance",2,0.689529749057467,0.170109869077175,0.101302102009433
"8",17,TRUE,4,"variance",4,0.748314384801111,0.15316118271105,0.0981313044847396
"9",18,TRUE,4,"variance",4,0.743371101591828,0.154657965869895,0.0967444573717611
"10",19,TRUE,4,"variance",4,0.74972813749718,0.152730413228279,0.0985714719633618
"11",20,TRUE,3,"variance",3,0.748052974866981,0.153240701486588,0.0940991384704242
"12",21,TRUE,3,"variance",3,0.74311483604735,0.154735166096889,0.0960075181105093
"13",22,TRUE,4,"variance",4,0.737250567589873,0.156491375284774,0.102054267939131
"14",23,TRUE,4,"variance",4,0.746447191333153,0.153728265401543,0.104242667803647
"15",24,TRUE,4,"variance",4,0.760421944365763,0.149431801418834,0.101130200794758
"16",25,TRUE,4,"variance",4,0.763119043611143,0.148588291079532,0.0984823042812543
"17",26,TRUE,4,"variance",4,0.777005583420319,0.144167214885616,0.092835307787619
"18",27,TRUE,2,"variance",2,0.740668774317645,0.155470115181584,0.0965578029584296
"19",28,TRUE,2,"variance",2,0.734869818954775,0.157198753562625,0.0977333255927931
"20",29,TRUE,2,"variance",2,0.744322759493725,0.154370940172063,0.0991461339416711
"21",30,TRUE,2,"variance",2,0.765900623736819,0.147713314157731,0.0955557108033855
"22",31,TRUE,2,"variance",2,0.774762666600664,0.144890430401901,0.09396942897213
"23",32,TRUE,5,"variance",5,0.755654703749219,0.150911211478455,0.0936504986342017
"24",33,TRUE,3,"variance",3,0.711330684140088,0.164028693399849,0.0988439048820556
"25",34,TRUE,3,"variance",3,0.705555167793199,0.165661459105504,0.0997187904989338
"26",35,TRUE,4,"variance",4,0.694386260502953,0.168774158563234,0.099645136504725
"27",36,TRUE,4,"variance",4,0.711212685475787,0.164062214782497,0.100730189233204
"28",37,TRUE,3,"variance",3,0.697718944092385,0.167851404389526,0.100714897122943
"29",38,TRUE,4,"variance",4,0.703095521790049,0.16635194691431,0.100859723460983
"30",39,TRUE,2,"variance",2,0.677842598472813,0.173282047451944,0.109563455948255
"31",40,TRUE,3,"variance",3,0.717211839921005,0.162349189602705,0.10408589937865
"32",41,TRUE,5,"variance",5,0.715919873577745,0.162719627079793,0.0973754156622599
"33",42,TRUE,4,"variance",4,0.703719554508136,0.166177036010325,0.100844620836665
"34",43,TRUE,3,"variance",3,0.701219355570457,0.166876715694746,0.104447382777823
"35",44,TRUE,5,"variance",5,0.726492419325997,0.159662967921014,0.0985864120850406
"36",45,TRUE,4,"variance",4,0.718247493109571,0.162051631740781,0.105392046865678
"37",46,TRUE,4,"variance",4,0.716021069503413,0.16269064224689,0.103856492953743
"38",47,TRUE,5,"variance",5,0.722343652011424,0.160869353887308,0.100520854372195
"39",48,TRUE,3,"variance",3,0.716436332833084,0.162571647197034,0.102063855613955
"40",49,TRUE,4,"variance",4,0.705638254948912,0.165638084080553,0.101921089549198
"41",50,TRUE,4,"variance",4,0.71741223670358,0.162291655331991,0.0983792284327022
"42",51,TRUE,3,"variance",3,0.668038313824091,0.175899050410001,0.105710516077312
"43",52,TRUE,4,"variance",4,0.697447206767578,0.167926832942901,0.105762512109684
"44",53,TRUE,4,"variance",4,0.701362344829592,0.166836779316725,0.10509037777664
"45",54,TRUE,3,"variance",3,0.705395978354386,0.165706234880777,0.107216023642337
"46",55,TRUE,4,"variance",4,0.708021084173557,0.164966309874127,0.103260160086459
"47",56,TRUE,4,"variance",4,0.716280646601379,0.16261626979326,0.102259643721878
"48",57,TRUE,5,"variance",5,0.70045144735303,0.167091026378859,0.104423051893846
"49",58,TRUE,4,"variance",4,0.708137369562813,0.164933456334194,0.100793549093552
"50",59,TRUE,4,"variance",4,0.705864614159344,0.165574385387806,0.103208389069309
"51",60,TRUE,4,"variance",4,0.711322316626331,0.164031070691662,0.105229074769147
