"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"86",90,100,2,0.1,10,0.668977467242208,0.175650056013806,0.102217729392589
"87",91,100,2,0.1,10,0.668977467242208,0.175650056013806,0.102217729392589
"88",92,100,2,0.1,10,0.668977467242208,0.175650056013806,0.102217729392589
"89",93,100,1,0.1,10,0.68590725342502,0.171099392520088,0.0979161295335038
"90",94,100,2,0.1,10,0.684840469254474,0.171389707093228,0.0978743980094574
"91",95,100,2,0.1,10,0.684840469254474,0.171389707093228,0.0978743980094574
"92",96,100,2,0.1,10,0.68479106165318,0.171403140960259,0.0977713988451427
"93",97,100,1,0.1,10,0.691051893358179,0.169692357393103,0.100161958889587
"94",98,100,1,0.1,10,0.691051893358179,0.169692357393103,0.100161958889587
"95",99,100,1,0.1,10,0.691051893358179,0.169692357393103,0.100161958889587
"96",100,100,2,0.1,10,0.703635144108385,0.166200706271585,0.101877681565648
"97",101,100,2,0.1,10,0.703635144108385,0.166200706271585,0.101877681565648
"98",102,100,2,0.1,10,0.703635144108385,0.166200706271585,0.101877681565648
"99",103,100,2,0.1,10,0.703635144108385,0.166200706271585,0.101877681565648
"100",104,100,2,0.1,10,0.703635144108385,0.166200706271585,0.101877681565648
"101",105,100,1,0.1,10,0.703635144108385,0.166200706271585,0.101877681565648
"102",106,100,1,0.1,10,0.703635144108385,0.166200706271585,0.101877681565648
"103",107,100,1,0.1,10,0.703635144108385,0.166200706271585,0.101877681565648
"104",108,100,1,0.1,10,0.695186365156122,0.168553086224851,0.107757186108769
"105",109,100,1,0.1,10,0.698595061757773,0.167607981441544,0.105675035898631
"106",110,100,1,0.1,10,0.698595061757773,0.167607981441544,0.105675035898631
"107",111,100,1,0.1,10,0.698595061757773,0.167607981441544,0.105675035898631
"108",112,100,1,0.1,10,0.698595061757773,0.167607981441544,0.105675035898631
"109",113,100,1,0.1,10,0.715343869735017,0.162884509553696,0.103215103389027
"110",114,100,1,0.1,10,0.715343869735017,0.162884509553696,0.103215103389027
"111",115,100,1,0.1,10,0.715343869735017,0.162884509553696,0.103215103389027
"112",116,100,1,0.1,10,0.715343869735017,0.162884509553696,0.103215103389027
"113",117,100,1,0.1,10,0.678094049037519,0.173214409126725,0.11025627268125
"114",118,100,1,0.1,10,0.678094049037519,0.173214409126725,0.11025627268125
"115",119,100,1,0.1,10,0.678094049037519,0.173214409126725,0.11025627268125
"116",120,100,1,0.1,10,0.678094049037519,0.173214409126725,0.11025627268125
