"","n","lm_intercept","k","R2","RMSE","MAE"
"1",10,TRUE,9,0.37831777738255,0.240715323913262,0.145585
"2",11,TRUE,7,0.502223518436278,0.215395537171347,0.135028333333333
"3",12,TRUE,7,0.458942954823872,0.22456446884284,0.142453333333333
"4",13,TRUE,7,0.559225038417517,0.202687969549256,0.117486666666667
"5",14,TRUE,7,0.569583836119059,0.20029209087397,0.11345
"6",15,TRUE,7,0.577710508710219,0.198392226326201,0.106736666666667
"7",16,TRUE,7,0.527402070959303,0.209877277077185,0.136721666666667
"8",17,TRUE,5,0.722648590216647,0.160780991621108,0.106053333333333
"9",18,TRUE,5,0.751687625383346,0.152131341719362,0.10734
"10",19,TRUE,9,0.50793062918418,0.21415720020583,0.120706666666667
"11",20,TRUE,7,0.710573468276328,0.164243686433705,0.10796
"12",21,TRUE,9,0.488696410118579,0.218302613436792,0.127391666666667
"13",22,TRUE,7,0.577988930228279,0.198326814122549,0.111933333333333
"14",23,TRUE,9,0.532384805742878,0.208767947332279,0.137248333333333
"15",24,TRUE,9,0.529093464121655,0.209501372787865,0.13833
"16",25,TRUE,5,0.5857376964139,0.196497587139641,0.118870238095238
"17",26,TRUE,5,0.608138273387997,0.191111111277554,0.119260714285714
"18",27,TRUE,5,0.556000556256157,0.203427998892319,0.126306666666667
"19",28,TRUE,5,0.583287127476789,0.19707792096867,0.104926666666667
"20",29,TRUE,5,0.588908453806481,0.195744147890386,0.108101666666667
"21",30,TRUE,5,0.69604768578601,0.168314775110232,0.113817857142857
"22",31,TRUE,5,0.769715748059383,0.14650472574858,0.10924
"23",32,TRUE,5,0.47213326740585,0.221810275009973,0.159785
"24",33,TRUE,5,0.459818063108504,0.224382789521241,0.159178333333333
"25",34,TRUE,5,0.51083247365451,0.213524799730617,0.132491666666667
"26",35,TRUE,5,0.588928521765504,0.195739370081749,0.117266666666667
"27",36,TRUE,5,0.498461073492798,0.216208038626381,0.126295
"28",37,TRUE,5,0.540855285141501,0.206868473028959,0.128853333333333
"29",38,TRUE,5,0.52711965589058,0.209939976942775,0.136629545454545
"30",39,TRUE,5,0.62036676292046,0.188105558042995,0.154705
"31",40,TRUE,5,0.642244309615989,0.182605052189965,0.122258482142857
"32",41,TRUE,5,0.469937904750832,0.22227104352597,0.14397962962963
"33",42,TRUE,5,0.474218780046126,0.221371673834279,0.144275
"34",43,TRUE,5,0.665822163825093,0.176485217819634,0.121914285714286
"35",44,TRUE,5,0.690877946572674,0.169740121541569,0.116822435897436
"36",45,TRUE,5,0.616952381915298,0.188949565266199,0.115496428571429
"37",46,TRUE,5,0.560794931251555,0.202326694234844,0.11886
"38",47,TRUE,5,0.523280875797745,0.210790387035715,0.133076666666667
"39",48,TRUE,5,0.583991040653322,0.196911398180332,0.122653333333333
"40",49,TRUE,5,0.428216681853043,0.230852857321137,0.14124
"41",50,TRUE,5,0.477610198703099,0.220656567845449,0.137076666666667
"42",51,TRUE,5,0.48847679305279,0.218349491488607,0.136025
"43",52,TRUE,5,0.500354943717659,0.215799438985987,0.129583333333333
"44",53,TRUE,5,0.512704989865767,0.21311572513543,0.128445
"45",54,TRUE,5,0.522064863269323,0.211059057295977,0.123673333333333
"46",55,TRUE,5,0.334289975646452,0.249093309223672,0.139301666666667
"47",56,TRUE,5,0.351825799418826,0.24579066486206,0.12837
"48",57,TRUE,5,0.303172988851292,0.254848453464669,0.140638333333333
"49",58,TRUE,5,0.299328663788226,0.255550473292459,0.142936666666667
"50",59,TRUE,5,0.257847090615374,0.263006336045351,0.152956666666667
"51",60,TRUE,5,0.256837610727585,0.263185146490704,0.153453333333333
"52",61,TRUE,5,0.366396080752244,0.243012403867237,0.137655
"53",62,TRUE,5,0.359474934123212,0.244336066992438,0.138941666666667
"54",63,TRUE,5,0.372841146498495,0.241773274646586,0.132936666666667
"55",64,TRUE,7,0.30717153710751,0.254116212981384,0.138278333333333
"56",65,TRUE,7,0.324378213426157,0.250940833880904,0.141088095238095
"57",66,TRUE,7,0.324378213426157,0.250940833880904,0.141088095238095
"58",67,TRUE,7,0.30731585119042,0.254089745782006,0.144690476190476
"59",68,TRUE,7,0.247113290659833,0.264901446209159,0.152556481481481
"60",69,TRUE,7,0.232328282240372,0.267489835943973,0.15553
"61",70,TRUE,7,0.288022875004414,0.257603959596897,0.15297380952381
"62",71,TRUE,9,0.302736008176305,0.254928348757058,0.14214
"63",72,TRUE,9,0.305514355210788,0.254419942759334,0.148476851851852
"64",73,TRUE,7,0.292832922389268,0.256732311410586,0.152263888888889
"65",74,TRUE,7,0.32895825176886,0.250088823850277,0.145998148148148
"66",75,TRUE,7,0.28476716989838,0.258192269184549,0.142406666666667
"67",76,TRUE,5,0.21164552046245,0.271069268515141,0.150946296296296
"68",77,TRUE,5,0.21164552046245,0.271069268515141,0.150946296296296
"69",78,TRUE,5,0.212660181148855,0.270894770942276,0.152099074074074
"70",79,TRUE,5,0.21444238904769,0.270588001039559,0.149676851851852
"71",80,TRUE,5,0.212660181148855,0.270894770942276,0.152099074074074
"72",81,TRUE,5,0.212660181148855,0.270894770942276,0.152099074074074
"73",82,TRUE,5,0.162288166309859,0.279426016309389,0.157186111111111
"74",83,TRUE,5,0.162288166309859,0.279426016309389,0.157186111111111
"75",84,TRUE,7,0.231612525631282,0.267614507080614,0.149963333333333
"76",85,TRUE,7,0.231612525631282,0.267614507080614,0.149963333333333
"77",86,TRUE,7,0.231495884844023,0.267634818175812,0.150105
"78",87,TRUE,5,0.156461012193484,0.280396180896454,0.159382407407407
"79",88,TRUE,7,0.231495884844023,0.267634818175812,0.150105
"80",89,TRUE,5,0.156461012193484,0.280396180896454,0.159382407407407
"81",90,TRUE,7,0.272480891100042,0.26040044162789,0.14052
"82",91,TRUE,7,0.272480891100042,0.26040044162789,0.14052
"83",92,TRUE,7,0.195058921916661,0.273906008696414,0.146546666666667
"84",93,TRUE,7,0.195175562703921,0.27388616266617,0.146405
"85",94,TRUE,7,0.16544125479448,0.27889965059505,0.1658
"86",95,TRUE,7,0.16544125479448,0.27889965059505,0.1658
"87",96,TRUE,7,0.165791031985743,0.278841198772084,0.164922619047619
"88",97,TRUE,7,0.225802753724862,0.268624317519068,0.157884523809524
"89",98,TRUE,7,0.13657602187099,0.283681860548247,0.163901851851852
"90",99,TRUE,7,0.13657602187099,0.283681860548247,0.163901851851852
"91",100,TRUE,7,0.13657602187099,0.283681860548247,0.163901851851852
