"","n","mtry","minnodesize","R2","RMSE","MAE"
"1",2,2,7,0.606634246375617,0.191477517302732,0.130498405048389
"2",3,2,7,0.603249485908278,0.192299547838708,0.128958585679847
"3",4,2,3,0.561984846637325,0.202052431767492,0.138134019671717
"1",5,5,9,0.665570723938853,0.176551600257757,0.108346885767196
"2",6,6,10,0.649275613090884,0.180801694463307,0.111269157843915
"3",7,5,9,0.647742151704107,0.181196520190622,0.114227190145503
"4",8,8,10,0.667853037313145,0.175948130496102,0.106351477804233
"5",9,3,3,0.693550166388738,0.169004865959054,0.102936392153818
"6",10,3,5,0.69022048164515,0.169920533937839,0.101919031343841
"7",11,3,5,0.681235595935021,0.172367119178226,0.104195758809524
"8",12,3,5,0.67196907736121,0.174854537470123,0.105741904272163
"9",13,4,10,0.646723711528424,0.181458266843386,0.106017575042689
"10",14,3,5,0.648840506167669,0.180913810541123,0.106556929905604
"11",15,2,4,0.615271069010661,0.189363789879677,0.114059661254209
"12",16,3,4,0.654404280120308,0.179474888247784,0.110457175398629
"13",17,2,2,0.6503476266816,0.180525166489723,0.109470753311087
"14",18,2,2,0.637015231391165,0.183934719713478,0.112078215115995
"15",19,2,2,0.636287374212378,0.18411904034039,0.113185423973665
"16",20,2,2,0.648069004937869,0.181112436310603,0.109733545704619
"17",21,2,2,0.640130877405075,0.183143625200538,0.112554122175926
"18",22,2,2,0.643780154075592,0.182212669051038,0.110116618791255
"19",23,2,3,0.651848141903806,0.180137392769327,0.111062816860269
"20",24,2,2,0.672448260126746,0.174726778322701,0.105737445070346
"21",25,2,4,0.637218444396472,0.183883225596816,0.109838199944315
"22",26,2,2,0.664986124823782,0.176705843398451,0.108572150986051
"23",27,2,3,0.645438119529101,0.181788135359987,0.110767748447802
"24",28,2,2,0.676614283751303,0.173612076177212,0.109327720339105
"25",29,2,4,0.643309703528405,0.182332951184077,0.108788633372986
"26",30,2,5,0.636482936590606,0.184069534774434,0.110407230580847
"27",31,2,5,0.624338989441413,0.187118865295929,0.113035407028072
"28",32,2,2,0.618274447462503,0.188623209459576,0.115651094001499
"29",33,2,2,0.61869953324951,0.188518155737669,0.113620054903291
"30",34,8,2,0.680951468675646,0.172443920866648,0.0981729455555557
"31",35,2,3,0.588280859315018,0.19589350768539,0.1172360816348
"32",36,2,3,0.592042659600976,0.194996533059517,0.120048947160293
"33",37,5,2,0.675673275405627,0.173864486426927,0.105405324444444
"34",38,5,3,0.660157345745421,0.177974777021054,0.110640626944445
"35",39,4,3,0.638364405468288,0.183592569019429,0.112788579206349
"36",40,2,2,0.591279837036555,0.195178755894227,0.124293747635282
"37",41,5,2,0.651930966121989,0.180115964438816,0.110318110833334
"38",42,3,3,0.617468053697796,0.188822337253914,0.115249975957468
"39",43,4,3,0.643668721427093,0.182241166694943,0.11226262718254
"40",44,5,2,0.649822633894894,0.180660642277803,0.110419845376984
"41",45,3,4,0.606380479532207,0.191539270023412,0.119280830183983
"42",46,10,3,0.681449188903544,0.172309360887765,0.104670147222222
"43",47,3,2,0.636625705573268,0.184033385163261,0.116370273042328
"44",48,8,3,0.672238438417069,0.174782732234188,0.106825859126984
"45",49,2,2,0.56246034558429,0.201942730303573,0.122880452756734
"46",50,6,2,0.65254921974641,0.179955928885153,0.109295210277778
"47",51,6,2,0.624950783194999,0.186966434251813,0.114924036666667
"48",52,7,3,0.627392593647439,0.18635680478433,0.113425597222222
"49",53,8,3,0.647134866452002,0.181352642460168,0.109602525694444
"50",54,5,2,0.63275669868242,0.185010533457168,0.115909763068783
"51",55,10,5,0.634042001351436,0.184686493564827,0.11231722031746
"52",56,8,3,0.64071823999748,0.182994104670658,0.113609457222222
"53",57,8,2,0.661092153381816,0.177729830210412,0.108386226111111
"54",58,9,2,0.653869863050781,0.179613601471468,0.108476815555556
"55",59,6,2,0.662465957424164,0.177369239708461,0.107450268055556
"56",60,8,3,0.63192571024857,0.185219733652973,0.109729834444445
"57",61,8,3,0.648329803146757,0.181045317253818,0.109639652222222
"58",62,8,3,0.651052428083033,0.180343130584936,0.108383623888889
"59",63,5,3,0.60358313146888,0.19221867411255,0.115656845833333
"60",64,9,3,0.645616704284974,0.181742348318978,0.104552955555555
"61",65,9,2,0.664648566325043,0.176794844997778,0.103137720238096
"62",66,5,2,0.606388389820418,0.191537345400314,0.111284325
"63",67,6,2,0.635634227137235,0.184284284634849,0.111162991269841
"64",68,10,4,0.637246327262257,0.183876158961617,0.106559538611111
"65",69,9,4,0.622480715391611,0.18758110275168,0.107488259126985
"66",70,6,3,0.589851371657551,0.195519530512992,0.117031474722223
"67",71,2,2,0.533523333514183,0.208513643191711,0.123275569646418
"68",72,8,2,0.630568432258284,0.185560919313062,0.110192193333334
"69",73,9,5,0.592370836972184,0.194918085734045,0.11435872
"70",74,10,3,0.629284171405366,0.185883173683675,0.111197727777778
"71",75,3,2,0.552568196534834,0.204212790212775,0.118668138849206
"72",76,4,4,0.57356822129487,0.199362878196235,0.119995740277778
"73",77,8,3,0.634539326602158,0.184560959373293,0.111430565277778
"74",78,8,2,0.633212026503191,0.184895804923845,0.111661530555556
"75",79,4,2,0.598255968732081,0.193505908621553,0.118906704444445
"76",80,2,2,0.520135149392706,0.211484714749842,0.128600540950577
"77",81,5,2,0.601894753557615,0.192627578177583,0.115268300555556
"78",82,5,2,0.6041861647787,0.192072415983154,0.114767995555556
"79",83,3,2,0.54442939237313,0.206061739799128,0.123471326547619
"80",84,10,2,0.645966336485688,0.181652673299754,0.110469648333334
"81",85,8,2,0.640539670484863,0.183039574706217,0.113016052777778
"82",86,6,2,0.611344024562341,0.190327782893927,0.115632962222223
"83",87,9,2,0.615038906028438,0.189420916636055,0.110752060000001
"84",88,9,2,0.62984725995162,0.185741948985293,0.111300933333334
"85",89,8,4,0.581643233871567,0.197466265403253,0.115253925
"86",90,3,2,0.510301402864866,0.213640676211511,0.128504328015873
"87",91,4,3,0.570825311442804,0.200003024996693,0.121476369583333
"88",92,4,3,0.562920596625242,0.201836489868032,0.124024061240081
"89",93,7,5,0.553981192347237,0.203890081826538,0.124511343333333
"90",94,9,2,0.615632955372735,0.189274708594192,0.116403051388889
"91",95,8,3,0.592664923634699,0.194847760598842,0.113583546666667
"92",96,10,3,0.607151979430019,0.191351468098357,0.114531563888889
"93",97,8,2,0.596469366507883,0.19393570290604,0.115018606666667
"94",98,9,2,0.594487884621178,0.194411267171336,0.113842508333334
