"","n","k","distance","kernel","R2","RMSE","MAE"
"1",2,7,2,"optimal",0.518291764571333,0.211890531130513,0.140933163265306
"2",3,13,2,"optimal",0.560264160557163,0.202448911238726,0.128425612553268
"3",4,11,2,"optimal",0.570935345421982,0.199977384459132,0.133665628639133
"1",5,9,2,"optimal",0.663855682550903,0.177003722895445,0.118192902680964
"2",6,5,2,"optimal",0.618357366992522,0.188602721707003,0.142380349132283
"3",7,5,2,"optimal",0.593129851474226,0.194736530289883,0.137363047820464
"4",8,7,2,"optimal",0.657377031777788,0.178701315915576,0.124011386856205
"5",9,11,2,"optimal",0.660420650400122,0.177905817655532,0.115906034643117
"6",10,11,2,"optimal",0.645591893409205,0.181748710227058,0.117745226471141
"7",11,23,2,"optimal",0.644136405859501,0.182121531756027,0.115736325610748
"8",12,23,2,"optimal",0.640503032049473,0.183048902735214,0.114525485315196
"9",13,23,2,"optimal",0.63099728744994,0.185453183701432,0.114295717110573
"10",14,11,2,"optimal",0.640410362776481,0.183072493915714,0.113093472435618
"11",15,23,2,"optimal",0.610552395121531,0.190521517767123,0.116707163909322
"12",16,11,2,"optimal",0.609484261554001,0.1907826094788,0.118328728433735
"13",17,9,2,"optimal",0.623151424331798,0.187414398350506,0.115900950824899
"14",18,9,2,"optimal",0.622272593002043,0.187632801366632,0.116798298746575
"15",19,9,2,"optimal",0.624795175960796,0.187005216245419,0.116765766463468
"16",20,9,2,"optimal",0.60642007055929,0.191529637082556,0.119647103591821
"17",21,9,2,"optimal",0.606292452151814,0.191560686336307,0.119691704446775
"18",22,9,2,"optimal",0.611709749754408,0.190238212615502,0.112362848053956
"19",23,9,2,"optimal",0.643998623226329,0.18215678508933,0.108759138170472
"20",24,9,2,"optimal",0.642470593946118,0.182547293223396,0.110040231520701
"21",25,9,2,"optimal",0.637629457030537,0.183779031011315,0.111361715258731
"22",26,9,2,"optimal",0.637496794842724,0.183812668261651,0.111702079337568
"23",27,9,2,"optimal",0.60845819400912,0.191033082644871,0.115886573447011
"24",28,9,2,"optimal",0.618931077320415,0.188460908378072,0.119735983400343
"25",29,9,2,"optimal",0.635616213902559,0.184288839830873,0.117135451524228
"26",30,9,2,"optimal",0.616185589905658,0.189138592131427,0.119229263832121
"27",31,9,2,"optimal",0.614047763922595,0.189664606662207,0.122159644473361
"28",32,23,2,"optimal",0.63992124946833,0.183196959077422,0.123852534453515
"29",33,23,2,"optimal",0.617261366976163,0.188873341882361,0.120299536953437
"30",34,7,2,"optimal",0.622998445710568,0.187452434167902,0.124734369544097
"31",35,7,2,"optimal",0.614502810160175,0.189552764299575,0.124376710823417
"32",36,23,2,"optimal",0.615338904022901,0.189347094928705,0.118629281268691
"33",37,23,2,"optimal",0.636958826861303,0.183949010049167,0.110983194886506
"34",38,23,2,"optimal",0.652813158444239,0.17988756473126,0.112556944832891
"35",39,23,2,"optimal",0.633786519171509,0.184750948879368,0.114043146527097
"36",40,23,2,"optimal",0.634834429407474,0.1844864295264,0.113325532603173
"37",41,23,2,"optimal",0.652190483372187,0.180048805468413,0.112625663274341
"38",42,23,2,"optimal",0.667980702465576,0.175914313231044,0.117310073252875
"39",43,23,2,"optimal",0.692829746187074,0.169203402609012,0.111720482310429
"40",44,23,2,"optimal",0.691089732157716,0.169681965434758,0.111256103640482
"41",45,23,2,"optimal",0.693759649269985,0.168947091937419,0.113467040542503
"42",46,7,2,"optimal",0.696432938193264,0.16820807378038,0.11058526955789
"43",47,23,2,"optimal",0.69320071414248,0.169101198696932,0.113210354372929
"44",48,23,2,"optimal",0.692528098018374,0.169286463015197,0.114939123966566
"45",49,23,2,"optimal",0.69219905702037,0.16937701973262,0.116601937858175
"46",50,23,2,"optimal",0.687283193442698,0.170724215287059,0.117629790646591
"47",51,23,2,"optimal",0.669432933042765,0.17552917280493,0.115238920151199
"48",52,23,2,"optimal",0.667567746999215,0.176023677661812,0.117450087991573
"49",53,23,2,"optimal",0.667594402578054,0.176016620423781,0.117445054159385
"50",54,23,2,"optimal",0.668626655503556,0.175743106755257,0.117369877969763
"51",55,23,2,"optimal",0.672699117074932,0.174659857869566,0.112408494188826
"52",56,5,2,"optimal",0.681680069603009,0.172246905989673,0.110012993897313
"53",57,5,2,"optimal",0.667479335711045,0.176047083100613,0.114597637372084
"54",58,23,2,"optimal",0.651600037986168,0.180201567112053,0.122579115301342
"55",59,23,2,"optimal",0.648538753936691,0.18099152369478,0.123923146830332
"56",60,23,2,"optimal",0.677921780227356,0.173260750999216,0.124395227326242
"57",61,23,2,"optimal",0.678123741696141,0.173206420279499,0.124091366263511
"58",62,5,2,"optimal",0.6585334560254,0.178399483837071,0.135158333333333
"59",63,5,2,"optimal",0.6585334560254,0.178399483837071,0.135158333333333
"60",64,5,2,"optimal",0.657038256640541,0.178789641292032,0.136891666666667
"61",65,23,2,"optimal",0.669081812088296,0.175622369646829,0.131245412229368
"62",66,23,2,"optimal",0.661256166962254,0.177686819058962,0.132869452680412
"63",67,23,2,"optimal",0.669346893551532,0.175552014551208,0.131114466954887
"64",68,23,2,"optimal",0.670591390227787,0.175221335884379,0.130528447998097
"65",69,23,2,"optimal",0.670558540347821,0.175230072535737,0.130775061529395
"66",70,23,2,"optimal",0.670553942577832,0.175231295309517,0.130777110612753
"67",71,23,2,"optimal",0.68201874276639,0.172155251456674,0.125329033435614
"68",72,23,2,"optimal",0.680713116299117,0.172508322894187,0.125956497811581
"69",73,23,2,"optimal",0.682762032551166,0.17195392495923,0.123253137862511
"70",74,23,2,"optimal",0.681531808241907,0.172287014360803,0.124071839410476
"71",75,23,2,"optimal",0.595914226166929,0.19406905651174,0.133529808709791
"72",76,23,2,"optimal",0.599488587638725,0.193208826078475,0.131118304195258
"73",77,23,2,"optimal",0.599512696170029,0.193203010949385,0.131116999926255
"74",78,23,2,"optimal",0.479318582084882,0.220295463247123,0.15219332355853
"75",79,23,2,"optimal",0.457695597533935,0.224823176193945,0.154244434069384
"76",80,23,2,"optimal",0.45770643789641,0.22482092913778,0.154245384002285
