"","n","mtry","minnodesize","R2","RMSE","MAE"
"1",2,2,10,0.471430137130303,0.118079838527547,0.0914701137037037
"2",3,2,10,0.556175824210355,0.108200689777525,0.0866630455693843
"3",4,4,10,0.489448425915482,0.116049790702414,0.0905430296825396
"1",5,5,10,0.525645603605964,0.111860309548343,0.085986316137566
"2",6,4,9,0.574168665933131,0.105984745022651,0.079681681932928
"3",7,2,7,0.675874250525931,0.092465839881125,0.061842264032773
"4",8,5,6,0.401125156477836,0.1256876444246,0.082687687043651
"5",9,5,5,0.41618287529136,0.124097481170763,0.0812151450000002
"6",10,5,4,0.426373714488208,0.123009619117592,0.0784682608333333
"7",11,9,3,0.307424380839864,0.135163102299024,0.0856851638888892
"8",12,9,2,0.276407883153527,0.138156545403068,0.0878948333333333
"9",13,5,3,0.550881924220641,0.108844081557548,0.069824211111111
"10",14,9,9,0.634717906162507,0.0981609479064838,0.0683222290542328
"11",15,7,5,0.534602735749554,0.110799159211239,0.0727845877777778
"12",16,6,2,0.527596819582306,0.111630008596408,0.0695160571825397
"13",17,8,4,0.512215069173942,0.113432823270884,0.0725885291666669
"14",18,5,3,0.603137963591715,0.102316183008527,0.0604764266005293
"15",19,8,4,0.533259028227659,0.110958995082815,0.0705294655555557
"16",20,8,4,0.648812471562071,0.0962485275217035,0.0634126263888887
"17",21,9,9,0.755283187725107,0.0803445560172413,0.0576478064285714
"18",22,10,2,0.601741014356644,0.102496100641081,0.0674487694444443
"19",23,9,3,0.586402862146575,0.104451171224406,0.0654526805555557
"20",24,9,2,0.62287345355643,0.0997397106122309,0.0658251166666666
"21",25,8,4,0.680172423459339,0.0918507073967438,0.0592050861111112
"22",26,7,8,0.805737381739138,0.0715845288178613,0.0532003907539682
"23",27,10,3,0.738566393716158,0.083043426137904,0.0495383027777778
"24",28,3,3,0.752096850381724,0.0808659278630668,0.0586889994775133
"25",29,8,4,0.739345269326242,0.082919630374175,0.0518391852777778
"26",30,5,4,0.74394631800802,0.0821845278387514,0.0599310794444445
"27",31,8,5,0.747418878397766,0.0816253385362402,0.0555028699999998
"28",32,6,2,0.725862396188163,0.085037181619248,0.0578838536111111
"29",33,2,2,0.791047602319144,0.0742417552798845,0.0597499153866705
"30",34,9,2,0.764095359583281,0.0788847028100184,0.0543022499999998
"31",35,6,2,0.777895828190735,0.0765425470449264,0.0569099875
"32",36,6,2,0.778282438894963,0.0764759002625491,0.0582602622222223
"33",37,2,2,0.730356181579381,0.0843373180192382,0.0640937533622253
"34",38,3,2,0.770875242223771,0.07774286855956,0.0592137306878309
"35",39,6,2,0.76109552193991,0.07938467971767,0.0609759158333332
"36",40,3,5,0.778124631705811,0.0765031112334271,0.059479654862915
"37",41,6,2,0.837209424974614,0.0655298509890954,0.0521261938888889
"38",42,9,3,0.829286251333936,0.0671056057937216,0.0525634333333332
"39",43,9,2,0.844580220588835,0.0640291440114459,0.0529309666666666
"40",44,5,4,0.854603253224045,0.0619301164267979,0.0503646441666667
"41",45,4,3,0.835659341652073,0.0658410977288586,0.0539892735317461
"42",46,7,6,0.842597885972676,0.064436186859715,0.0552954188888888
"43",47,10,3,0.807407185796195,0.0712762087965417,0.0568310472222223
"44",48,3,2,0.816412236672856,0.0695899328111666,0.0565254218518518
"45",49,2,3,0.79334314316389,0.0738328208944724,0.055421550981241
"46",50,2,5,0.786195557789079,0.0750987855507939,0.0556780035869133
"47",51,8,4,0.834077990140185,0.0661571140216764,0.0555966972222223
"48",52,10,3,0.847401601682994,0.063445312291081,0.0555724347222222
"49",53,6,3,0.843659603760222,0.0642184998139891,0.0550808861111107
"50",54,4,2,0.776604119117458,0.076764801687055,0.0624642112499999
"51",55,3,3,0.795070891491528,0.0735235345730839,0.0570057494047618
"52",56,2,5,0.823051459293942,0.0683200293834094,0.0522315976272791
"53",57,5,2,0.867910984853588,0.0590279774683779,0.0495145480555555
"54",58,4,2,0.812898529284747,0.0702527214220305,0.0542145584523807
"55",59,4,2,0.814509471139548,0.0699496299817844,0.0577715738095239
"56",60,3,2,0.7529062494863,0.0807338070678167,0.0587065571374461
"57",61,2,2,0.792205294961451,0.074035802835225,0.0579615787944927
