"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"1",2,100,2,0.1,10,0.379371799267513,0.127950004231861,0.0986046162099497
"2",3,50,2,0.1,10,0.45569217975686,0.11982483476566,0.0937425588096437
"3",4,100,2,0.1,10,0.354896191196241,0.130448579659212,0.0921780475907084
"1",5,50,2,0.1,10,0.602101083014952,0.102449756452749,0.0694202772955462
"2",6,50,2,0.1,10,0.634096957693468,0.0982443451078004,0.0705652855897169
"3",7,50,2,0.1,10,0.458520980538199,0.11951306069096,0.0879313028917087
"4",8,50,2,0.1,10,0.438674917475591,0.121683523346185,0.0905131421322481
"5",9,50,2,0.1,10,0.339263865093334,0.132019651214997,0.0943440965372692
"6",10,100,2,0.1,10,0.0122521168626365,0.161416380817102,0.117106635082518
"7",11,100,2,0.1,10,0.0747283877967215,0.156228107103644,0.119247725238946
"8",12,100,2,0.1,10,0.0747283877967215,0.156228107103644,0.119247725238946
"9",13,100,2,0.1,10,-0.129238669686809,0.172590712902913,0.12450524770427
"10",14,100,2,0.1,10,0.017508324067731,0.160986326907488,0.116794285791315
"11",15,100,2,0.1,10,0.0256659429108781,0.16031659987111,0.118363778614134
"12",16,100,2,0.1,10,0.0256659429108781,0.16031659987111,0.118363778614134
"13",17,100,2,0.1,10,0.32077660513662,0.13385385081994,0.0969102792579296
"14",18,100,2,0.1,10,0.207136412500008,0.144618478593897,0.102178665934452
"15",19,100,2,0.1,10,0.365699862911145,0.12935164448895,0.0892163149430299
"16",20,100,2,0.1,10,0.408573481587751,0.124903597890778,0.0986637540297076
"17",21,100,2,0.1,10,0.408573481587751,0.124903597890778,0.0986637540297076
"18",22,100,2,0.1,10,0.362360179893782,0.129691725099023,0.103573622403292
"19",23,50,2,0.1,10,0.571812415422003,0.10627756296413,0.0851955016403766
"20",24,100,2,0.1,10,0.557781438643366,0.108004794637987,0.0849668420009763
"21",25,100,2,0.1,10,0.553574267008532,0.108517345563575,0.0904212852185962
"22",26,100,2,0.1,10,0.62735597400507,0.099145186355937,0.0811233639223157
"23",27,100,2,0.1,10,0.65570458038024,0.0952994017456408,0.0795288477168734
"24",28,100,2,0.1,10,0.730038096875554,0.084387047518352,0.0710046204923389
"25",29,100,2,0.1,10,0.800070686576593,0.072621094337972,0.0618751253878913
"26",30,100,2,0.1,10,0.580299746823608,0.105218999376609,0.0842391971305693
"27",31,100,2,0.1,10,0.597380400154214,0.103055697782885,0.0860347255532001
"28",32,100,2,0.1,10,0.545831334229109,0.109454377590664,0.0862337097410541
"29",33,100,2,0.1,10,0.68024716583192,0.0918399742057478,0.0732440390900957
"30",34,100,2,0.1,10,0.709992396868131,0.0874639816050021,0.0690114425859985
"31",35,100,2,0.1,10,0.709992396868131,0.0874639816050021,0.0690114425859985
"32",36,100,2,0.1,10,0.690793229161522,0.0903127464218965,0.0704225383017453
"33",37,100,2,0.1,10,0.738369755768845,0.0830746509289193,0.07301013792043
"34",38,100,2,0.1,10,0.738369755768845,0.0830746509289193,0.07301013792043
"35",39,100,2,0.1,10,0.738945690507944,0.082983163154718,0.0729251967240866
"36",40,100,2,0.1,10,0.765129832009733,0.0787115529568529,0.0578765409058784
"37",41,100,2,0.1,10,0.813489721061851,0.0701416434833461,0.0487391448677531
"38",42,100,2,0.1,10,0.804268264820479,0.0718546990680425,0.048603760415966
"39",43,100,2,0.1,10,0.804268264820479,0.0718546990680425,0.048603760415966
"40",44,100,2,0.1,10,0.649638071545726,0.0961353265490506,0.0707462235182891
"41",45,100,2,0.1,10,0.626151070840792,0.0993053444837864,0.0746649411992473
"42",46,100,2,0.1,10,0.481002264123616,0.117005771190079,0.0849908992769521
"43",47,100,2,0.1,10,0.481002264123616,0.117005771190079,0.0849908992769521
"44",48,100,2,0.1,10,0.481002264123616,0.117005771190079,0.0849908992769521
"45",49,100,2,0.1,10,0.470714350701733,0.118159763015384,0.08848881243501
