"","n","k","R2","RMSE","MAE"
"64",68,5,0.337149324064456,0.132230732433879,0.0893566666666667
"65",69,5,0.315370446843146,0.134385488055817,0.0951666666666666
"66",70,5,0.315370446843146,0.134385488055817,0.0951666666666666
"67",71,5,0.317396556065784,0.134186488887667,0.0947766666666667
"68",72,5,0.317396556065784,0.134186488887667,0.0947766666666666
"69",73,5,0.321431740397669,0.133789281832789,0.0939033333333333
"70",74,5,0.318522091426455,0.134075814125193,0.0942933333333333
"71",75,5,0.318522091426455,0.134075814125193,0.0942933333333333
"72",76,5,0.230170681795127,0.142502267584297,0.1068
"73",77,5,0.200799097469995,0.145195292049478,0.109278333333333
"74",78,5,0.222175255648334,0.143240368378936,0.106176666666667
"75",79,5,0.252077348985651,0.140460074635701,0.104548333333333
"76",80,5,0.265461525749622,0.139197625219206,0.1031
"77",81,5,0.265461525749622,0.139197625219206,0.1031
"78",82,5,0.277962200674766,0.138008081526651,0.102115
"79",83,5,0.266437025701008,0.139105164174448,0.103591666666667
"80",84,5,0.235873610711728,0.141973454913234,0.106181666666667
"81",85,5,0.238643020152516,0.141715945468391,0.105966666666667
"82",86,5,0.213819627504503,0.144007678846187,0.103945
"83",87,5,0.234344334008551,0.142115452479079,0.103571666666667
"84",88,5,0.234344334008551,0.142115452479079,0.103571666666667
"85",89,5,0.23951398650137,0.141634863175232,0.100616666666667
"86",90,5,0.291572809835659,0.1367011482517,0.0954833333333334
"87",91,5,0.269540833237093,0.138810565520064,0.0981883333333334
"88",92,5,0.282967590229912,0.137528892237231,0.09612
"89",93,5,0.282967590229912,0.137528892237231,0.09612
"90",94,5,0.282988173959366,0.137526918213611,0.0961083333333334
"91",95,5,0.291864337060707,0.136673018185741,0.0956016666666667
"92",96,5,0.292436578387044,0.136617784591416,0.09526
"93",97,5,0.292436578387044,0.136617784591416,0.09526
"94",98,7,0.225713329015914,0.142914220000229,0.0970598214285714
"95",99,5,0.288221427636246,0.137024115274161,0.0974283333333334
"96",100,5,0.288221427636246,0.137024115274161,0.0974283333333334
"97",101,5,0.331614375768139,0.132781662514069,0.0987283333333333
"98",102,7,0.289582628841613,0.13689303051186,0.0954738095238095
"99",103,7,0.222119819888716,0.143245472676022,0.0988023809523809
"100",104,5,0.262536686342423,0.139474483568381,0.101868333333333
"101",105,5,0.2516692884592,0.140498386348978,0.101315
"102",106,5,0.239609059094484,0.141626009616878,0.100633333333333
"103",107,5,0.259065751962016,0.139802322584426,0.0975233333333334
"104",108,5,0.259065751962016,0.139802322584426,0.0975233333333334
"105",109,5,0.289534877826307,0.136897631097109,0.0958166666666667
"106",110,5,0.289534877826307,0.136897631097109,0.0958166666666667
"107",111,5,0.289534877826307,0.136897631097109,0.0958166666666667
"108",112,5,0.291956295999859,0.136664143675899,0.0953716666666667
"109",113,5,0.24417143533561,0.141200489493958,0.0997216666666667
