"","n","C","sigma","R2","RMSE","MAE"
"1",2,1.57894736842105,0.1,0.605313967523197,0.102035296426739,0.0841590844958872
"2",3,1.68421052631579,0.1,0.579533278467101,0.105315032493733,0.0878333306356194
"3",4,0.736842105263158,0.1,0.706238488050556,0.0880282360136068,0.0741418274711296
"1",5,2,0.1,0.602379462572696,0.102413912037593,0.0820257601943453
"2",6,1.36842105263158,0.1,0.777835176383091,0.0765529973820541,0.0629958815517834
"3",7,2,0.01,0.689411447511053,0.0905143160513405,0.077822212328851
"4",8,0.842105263157895,0.1,0.754524915469353,0.080468936370497,0.0570947118505666
"5",9,0.947368421052632,0.1,0.745656961018045,0.0819095386542514,0.0569195547541297
"6",10,0.842105263157895,0.1,0.643703057351994,0.0969461573495953,0.0672186814465985
"7",11,1.05263157894737,0.1,0.526130300619351,0.111803145310407,0.0749100736452956
"8",12,0.947368421052632,0.1,0.563191782579519,0.107342066466961,0.0738065176356278
"9",13,2,0.1,-0.0454385259839407,0.166063352793313,0.0963073695216588
"10",14,2,0.01,0.75583607206084,0.080253744183584,0.0617182615538949
"11",15,0.947368421052632,0.1,0.532068414475632,0.111100428094938,0.0747329710631388
"12",16,0.842105263157895,0.1,0.563042605699023,0.107360394404769,0.0729718626983436
"13",17,2,0.1,-0.0247070066935116,0.164408552116377,0.0887459222813766
"14",18,2,0.1,-0.13379062411485,0.172938219129938,0.0918974647950147
"15",19,2,0.1,-0.164228994043566,0.17524424196601,0.101472249361303
"16",20,2,0.1,-0.0164673698558651,0.16374621597261,0.0969002962154814
"17",21,2,0.1,-0.035470656393388,0.165269780340517,0.0988543767930993
"18",22,2,0.1,-0.152515587073488,0.174360439729141,0.112397927096115
"19",23,2,0.1,-0.137037650465788,0.173185678174348,0.105270812422106
"20",24,2,0.1,-0.140060865333206,0.173415762881742,0.103429841375733
"21",25,2,0.1,-0.155556895213604,0.174590343106342,0.102991254135032
"22",26,2,0.1,-0.161742324049736,0.175056990342289,0.103654203894837
"23",27,2,0.01,0.8921474567151,0.0533383709155903,0.0495067937106691
"24",28,2,0.01,0.844603230829778,0.0640244040080405,0.0503358852527043
"25",29,2,0.01,0.847015135007337,0.0635256014502913,0.0479672694428598
"26",30,2,0.01,0.819789715721406,0.068946835468841,0.0509625404802079
"27",31,2,0.01,0.820647113796601,0.0687826235158485,0.0508553690682476
"28",32,2,0.01,0.817130924725864,0.0694535879503523,0.050632615034313
"29",33,2,0.01,0.826715138733419,0.0676090546280168,0.0519949007270429
"30",34,1.89473684210526,0.01,0.844516690983093,0.0640422289955162,0.0499718741088699
"31",35,1.89473684210526,0.01,0.82865150907817,0.0672302449740831,0.0531966532223591
"32",36,1.89473684210526,0.01,0.822779517969614,0.0683725076531621,0.0528334287682954
"33",37,1.89473684210526,0.01,0.830764894957998,0.0668143548740417,0.0520968105860466
"34",38,1.78947368421053,0.01,0.828150944078352,0.0673283741297084,0.0523486328002139
"35",39,1.78947368421053,0.01,0.830740401667525,0.0668191896989236,0.0525287799995145
"36",40,1.78947368421053,0.01,0.843809584204068,0.0641876893824806,0.0499500647284026
"37",41,1.78947368421053,0.01,0.855808088524728,0.0616729895925475,0.0486210145136698
"38",42,1.78947368421053,0.01,0.857846384231795,0.0612355336780658,0.0487319735935939
"39",43,2,0.01,0.850206983278857,0.0628594150655929,0.0499334614227561
"40",44,2,0.01,0.86395322920084,0.0599057722004201,0.0464979350476623
"41",45,2,0.01,0.858064587344502,0.0611885179358169,0.0494673397456225
"42",46,2,0.01,0.860906044178991,0.0605729438722432,0.0494361780887538
"43",47,2,0.01,0.857712337260335,0.0612643985916302,0.0502824506612199
"44",48,2,0.01,0.854624863839564,0.0619255138559052,0.0504307146482772
"45",49,2,0.01,0.853567189234808,0.0621503746740533,0.0506392801098516
"46",50,2,0.01,0.836748754625802,0.0656225047958472,0.0536207945419766
"47",51,2,0.01,0.830521187042497,0.0668624457509091,0.0551453317946065
"48",52,2,0.01,0.830693611931006,0.0668284247327822,0.0555774299530678
"49",53,2,0.01,0.822422406246546,0.0684413606881303,0.056447612468134
"50",54,2,0.01,0.819582451723636,0.0689864727467581,0.056913782801141
"51",55,2,0.01,0.82588089631688,0.0677716037953399,0.055565802629166
"52",56,2,0.01,0.828133715681519,0.0673317489835023,0.0554347984425291
"53",57,2,0.01,0.825419308723648,0.0678613751812998,0.0555828725952701
"54",58,2,0.01,0.822759889640577,0.068376293899831,0.0558219479255147
"55",59,2,0.01,0.822169099398452,0.0684901576306146,0.055124351490352
"56",60,2,0.01,0.822495522998648,0.0684272690307362,0.0550464311428608
"57",61,2,0.01,0.818834712756445,0.0691292818515655,0.0553944284499935
"58",62,2,0.01,0.819873940351282,0.0689307217925731,0.0546412638757228
"59",63,2,0.01,0.81100898946909,0.0706065717857161,0.0566819880049142
"60",64,2,0.01,0.814682642374744,0.0699169703834435,0.0560025131060435
"61",65,2,0.01,0.806922337706525,0.0713658705300791,0.0565668287039607
"62",66,2,0.01,0.800444623614403,0.0725531492578567,0.059780058529977
"63",67,2,0.01,0.809744883492969,0.0708423116691225,0.0579562482238055
"64",68,2,0.01,0.811216813947311,0.0705677397530905,0.0576814214017439
"65",69,2,0.01,0.81193115175928,0.0704341023719731,0.0573896623276809
"66",70,2,0.01,0.812020690579727,0.0704173336797669,0.0573122113580173
"67",71,2,0.01,0.809729088827474,0.07084525221394,0.0571574370614171
"68",72,2,0.01,0.808417585174542,0.0710889947974446,0.0574931913442779
"69",73,2,0.01,0.804307541294512,0.0718474893510983,0.0575117931317135
"70",74,2,0.01,0.808299863328339,0.071110832507679,0.0566687296557176
"71",75,2,0.01,0.807146111743334,0.0713245025680141,0.0559669019229248
"72",76,2,0.01,0.806840292386392,0.0713810318225201,0.055506962644254
"73",77,2,0.01,0.806230654233881,0.0714935871760958,0.0549989433981841
"74",78,2,0.01,0.794222556947235,0.0736755582113932,0.0561231700934565
"75",79,2,0.01,0.782528011201734,0.0757401594122091,0.0572094872599127
"76",80,2,0.01,0.784029911703974,0.07547816873719,0.0563110484953892
"77",81,2,0.01,0.784551259044473,0.0753870123199217,0.0559971708687955
"78",82,2,0.001,0.728786264709059,0.0845824755384401,0.0670157070367811
"79",83,2,0.001,0.73273981335723,0.0839637226634584,0.0649978657453801
"80",84,2,0.001,0.732533739692218,0.0839960869639594,0.0650968700431766
"81",85,2,0.001,0.724809743209943,0.0852002910844756,0.0666998172326632
"82",86,2,0.001,0.72470499830543,0.0852165043171174,0.0671734855924696
"83",87,2,0.001,0.721740571561137,0.0856740891997958,0.0664902366194951
"84",88,2,0.001,0.710103408321444,0.0874472399179669,0.0676608568847701
"85",89,2,0.001,0.710114715439311,0.0874455345065909,0.067090046998827
"86",90,2,0.001,0.714392679553832,0.0867979002431203,0.0669110406570146
"87",91,2,0.001,0.714118295557554,0.0868395837640947,0.0669091327609569
"88",92,2,0.001,0.711621933555445,0.0872179078109461,0.0669655647581951
"89",93,2,0.01,0.768868555235986,0.0780825645302309,0.0556270054618559
"90",94,2,0.01,0.764653235593328,0.0787913728698862,0.0560210802262127
"91",95,2,0.01,0.762834352439354,0.0790952573695813,0.056694841137781
"92",96,2,0.01,0.752545153113284,0.0807927766732458,0.0596735398705207
"93",97,2,0.01,0.750830464374016,0.0810722121082441,0.0599937299333442
"94",98,2,0.01,0.750582936884294,0.0811124710823887,0.0600689613916172
"95",99,2,0.01,0.741922240864918,0.0825087184059416,0.0604141946157439
"96",100,2,0.01,0.742588860230253,0.0824020887735547,0.0602223636583229
"97",101,2,0.01,0.738363968186833,0.0830755697804418,0.0604014350166489
"98",102,2,0.01,0.737369704752386,0.0832332710664348,0.0612463906692284
"99",103,2,0.01,0.738131982685996,0.0831123920356965,0.0611017460827213
"100",104,2,0.01,0.760855028509704,0.0794246260005631,0.0519057205742433
"101",105,2,0.01,0.771609449229903,0.0776182090531219,0.0511623096878922
"102",106,2,0.01,0.768862687887171,0.0780835555999131,0.0512818930837133
"103",107,2,0.01,0.770183243957271,0.0778601788235153,0.0509170649843797
"104",108,2,0.01,0.766957333531068,0.0784047315546495,0.0517438762845744
"105",109,2,0.01,0.765766413228235,0.0786048125090246,0.0515544048172564
"106",110,2,0.001,0.72161063107215,0.0856940907389231,0.0671252757371424
"107",111,2,0.01,0.762528217549372,0.0791462892314135,0.0535565446694288
"108",112,2,0.01,0.761847020767984,0.0792597250016638,0.053278866209247
"109",113,2,0.01,0.76634887967721,0.0785070187528759,0.0520447847757971
