"","n","lm_intercept","k","R2","RMSE","MAE"
"1",10,TRUE,5,-0.440603214854032,0.194938105732734,0.135726666666667
"2",11,TRUE,5,-0.48748122380206,0.198084410794994,0.13452
"3",12,TRUE,5,-0.866846381055959,0.221911006336624,0.158923333333333
"4",13,TRUE,5,-0.894511464397433,0.223549226048015,0.15813
"5",14,TRUE,5,-1.10775503474886,0.235795015073121,0.17099
"6",15,TRUE,5,-1.2107880190833,0.241489416952379,0.170515
"7",16,TRUE,5,-1.13204960284116,0.237150040972658,0.169096666666667
"8",17,TRUE,5,-0.549548830930243,0.202174875870701,0.137368333333333
"9",18,TRUE,5,-0.468648265071443,0.196826445716355,0.130086666666667
"10",19,TRUE,5,-0.423080620459998,0.193748926104551,0.134001666666667
"11",20,TRUE,5,-0.61529065840734,0.206419105866358,0.128506666666667
"12",21,TRUE,5,-0.579741531549392,0.204135045415202,0.126771666666667
"13",22,TRUE,5,-0.812971386828842,0.218685519515075,0.153539285714286
"14",23,TRUE,5,-0.673755712301364,0.210121546174272,0.142911666666667
"15",24,TRUE,5,-0.683942700484564,0.210760008114462,0.144888095238095
"16",25,TRUE,5,-0.789231617323672,0.217249023856649,0.147931666666667
"17",26,TRUE,5,-0.681152216241245,0.210585309079242,0.1436
"18",27,TRUE,5,0.320383683716109,0.133892561531003,0.102818333333333
"19",28,TRUE,5,-0.654975354609625,0.208939387462808,0.137795
"20",29,TRUE,5,-0.270780990826651,0.183088010985609,0.119838333333333
"21",30,TRUE,5,-0.478936140429416,0.197514626884526,0.128781666666667
"22",31,TRUE,5,-0.150776406274471,0.174228832478056,0.124253333333333
"23",32,TRUE,5,-0.315935032506503,0.186312406815363,0.123613333333333
"24",33,TRUE,5,0.507230196192528,0.114010958099065,0.081195
"25",34,TRUE,5,0.670133570258026,0.0932810899021518,0.0725466666666666
"26",35,TRUE,5,0.468845794853058,0.118368151052863,0.0791619047619047
"27",36,TRUE,5,0.233946658225711,0.142152354535548,0.099605
"28",37,TRUE,5,-0.227019753284835,0.179907939235599,0.11227
"29",38,TRUE,5,-0.319660750720629,0.186575967280533,0.112228333333333
"30",39,TRUE,5,-0.0706701646271868,0.168055373017348,0.10241
"31",40,TRUE,5,0.349171862294147,0.131026069161827,0.0945333333333333
"32",41,TRUE,5,0.72901658165002,0.0845465538426415,0.0697116666666667
"33",42,TRUE,5,0.729778498081709,0.0844276115971546,0.0702033333333333
"34",43,TRUE,5,0.400828166243469,0.125718805673614,0.0791283333333334
"35",44,TRUE,5,0.56283068149986,0.107386426127611,0.0777657407407408
"36",45,TRUE,5,0.593149073775876,0.103595813782862,0.073555
"37",46,TRUE,7,0.462896972895358,0.119029155357429,0.095675
"38",47,TRUE,5,0.459754134692363,0.119376894720868,0.0930452380952381
"39",48,TRUE,5,0.494564522158511,0.115466875274748,0.0831285714285715
"40",49,TRUE,5,0.378943938554821,0.127994100961538,0.0984226190476191
"41",50,TRUE,5,0.353126193308845,0.130627415643452,0.103003571428571
"42",51,TRUE,5,0.540954901165486,0.110040417435539,0.0876928571428572
"43",52,TRUE,5,0.471198800682917,0.118105675398029,0.0922607142857143
"44",53,TRUE,5,0.0476788137836663,0.158495258625622,0.139221428571429
"45",54,TRUE,5,0.0476788137836663,0.158495258625622,0.139221428571429
"46",55,TRUE,5,0.0247603996579941,0.160391081461363,0.137866666666667
"47",56,TRUE,5,0.0895627247327503,0.154970690088485,0.130141666666667
"48",57,TRUE,5,0.0249434023357005,0.160376032147085,0.137851851851852
"49",58,TRUE,5,0.0895627247327503,0.154970690088485,0.130141666666667
"50",59,TRUE,5,0.0895627247327503,0.154970690088485,0.130141666666667
"51",60,TRUE,5,0.149125663316911,0.14981567808938,0.124680128205128
"52",61,TRUE,5,0.149125663316911,0.14981567808938,0.124680128205128
"53",62,TRUE,5,0.149125663316911,0.14981567808938,0.124680128205128
"54",63,TRUE,5,0.149125663316911,0.14981567808938,0.124680128205128
"55",64,TRUE,5,0.0476788137836662,0.158495258625622,0.139221428571429
"56",65,TRUE,5,0.0476788137836662,0.158495258625622,0.139221428571429
"57",66,TRUE,5,0.0235522861954947,0.160490395851259,0.138572222222222
"58",67,TRUE,5,0.0388621514500542,0.159227248932842,0.139957142857143
"59",68,TRUE,5,0.0476788137836662,0.158495258625622,0.139221428571429
"60",69,TRUE,5,-0.0518070258688965,0.166568389051742,0.145978571428571
"61",70,TRUE,5,-0.0518070258688965,0.166568389051742,0.145978571428571
"62",71,TRUE,5,-0.0518070258688965,0.166568389051742,0.145978571428571
"63",72,TRUE,5,-0.0518070258688965,0.166568389051742,0.145978571428571
"64",73,TRUE,5,-0.0204681760964005,0.164068151301845,0.141133333333333
"65",74,TRUE,5,-0.03137881332326,0.164942910905636,0.141830555555556
"66",75,TRUE,5,-0.0518070258688965,0.166568389051742,0.145978571428571
"67",76,TRUE,5,0.113907672692,0.152884705069597,0.13070119047619
"68",77,TRUE,5,0.113907672692,0.152884705069597,0.13070119047619
"69",78,TRUE,5,0.113907672692,0.152884705069597,0.13070119047619
"70",79,TRUE,5,0.113907672692,0.152884705069597,0.13070119047619
"71",80,TRUE,5,0.065396829192257,0.157013927424766,0.13374537037037
"72",81,TRUE,5,0.113907672692,0.152884705069597,0.13070119047619
"73",82,TRUE,5,0.115885139917101,0.152714015546111,0.130159523809524
"74",83,TRUE,5,0.113907672692,0.152884705069597,0.13070119047619
"75",84,TRUE,5,0.0689906011403361,0.156711758680202,0.133166666666667
"76",85,TRUE,5,0.113907672692,0.152884705069597,0.13070119047619
"77",86,TRUE,5,0.113907672692,0.152884705069597,0.13070119047619
"78",87,TRUE,5,0.113907672692,0.152884705069597,0.13070119047619
"79",88,TRUE,5,0.113744502818725,0.152898780933284,0.130742857142857
"80",89,TRUE,5,0.105616013946774,0.153598353066125,0.132465476190476
"81",90,TRUE,5,0.0523235102706108,0.158108276698261,0.135538888888889
"82",91,TRUE,5,0.0523235102706108,0.158108276698261,0.135538888888889
"83",92,TRUE,5,0.0966324249354481,0.154367830605506,0.133922619047619
"84",93,TRUE,5,0.0966324249354481,0.154367830605506,0.133922619047619
"85",94,TRUE,5,0.0966324249354481,0.154367830605506,0.133922619047619
"86",95,TRUE,5,0.0509676677467661,0.158221339176427,0.13570462962963
"87",96,TRUE,5,0.101203915015228,0.153976746135058,0.133220238095238
"88",97,TRUE,5,0.101203915015228,0.153976746135058,0.133220238095238
"89",98,TRUE,7,0.004478210266885,0.162050336385438,0.140214814814815
"90",99,TRUE,5,0.0512347423107755,0.158199074461559,0.135672222222222
"91",100,TRUE,5,0.0512347423107755,0.158199074461559,0.135672222222222
"92",101,TRUE,5,0.0512347423107755,0.158199074461559,0.135672222222222
"93",102,TRUE,5,0.0525856979092989,0.158086403778664,0.135506481481482
"94",103,TRUE,5,0.0523235102706108,0.158108276698261,0.135538888888889
"95",104,TRUE,5,0.0687974037825836,0.156728017768036,0.133199074074074
"96",105,TRUE,5,0.116420508726866,0.152667771157963,0.12999880952381
"97",106,TRUE,5,0.136463379549834,0.150926302182476,0.124796428571429
"98",107,TRUE,5,0.136463379549834,0.150926302182476,0.124796428571429
"99",108,TRUE,5,0.0687974037825836,0.156728017768036,0.133199074074074
"100",109,TRUE,5,0.138077819910877,0.150785152693252,0.126340909090909
"101",110,TRUE,5,0.138077819910877,0.150785152693252,0.126340909090909
"102",111,TRUE,5,0.138077819910877,0.150785152693252,0.126340909090909
"103",112,TRUE,5,0.138077819910877,0.150785152693252,0.126340909090909
"104",113,TRUE,5,0.139087316551369,0.15069682586719,0.126217424242424
