"","n","k","R2","RMSE","MAE"
"1",2,5,-0.0403977477780166,0.189648641439901,0.1360225
"2",3,5,-0.0328907825396632,0.188963200121082,0.150425
"3",4,7,-0.44540888831856,0.223534929129244,0.154869642857143
"1",5,7,-0.579881374195311,0.233701916450317,0.152124107142857
"2",6,5,-1.18941037675802,0.27511458848996,0.16322
"3",7,5,-1.28732612321255,0.281199199012017,0.17765375
"4",8,13,0.415199276278528,0.142185066345647,0.121219230769231
"5",9,13,0.500391438975338,0.131421061306891,0.111604807692308
"6",10,13,0.44020532568075,0.139111942666529,0.119269711538462
"7",11,11,0.24163666592043,0.161915601628193,0.133164204545455
"8",12,9,0.334159268818826,0.151717337816532,0.128442361111111
"9",13,13,0.399707845070223,0.144056005491598,0.115895673076923
"10",14,5,-0.370946090893126,0.217700899286154,0.1396225
"11",15,5,-0.368543775496886,0.217510076490723,0.14017625
"12",16,5,0.268551872009206,0.159016357334709,0.12556
"13",17,7,0.131162818409952,0.173308248556891,0.131697321428571
"14",18,7,0.168128347555735,0.169581392398928,0.125023214285714
"15",19,7,0.367191085198374,0.147906182731846,0.110365178571429
"16",20,5,0.12580414287472,0.173841878513205,0.11161875
"17",21,5,-0.156710653540645,0.199968874406118,0.128079375
"18",22,5,-0.0100537584571645,0.186862553297872,0.11253125
"19",23,5,-0.0115469662415697,0.187000625934781,0.11443
"20",24,5,0.159600758335144,0.17044837304885,0.10755875
"21",25,5,0.102574879032659,0.176136412050433,0.1049525
"22",26,5,0.630129395721463,0.113077173094308,0.08621875
"23",27,7,0.697114699002864,0.102326738767718,0.0814473214285714
"24",28,5,0.621012706395267,0.114462271185749,0.08855125
"25",29,7,0.779860374449267,0.0872366833881907,0.0795142857142857
"26",30,5,0.578254580708717,0.120746686393458,0.09331375
"27",31,5,0.585840025718429,0.119655894234258,0.09236125
"28",32,5,0.734858178084229,0.0957390585132317,0.08296875
"29",33,5,0.733303459694486,0.0960193419317171,0.08259625
"30",34,5,0.69705776148361,0.102336356198567,0.0857275
"31",35,5,0.700388062101308,0.101772300381784,0.08483875
"32",36,5,0.710423622547135,0.100053342023143,0.0837575
"33",37,5,0.499465240850541,0.131542822210108,0.09942625
"34",38,5,0.624119565076442,0.113992136790219,0.0925175
"35",39,5,0.62256812119698,0.11422714541649,0.0957925
"36",40,5,0.629253638505084,0.113210962587552,0.092075
"37",41,5,0.627670487993829,0.113452420203361,0.092315
"38",42,5,0.619185268594386,0.114737901976635,0.0965175
"39",43,5,0.619185268594386,0.114737901976635,0.0965175
"40",44,11,0.669821293057768,0.106837708732598,0.0953630681818182
"41",45,5,0.511925453943835,0.12989520324092,0.09484375
"42",46,11,0.731683941958827,0.0963104399426259,0.0855948863636364
"43",47,5,0.478383548811173,0.134284434410694,0.10049625
"44",48,5,0.704262228648203,0.101112170261547,0.09091625
"45",49,5,0.732090939922983,0.0962373674826987,0.0835675
"46",50,5,0.562114905706122,0.12303540841969,0.09189625
"47",51,5,0.555916142760314,0.123903201330716,0.0930075
"48",52,5,0.551227274005762,0.124555601038251,0.0940925
"49",53,5,0.53367508388797,0.126968019300137,0.09481125
"50",54,5,0.530319582268887,0.127424007941989,0.09559
"51",55,5,0.587945287058885,0.119351388869171,0.09438375
"52",56,5,0.738220344430951,0.0951301059076463,0.0806425
"53",57,5,0.722322147928687,0.0979762143328675,0.0839887499999999
"54",58,7,0.738714379233073,0.0950402979782572,0.0790267857142857
"55",59,7,0.724302618551909,0.0976261931908582,0.080575
"56",60,7,0.723627013193709,0.0977457380719205,0.0804357142857142
"57",61,7,0.747786351142393,0.0933757981135894,0.0745978794642857
"58",62,7,0.739641711908449,0.0948714936023977,0.0795844866071428
"59",63,7,0.68150340755511,0.104930666005545,0.0900946428571428
"60",64,7,0.682166479947769,0.104821382453141,0.0900232142857143
"61",65,5,0.587397220239621,0.119430736098376,0.09635125
"62",66,5,0.566096544602043,0.122474757603353,0.098745
"63",67,9,0.614886094257974,0.115383746006934,0.0969888888888889
"64",68,5,0.562613866441879,0.122965290326173,0.09949375
"65",69,5,0.553664234993553,0.124216954861243,0.10137125
"66",70,5,0.516367883980297,0.129302702117937,0.10799125
"67",71,5,0.528920403117491,0.12761366502064,0.1051225
"68",72,5,0.548907597327132,0.124877095978406,0.1027025
"69",73,5,0.540490914845282,0.126036717963457,0.10389625
"70",74,5,0.533885541320938,0.126939365052768,0.10185
"71",75,5,0.528968393350873,0.127607164669544,0.10257625
"72",76,5,0.517334215250264,0.129173459541812,0.1049225
"73",77,5,0.517334215250264,0.129173459541812,0.1049225
"74",78,5,0.538974311089893,0.126244537901646,0.1022725
"75",79,7,0.482371271124738,0.133770151924554,0.109223214285714
"76",80,7,0.482371271124738,0.133770151924554,0.109223214285714
"77",81,7,0.47073492806207,0.135265378289404,0.110529464285714
"78",82,7,0.499539051147687,0.13153312301082,0.1068875
"79",83,7,0.506722379677159,0.130585735774452,0.106832142857143
"80",84,7,0.493028557426539,0.132385915315715,0.110088392857143
"81",85,5,0.067593859174119,0.17953643481199,0.12131125
"82",86,5,0.0343408442397839,0.182709851882705,0.12507125
"83",87,5,0.0121846919437607,0.184794018774959,0.12683625
"84",88,5,0.0395983019100561,0.182211798122405,0.12775875
"85",89,5,0.0426883288273642,0.181918434950942,0.12666625
"86",90,9,0.578147228878968,0.120762052953906,0.103342361111111
"87",91,9,0.546856216058474,0.125160718530068,0.105025
"88",92,7,0.449844300506798,0.13790907404548,0.112623214285714
"89",93,7,0.456412730414392,0.13708333860079,0.111466964285714
"90",94,7,0.45801346218801,0.136881351311034,0.11045
"91",95,5,0.22234490669718,0.16396212741057,0.13223125
"92",96,5,0.216195916596911,0.164609082829594,0.13291
"93",97,5,0.27066057129619,0.158786976953401,0.126275
"94",98,5,0.2664584626692,0.159243747681642,0.127151458333333
"95",99,5,0.253249248036204,0.160671137576106,0.127865
"96",100,5,0.25045669822868,0.160971280202401,0.1283475
"97",101,5,0.453139631671199,0.137495428742195,0.11129625
"98",102,5,0.448742167574393,0.138047142310154,0.111755
"99",103,5,0.448742167574393,0.138047142310154,0.111755
"100",104,5,0.448742167574393,0.138047142310154,0.111755
"101",105,5,0.443839444660991,0.138659658516816,0.11257
"102",106,5,0.443839444660991,0.138659658516816,0.11257
"103",107,5,0.434946221859073,0.139763872656706,0.1135525
"104",108,5,0.434946221859073,0.139763872656706,0.1135525
"105",109,5,0.447411735782836,0.138213626679861,0.1132125
"106",110,5,0.450843949024506,0.137783724728286,0.1114275
"107",111,5,0.446800503747032,0.138290046369939,0.11496125
"108",112,5,0.447917748141771,0.138150330166091,0.11482125
"109",113,5,0.447917748141771,0.138150330166091,0.11482125
"110",114,5,0.430429841260151,0.140321315647338,0.11641875
"111",115,5,0.448895966867568,0.138027883596033,0.1143275
"112",116,5,0.419216098564279,0.141695911461834,0.11723125
"113",117,5,0.474425577074696,0.13479293981882,0.10876875
"114",118,5,0.0340265946660098,0.182739578635828,0.12963
"115",119,7,0.667300395576088,0.107244783422918,0.0908285714285715
"116",120,7,0.650984710362327,0.109842968387064,0.0928160714285714
