"","n","C","sigma","R2","RMSE","MAE"
"1",2,2,0.1,0.0403089749485088,0.182144369578323,0.120492057835325
"2",3,2,0.1,0.0588087615460077,0.180380244849073,0.120065921145365
"3",4,2,0.1,0.100864448308668,0.17630418410785,0.118052801331619
"1",5,2,0.1,0.136615853481395,0.172763529995113,0.105259990442078
"2",6,2,0.1,-0.08971995416672,0.194091933319941,0.114894361959889
"3",7,2,0.1,-0.0981153364635392,0.194838156956761,0.11658580583533
"4",8,2,0.1,-0.114328488597205,0.196271233156462,0.109501672327453
"5",9,2,0.1,-0.159208983611232,0.200184710052511,0.112931220269585
"6",10,2,0.1,-0.089558442537778,0.194077549227111,0.10506741176079
"7",11,2,0.1,-0.127684975614111,0.197443995739178,0.112873779699212
"8",12,2,0.01,0.774224332148671,0.0883463480852758,0.0749054602231893
"9",13,2,0.01,0.811641366289163,0.0806942891267869,0.0692492440911309
"10",14,2,0.01,0.810096461647815,0.0810245378626574,0.0728540352637577
"11",15,2,0.01,0.803260313713836,0.0824700051221949,0.0742349954675484
"12",16,1.47368421052632,0.01,0.811257978671668,0.0807763704844472,0.0708616944799692
"13",17,1.47368421052632,0.01,0.806246883450286,0.0818416511641298,0.0695767769875051
"14",18,1.78947368421053,0.01,0.877840909427957,0.0649849710374495,0.0545140272671738
"15",19,2,0.01,0.883270660230428,0.0635243235124061,0.0541528665274591
"16",20,2,0.01,0.872577242812403,0.0663702621986464,0.0573771136056121
"17",21,1.78947368421053,0.01,0.851319386546709,0.0716930747093654,0.0633992223447074
"18",22,2,0.01,0.851561806260644,0.0716346040575135,0.0634841436308649
"19",23,2,0.01,0.842045927871151,0.073895067063289,0.066293071494334
"20",24,2,0.01,0.83030853261836,0.0765914050915617,0.0689255394586387
"21",25,2,0.01,0.818358386599734,0.079242416275341,0.0692211797304087
"22",26,2,0.01,0.806035285432051,0.0818863286536056,0.0715277620295268
"23",27,2,0.01,0.803365876151473,0.0824478771442679,0.0735769388721713
"24",28,2,0.01,0.809101262599752,0.0812365670220572,0.0720012452514363
"25",29,2,0.01,0.801623572918514,0.0828123418574438,0.0728826898350635
"26",30,2,0.01,0.791068302390329,0.0849869416143688,0.0750440650986823
"27",31,2,0.01,0.769108604607205,0.0893416375587492,0.0792516247547558
"28",32,2,0.01,0.786644469869344,0.0858819677105394,0.0750656848658009
"29",33,2,0.01,0.788977022554082,0.0854112164975819,0.0723293681737635
"30",34,2,0.01,0.789883995083436,0.0852274710026952,0.0721276773367278
"31",35,2,0.01,0.785282679885599,0.0861556123085307,0.0732304628093332
"32",36,2,0.01,0.778587722565952,0.0874884825218418,0.0742714274164463
"33",37,2,0.01,0.775922523165193,0.0880134686478632,0.0761841493338629
"34",38,2,0.01,0.796368225149476,0.0839020954715243,0.0700922490630736
"35",39,2,0.01,0.798436439658948,0.0834749263880579,0.0702151008063986
"36",40,2,0.01,0.799117933831287,0.0833336909333688,0.0682555987705249
"37",41,2,0.01,0.800331727235298,0.0830815451230451,0.0683068547908009
"38",42,2,0.01,0.798816325577188,0.083396226883857,0.0684438006656679
"39",43,2,0.01,0.79358844743114,0.0844728281324183,0.0710153990432885
"40",44,2,0.01,0.769374983024511,0.0892900861528504,0.0727712476369978
"41",45,2,0.01,0.767837274699566,0.0895872655365174,0.0721975597001481
"42",46,2,0.01,0.766727497392194,0.0898011314443792,0.0715995325898498
"43",47,2,0.01,0.762408041989152,0.0906287317514097,0.073212590783769
"44",48,2,0.01,0.756727249036483,0.0917057923077857,0.0734357380019738
"45",49,2,0.01,0.755242096829346,0.0919852930421531,0.0747063478602217
"46",50,2,0.01,0.785406012076698,0.0861308651509294,0.0641225610852288
"47",51,2,0.01,0.790784901247601,0.0850445614840303,0.063512020400276
"48",52,2,0.01,0.787942682560726,0.0856202843600406,0.0645533579563767
"49",53,2,0.01,0.790217138475336,0.0851598792166032,0.0643894152313335
"50",54,2,0.01,0.792798481431465,0.0846343184566553,0.0649171972756006
"51",55,2,0.01,0.772548488258557,0.0886736219808097,0.0682563658480409
"52",56,2,0.01,0.78775777978014,0.0856576044094149,0.0674118310363188
"53",57,2,0.01,0.782984736751668,0.0866154117488665,0.0658658362104808
"54",58,2,0.01,0.796952848855285,0.0837815680859459,0.0645480193486687
"55",59,2,0.01,0.80034734182208,0.0830782964612971,0.0645303910999352
"56",60,2,0.01,0.797570556959982,0.0836540312709625,0.0651524665484805
"57",61,2,0.01,0.801648821938547,0.0828070715815192,0.0645045229248769
"58",62,2,0.01,0.809987363983165,0.0810478084102679,0.0633589967504608
"59",63,2,0.01,0.811935641387993,0.0806312296283006,0.0628513222760894
"60",64,2,0.01,0.814432561263779,0.0800941729111761,0.0624399887272836
"61",65,2,0.01,0.81372770143389,0.080246143691157,0.0629360321017852
"62",66,2,0.01,0.813690493810198,0.0802541578168598,0.062854540196622
"63",67,2,0.01,0.81535574176747,0.0798946940270885,0.0628754936971331
"64",68,2,0.01,0.818405511721854,0.079232136277512,0.0623003961874022
"65",69,2,0.01,0.798393721826244,0.0834837714367951,0.0648159622765568
"66",70,2,0.01,0.823999867712095,0.0780021424430132,0.0603818107945565
"67",71,2,0.01,0.83417202400912,0.075714478302586,0.0587984956695813
"68",72,2,0.01,0.835548871934334,0.075399499443608,0.0588545453301435
"69",73,2,0.01,0.834989914885263,0.075527529366373,0.0589429712127316
"70",74,2,0.01,0.824572139617275,0.0778752255505725,0.0606470346986194
"71",75,2,0.01,0.831440344508471,0.07633555223345,0.0597398953003186
"72",76,2,0.01,0.832334197263591,0.076132883802067,0.0596049937965711
"73",77,2,0.01,0.832229322452527,0.0761566906055485,0.0596608347390356
"74",78,2,0.01,0.83239722955765,0.0761185717558893,0.0588319455864397
"75",79,2,0.01,0.831127295017101,0.0764064046587144,0.0591693220175637
"76",80,1.89473684210526,0.01,0.853906802249665,0.0710665171408301,0.0562391437233932
"77",81,2,0.01,0.859955455004019,0.0695797930514246,0.0543337785144316
"78",82,2,0.01,0.860264401984483,0.0695030020000621,0.0537333349428729
"79",83,2,0.01,0.862610548836686,0.0689170578425144,0.0528820357318614
"80",84,2,0.01,0.873140139818507,0.0662235028063654,0.0502547776061204
"81",85,2,0.01,0.870174994380889,0.0669929665289039,0.0507018223190524
"82",86,2,0.01,0.874564597518858,0.0658506548420055,0.0508197962631927
"83",87,2,0.01,0.876809245229349,0.065258801311887,0.0504494052228836
"84",88,2,0.01,0.887090331080646,0.0624763430982617,0.0476171694142404
"85",89,2,0.01,0.890098950587073,0.0616383428199573,0.0451946264713051
"86",90,2,0.01,0.890088528080254,0.0616412654982271,0.0451692793102814
"87",91,2,0.01,0.892041583697791,0.0610911480691907,0.0440910771420083
"88",92,2,0.01,0.888858906938205,0.0619851085547213,0.0453792757609013
"89",93,2,0.01,0.888575560410509,0.0620640716320063,0.0454503637628603
"90",94,2,0.01,0.890305546476748,0.0615803805960469,0.045357644587854
"91",95,2,0.01,0.890788302918813,0.0614447260362976,0.0464360820768007
"92",96,2,0.01,0.891059916913928,0.0613682706858209,0.0464916286932334
"93",97,2,0.01,0.884379831429074,0.0632217966253771,0.0455895990641845
"94",98,2,0.01,0.888920746811913,0.0619678616277417,0.0447018127094638
"95",99,2,0.01,0.891087218990576,0.0613605802831192,0.0441320147048341
"96",100,2,0.01,0.890414039807829,0.0615499200157755,0.0443565841638617
"97",101,2,0.01,0.889672745833457,0.0617577462938679,0.0440889153878621
"98",102,2,0.01,0.896909112482131,0.0596980538659645,0.0428286794333529
"99",103,2,0.01,0.897766953186557,0.0594491550418035,0.0422771071169599
"100",104,2,0.01,0.89853851015098,0.0592243975791161,0.0421118252601749
"101",105,2,0.01,0.894317551519766,0.0604437593137909,0.0440972928125523
"102",106,2,0.01,0.893102174188278,0.0607903257187264,0.0448113805275965
"103",107,2,0.01,0.894414354741805,0.0604160702734671,0.0444670011086381
"104",108,2,0.01,0.893982618360701,0.0605394639690619,0.0440035243161388
"105",109,2,0.01,0.883795932523307,0.0633812352809259,0.047431559587163
"106",110,2,0.01,0.883743257977881,0.0633955988035475,0.0481232281864118
"107",111,2,0.01,0.867805216294387,0.0676016340243393,0.0504278133300585
"108",112,2,0.01,0.869521354461009,0.0671614021013643,0.0507563567250959
"109",113,2,0.01,0.870111737075837,0.067009285721068,0.0506077634757159
"110",114,2,0.01,0.869383085367179,0.0671969783723794,0.0511633483120014
"111",115,2,0.01,0.870784855504474,0.0668354294656166,0.0506197987765676
"112",116,2,0.01,0.875179305268503,0.0656891030727536,0.049415110751583
"113",117,2,0.01,0.874766965849624,0.0657975140778716,0.0499757558676134
"114",118,2,0.01,0.869314261674338,0.0672146795068911,0.0530138758783512
"115",119,2,0.01,0.898473324471928,0.0592434193907566,0.0467258191076141
"116",120,2,0.01,0.899158721848009,0.0590431072711131,0.0463431459870908
"117",121,2,0.01,0.899671707434524,0.0588927378915967,0.0463325049010022
"118",122,2,0.01,0.90012378038076,0.0587599046104021,0.0462154877611502
"119",123,2,0.01,0.902240975648236,0.0581337667222069,0.0449772529744229
"120",124,2,0.01,0.89624660682627,0.0598895691438919,0.045888040375197
"121",125,2,0.01,0.894629286271226,0.0603545470741748,0.0462785233301247
