"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"1",2,100,1,0.1,10,-0.50376664606587,0.228002840830326,0.1831252521226
"2",3,50,1,0.1,10,-0.462015822413137,0.224815406863614,0.183410634001245
"3",4,50,1,0.1,10,-0.471712469298562,0.225559705572343,0.185345027218767
"1",5,100,2,0.1,10,-0.605556177511468,0.235593219578351,0.16625568009356
"2",6,50,1,0.1,10,-0.156761378408316,0.199973258944058,0.16047315349768
"3",7,50,1,0.1,10,-0.507139853389556,0.228258422383224,0.177344077386297
"4",8,50,1,0.1,10,-0.484775378229709,0.226558527219901,0.174379078951359
"5",9,50,1,0.1,10,-0.521429874026479,0.229337991152829,0.17736214147303
"6",10,50,1,0.1,10,-0.794460463884014,0.249067454018809,0.206611135866237
"7",11,50,2,0.1,10,-0.506968630854099,0.228245456069638,0.193359930220065
"8",12,50,2,0.1,10,-0.402834407659339,0.220218215435243,0.183660073004862
"9",13,50,1,0.1,10,-0.672544735039935,0.240457820041179,0.201617898886345
"10",14,50,2,0.1,10,-0.835167885052759,0.251876665123553,0.21385691874954
"11",15,50,1,0.1,10,-0.975767274795896,0.261347246107895,0.220330877083146
"12",16,50,1,0.1,10,-0.788559899845426,0.248657623709768,0.207935624589927
"13",17,50,1,0.1,10,-0.884721292009661,0.255254614904329,0.211720065284746
"14",18,50,1,0.1,10,-0.541412272345673,0.230839136178897,0.186784535023254
"15",19,50,2,0.1,10,-0.351913148203084,0.216184439026881,0.181009103580318
"16",20,50,2,0.1,10,-0.363808659212318,0.217133461597587,0.184023027898832
"17",21,50,2,0.1,10,-0.644882950737976,0.238461094978953,0.205685055040548
"18",22,50,2,0.1,10,-0.301670685712766,0.212129269535328,0.1779952596093
"19",23,50,2,0.1,10,-0.292985890657869,0.211420418011689,0.176242761865442
"20",24,50,1,0.1,10,-0.341151851103003,0.215322300392755,0.177769736540096
"21",25,50,1,0.1,10,-0.341151851103003,0.215322300392755,0.177769736540096
"22",26,50,1,0.1,10,-0.353034165840865,0.216274051422232,0.179639230193386
"23",27,50,1,0.1,10,-0.266586979342696,0.209251000810645,0.17362430413578
"24",28,50,1,0.1,10,-0.266586979342696,0.209251000810645,0.17362430413578
"25",29,50,1,0.1,10,-0.197770897923358,0.203487114165635,0.167353072286453
"26",30,50,2,0.1,10,-0.00171515562739333,0.186089623213801,0.159780854451423
"27",31,50,1,0.1,10,-0.187886656267645,0.202645766931686,0.166799673545601
"28",32,50,1,0.1,10,-0.0278710591425324,0.188503471816465,0.15339102589374
"29",33,50,1,0.1,10,-0.0278710591425324,0.188503471816465,0.15339102589374
"30",34,50,2,0.1,10,-0.09970580691179,0.194979204165293,0.166195678677898
"31",35,50,2,0.1,10,-0.09970580691179,0.194979204165293,0.166195678677898
"32",36,50,1,0.1,10,0.0903033708467685,0.177336579308956,0.146369072770958
"33",37,50,2,0.1,10,-0.0758048782359519,0.19284873253872,0.163232632040576
"34",38,50,2,0.1,10,-0.0771865984634608,0.19297253635125,0.163421402750857
"35",39,50,2,0.1,10,0.0964419815758122,0.176737235045234,0.143669067457861
"36",40,50,2,0.1,10,0.0964419815758122,0.176737235045234,0.143669067457861
"37",41,50,2,0.1,10,0.0948427852481118,0.176893568442125,0.143386726825495
"38",42,50,2,0.1,10,0.0563654812748356,0.180614221657057,0.150481867037015
"39",43,50,2,0.1,10,0.0563654812748356,0.180614221657057,0.150481867037015
"40",44,50,1,0.1,10,0.223137072481331,0.163878595339344,0.135724634547508
"41",45,50,1,0.1,10,0.023518218174483,0.183730859551766,0.152547881069524
"42",46,50,1,0.1,10,0.023518218174483,0.183730859551766,0.152547881069524
"43",47,50,1,0.1,10,0.00458750701026056,0.185503273488123,0.155610430613964
"44",48,50,1,0.1,10,-0.0561522350938957,0.191079147712525,0.160723754286062
"45",49,50,1,0.1,10,-0.0561522350938957,0.191079147712525,0.160723754286062
"46",50,50,1,0.1,10,-0.137934250730519,0.19833922823369,0.166531471753089
"47",51,50,1,0.1,10,-0.137934250730519,0.19833922823369,0.166531471753089
"48",52,50,1,0.1,10,-0.137934250730519,0.19833922823369,0.166531471753089
"49",53,50,1,0.1,10,-0.122228979020054,0.196965777108534,0.165113814513368
"50",54,50,1,0.1,10,-0.0744442138589909,0.192726737635584,0.162188660818744
"51",55,50,1,0.1,10,-0.0744442138589909,0.192726737635584,0.162188660818744
