"","n","mtry","minnodesize","R2","RMSE","MAE"
"1",2,2,10,-0.441935631546973,0.223266195076049,0.144204593574986
"2",3,2,9,-0.295083895146421,0.211591874329968,0.134302665099442
"3",4,3,10,-0.230134312941804,0.206217871833595,0.125020975882827
"1",5,3,10,-0.0474584331106658,0.190291080923894,0.116861317283283
"2",6,2,6,-0.344320464879387,0.215576511240107,0.126737674132582
"3",7,3,6,-0.453859065266901,0.224187393984051,0.128232728826166
"4",8,4,10,-0.0628614384760342,0.191685101714827,0.119254511887492
"5",9,4,10,-0.0409912394974556,0.189702725972218,0.120823061517563
"6",10,7,10,-0.215726837121053,0.205006691193955,0.124941028100139
"7",11,7,9,-0.26643686615658,0.209238600452163,0.139207599178044
"8",12,6,9,-0.0999184334063146,0.194998052724913,0.124297288104291
"9",13,8,9,-0.141154646504103,0.198619683603733,0.128773556019319
"10",14,8,10,-0.187360910606048,0.202600917566965,0.135388711824986
"11",15,8,10,-0.200306661361626,0.203702398396754,0.136151800400165
"12",16,10,10,-0.156445915345521,0.199945989500478,0.13493325382102
"13",17,7,10,-0.138766617864651,0.198411754777313,0.132107840840593
"14",18,7,10,-0.108292808383329,0.195738966914474,0.130674760281828
"15",19,8,10,-0.0683330143413159,0.192177862661567,0.127957320583482
"16",20,8,10,-0.0410086909843397,0.189704316082025,0.12735586980244
"17",21,8,10,-0.0338063711693921,0.189046933191586,0.126679282342756
"18",22,9,10,-0.0169172244655782,0.187496357888171,0.124966797134667
"19",23,10,10,0.00328338381898496,0.185624750733986,0.126130771870787
"20",24,10,10,-0.0107415965248765,0.186926168378653,0.12671152326455
"21",25,10,10,0.0757838706376859,0.178746195147012,0.11834432318813
"22",26,10,10,0.0652918123309771,0.179757929757272,0.120417854997721
"23",27,8,10,0.0702752227799979,0.179278098322379,0.119339296411251
"24",28,8,9,0.0252407143918626,0.183568739067761,0.121655290313532
"25",29,8,9,0.129243289432828,0.173499588587035,0.116806548876992
"26",30,8,9,0.0865943953833557,0.177697726058006,0.121481615376901
"27",31,10,10,0.224315980421344,0.163754203299502,0.112652781725032
"28",32,10,10,0.224299246427053,0.163755969641888,0.11359915656379
"29",33,10,10,0.243378937979671,0.161729501359459,0.113874361228221
"30",34,8,10,0.155604239129323,0.170853176040509,0.115817806308311
"31",35,10,9,0.133654654924479,0.173059544934361,0.120243354928003
"32",36,8,8,-0.0451724174540198,0.19008331802807,0.129105999179525
"33",37,10,10,0.152683347981679,0.171148424270561,0.122454021863624
"34",38,8,9,0.167402626357085,0.169655347306231,0.11893727143853
"35",39,9,8,0.152875101271363,0.171129057171934,0.115000321057356
"36",40,8,8,0.104405805617736,0.17595664357318,0.122600204535263
"37",41,10,10,0.135326652966462,0.172892466663179,0.120107051334044
