"","n","k","distance","kernel","R2","RMSE","MAE"
"1",2,5,2,"optimal",-0.101056799245478,0.195098933713129,0.1370395
"2",3,5,2,"optimal",-0.185997900219148,0.20248459806896,0.143525097395301
"3",4,5,2,"optimal",-0.228157108598412,0.206052077400323,0.135400021518594
"1",5,5,2,"optimal",-0.308013211305391,0.212645452458257,0.133810377015709
"2",6,5,2,"optimal",-1.16156178774193,0.273359304854239,0.158612281660946
"3",7,5,2,"optimal",-1.28043753159922,0.280775445035941,0.178691876798664
"4",8,5,2,"optimal",-1.78479335638342,0.310274812156394,0.187793202924996
"5",9,5,2,"optimal",-1.88857245748695,0.3160033358613,0.189135161693925
"6",10,7,2,"optimal",-1.06658217352738,0.267286099672163,0.162764336151127
"7",11,5,2,"optimal",-1.69137852818647,0.305026397750584,0.17691023746522
"8",12,7,2,"optimal",0.133953403837683,0.173029703596158,0.126195497381324
"9",13,9,2,"optimal",0.54342059714658,0.12563429068996,0.104486306833823
"10",14,5,2,"optimal",0.199386440387459,0.166364823999713,0.127298143335097
"11",15,5,2,"optimal",0.209595889269948,0.16530067591109,0.124763718778142
"12",16,23,2,"optimal",0.30307804221464,0.155218008950165,0.122088169595254
"13",17,23,2,"optimal",0.591394664900129,0.11885078394294,0.101911434558207
"14",18,5,2,"optimal",0.779716206246066,0.0872652441196541,0.0722424743237227
"15",19,23,2,"optimal",0.764557382931332,0.0902178706499985,0.0765796311710473
"16",20,23,2,"optimal",0.658880669127967,0.108593342229206,0.0804958766540776
"17",21,15,2,"optimal",0.689538052892907,0.103598680196176,0.0840799845773347
"18",22,15,2,"optimal",0.731787075982159,0.0962919284940297,0.0780737126545861
"19",23,15,2,"optimal",0.723185367104147,0.0978238061044557,0.0789720343503287
"20",24,11,2,"optimal",0.644155886451154,0.110912355133273,0.0810172075177037
"21",25,11,2,"optimal",0.645015256549068,0.110778346484289,0.0803678758731389
"22",26,11,2,"optimal",0.821352084150907,0.0785866925670293,0.0674164541657864
"23",27,23,2,"optimal",0.765776744675247,0.0899839473587283,0.0784826232843908
"24",28,21,2,"optimal",0.78225828393087,0.0867602620228988,0.0773680325571059
"25",29,17,2,"optimal",0.795559195022317,0.0840686019889644,0.0760732510364927
"26",30,15,2,"optimal",0.695456469203052,0.102606464523244,0.0870232923922118
"27",31,17,2,"optimal",0.723376873842932,0.0977899618687901,0.0857960903516202
"28",32,17,2,"optimal",0.729744735969754,0.0966578465482123,0.0845734484568721
"29",33,15,2,"optimal",0.738107558901998,0.0951505966976639,0.0809268032385284
"30",34,15,2,"optimal",0.732534485659254,0.096157669998661,0.0821259080637268
"31",35,15,2,"optimal",0.730955932753911,0.0964410087052332,0.0824053763855361
"32",36,13,2,"optimal",0.699100328320475,0.101990774839823,0.0814317153835153
"33",37,7,2,"optimal",0.0304846447838645,0.183074299129287,0.115310584327367
"34",38,7,2,"optimal",0.0982011259665576,0.176565105650488,0.107452718327347
"35",39,5,2,"optimal",0.00566565066345193,0.185402785819386,0.11540158735722
"36",40,9,2,"optimal",0.0460960219777363,0.181594363447495,0.118828253577743
"37",41,7,2,"optimal",0.0107662978667624,0.184926643121082,0.116464484248547
"38",42,5,2,"optimal",-0.0556567598434616,0.191034321743408,0.122937078269667
"39",43,5,2,"optimal",-0.0704771491795639,0.192370615625461,0.126858256496835
"40",44,9,2,"optimal",0.0243225816295438,0.183655171075783,0.127434425503115
"41",45,9,2,"optimal",0.0296289901675658,0.183155068258272,0.124422197683712
"42",46,9,2,"optimal",0.0259846781885162,0.183498673274974,0.123052464549046
"43",47,9,2,"optimal",0.0563136702624882,0.180619179973565,0.116125011659038
"44",48,9,2,"optimal",0.114815386541154,0.174931073952331,0.117329043995809
"45",49,9,2,"optimal",0.123457741931932,0.174075023866945,0.116533608963992
"46",50,9,2,"optimal",0.164802255471333,0.169920074840298,0.11638344356715
"47",51,9,2,"optimal",0.20098907939129,0.166198229070584,0.114031687029165
"48",52,9,2,"optimal",0.194636137667208,0.166857642587983,0.117173605256623
"49",53,9,2,"optimal",0.187699776773629,0.167574649832622,0.118845220975159
"50",54,9,2,"optimal",0.195640359690908,0.166753581309621,0.116840801484418
"51",55,11,2,"optimal",0.416569935649671,0.142018341498848,0.109316511805305
"52",56,9,2,"optimal",0.317353304713876,0.153620095348708,0.113146277334126
"53",57,7,2,"optimal",0.239684243326597,0.162123895236843,0.112887604404021
"54",58,7,2,"optimal",0.228842121894629,0.163275748778845,0.116749668246163
"55",59,9,2,"optimal",0.330269534016064,0.152159846673145,0.114954501733474
"56",60,9,2,"optimal",0.313904108391649,0.154007703057257,0.116557933933904
"57",61,7,2,"optimal",0.206844203000747,0.165588162022236,0.122015263031914
"58",62,7,2,"optimal",0.11162987522473,0.175245553253228,0.132029943595735
"59",63,9,2,"optimal",0.189074212510183,0.167432819207389,0.130402900598535
"60",64,9,2,"optimal",0.242349901669996,0.161839443435897,0.128535858700192
"61",65,9,2,"optimal",0.251515089425688,0.160857590458994,0.126662367522497
"62",66,11,2,"optimal",0.334505578224948,0.151677877948544,0.122149740814775
"63",67,11,2,"optimal",0.322600709599924,0.153028528778944,0.123422059991697
"64",68,11,2,"optimal",0.332934856706758,0.151856769977506,0.122179145127987
"65",69,9,2,"optimal",0.311521492143071,0.15427488381249,0.120466910011854
"66",70,7,2,"optimal",0.105305372896821,0.175868252755764,0.133990434716763
"67",71,7,2,"optimal",0.186605041485672,0.167687531812804,0.12887031099283
"68",72,9,2,"optimal",0.340181157383256,0.151029710905505,0.121011351590085
"69",73,9,2,"optimal",0.351418571939769,0.149738089805767,0.12087991145994
"70",74,9,2,"optimal",0.289850170622826,0.15668413623864,0.130521132615542
"71",75,9,2,"optimal",0.43122070830942,0.14022386140644,0.120515599595747
"72",76,9,2,"optimal",0.449660002306394,0.137932171384986,0.118591733738936
"73",77,9,2,"optimal",0.447397801996152,0.138215369231391,0.118798188671181
"74",78,9,2,"optimal",0.455162299156739,0.137240916636017,0.118126927410035
"75",79,9,2,"optimal",0.437351416466873,0.139466097638453,0.120140684269305
"76",80,9,2,"optimal",0.433243669634859,0.139974274149807,0.120670806214013
"77",81,9,2,"optimal",0.447413258755702,0.138213436216399,0.119397749581539
"78",82,9,2,"optimal",0.453125129211187,0.137497251884676,0.118820707570291
"79",83,9,2,"optimal",0.420268531618093,0.141567470333443,0.121136852946462
"80",84,7,2,"optimal",0.241280081203827,0.161953663755499,0.132534390496584
"81",85,7,2,"optimal",0.268947356856539,0.158973362445215,0.130299079072119
"82",86,7,2,"optimal",0.245622961303841,0.161489490681567,0.132354316845216
"83",87,7,2,"optimal",0.239160290820265,0.16217974742133,0.132974753414773
"84",88,7,2,"optimal",0.251347351964215,0.160875613756454,0.132071291861185
"85",89,7,2,"optimal",0.239410712222006,0.162153055450873,0.13307606354676
"86",90,7,2,"optimal",0.240047391443517,0.162085173154266,0.132871304868426
"87",91,7,2,"optimal",0.267269695717075,0.15915566846562,0.129698506069117
"88",92,7,2,"optimal",0.266322588675286,0.159258495368743,0.129456990675598
"89",93,7,2,"optimal",0.252099371252772,0.16079479392526,0.130438407132087
"90",94,7,2,"optimal",0.251071239596751,0.160905277480889,0.130758640242464
"91",95,7,2,"optimal",0.162131841335727,0.170191504479089,0.138194583944117
"92",96,7,2,"optimal",0.18322528340853,0.168035552034549,0.136154052471648
"93",97,9,2,"optimal",0.298372172654368,0.155741171407048,0.129583098837103
"94",98,9,2,"optimal",0.295501507169302,0.156059448719058,0.129746787183587
"95",99,11,2,"optimal",0.425636125286866,0.140910576782234,0.120712354673925
"96",100,9,2,"optimal",0.305829069848433,0.154911352477075,0.128886803615364
"97",101,9,2,"optimal",0.38266245022025,0.146086936284502,0.124435210112036
"98",102,9,2,"optimal",0.38469799003661,0.145845892057007,0.124196205855435
"99",103,9,2,"optimal",0.393110475910504,0.144845449123786,0.123280115731471
"100",104,9,2,"optimal",0.395130133881989,0.144604233841998,0.122663958294923
"101",105,11,2,"optimal",0.471847420953989,0.135123142442324,0.116907613648571
"102",106,11,2,"optimal",0.465002789788082,0.135995892946365,0.11744700730413
"103",107,11,2,"optimal",0.455655770735047,0.137178751487132,0.119044322086648
"104",108,11,2,"optimal",0.450324404554344,0.137848886396762,0.119606756260211
"105",109,9,2,"optimal",0.277591040541653,0.158030748109637,0.127509827895448
"106",110,9,2,"optimal",0.30097753176093,0.155451745130243,0.124956749032244
"107",111,9,2,"optimal",0.171533150941326,0.169233993063412,0.129716071809528
"108",112,9,2,"optimal",0.164712460292932,0.169929208960597,0.130067432761421
"109",113,9,2,"optimal",0.163417790284582,0.170060850495249,0.130327304398323
"110",114,9,2,"optimal",0.188297818067031,0.167512951577525,0.127218201635263
"111",115,9,2,"optimal",0.207135069043598,0.165557796998054,0.125512772142096
"112",116,9,2,"optimal",0.204583150472256,0.165824015485746,0.125089993691429
"113",117,9,2,"optimal",0.234305651247805,0.162696329491211,0.123078224235175
"114",118,9,2,"optimal",0.204509734980504,0.165831667932857,0.121586298134027
"115",119,15,2,"optimal",0.641939442800492,0.111257238415173,0.0979198313025748
"116",120,15,2,"optimal",0.635666251632161,0.112227615418422,0.0989673688541088
