"","n","lm_intercept","k","R2","RMSE","MAE"
"1",10,TRUE,5,0.534285378212091,0.200141824464553,0.146915
"2",11,TRUE,5,0.4270355246977,0.221994270421558,0.139978333333333
"3",12,TRUE,5,0.356439505240668,0.235273279471625,0.158371666666667
"4",13,TRUE,5,0.0883599899113136,0.280020357890874,0.171798333333333
"5",14,TRUE,5,-0.027906118700757,0.297340894317168,0.183781666666667
"6",15,TRUE,7,0.502420706003894,0.206875503197304,0.136600708061002
"7",16,TRUE,5,0.367991170547482,0.23315218536977,0.153822727272727
"8",17,TRUE,5,0.0142905767176632,0.291173852019717,0.180881666666667
"9",18,TRUE,7,0.515318453893935,0.204176690475023,0.134496666666667
"10",19,TRUE,7,0.494738905574529,0.208466294534129,0.131039814814815
"11",20,TRUE,7,0.508116423282785,0.205688058502355,0.131524242424242
"12",21,TRUE,7,0.511937756220197,0.204887528541519,0.126739814814815
"13",22,TRUE,7,0.501276727594046,0.207113179123557,0.128225
"14",23,TRUE,7,0.500564652308303,0.207260984107799,0.126516666666667
"15",24,TRUE,7,0.420334735257195,0.223288602799843,0.145952976190476
"16",25,TRUE,7,0.357547664621704,0.235070631371368,0.149716666666667
"17",26,TRUE,7,0.440458368436058,0.219378529031444,0.135873333333333
"18",27,TRUE,7,0.552511133027017,0.19618646198621,0.131283333333333
"19",28,TRUE,7,0.658027998485339,0.171503581109356,0.104866666666667
"20",29,TRUE,7,0.383616783009349,0.230251951783258,0.140268333333333
"21",30,TRUE,5,0.411289066340964,0.22502406640838,0.139036111111111
"22",31,TRUE,5,0.327179930573734,0.240562199780724,0.132008333333333
"23",32,TRUE,5,0.299337949025081,0.245489101133859,0.141742857142857
"24",33,TRUE,7,0.172546253466928,0.266777857901788,0.16308
"25",34,TRUE,7,0.277399941977551,0.249302660810595,0.141990740740741
"26",35,TRUE,5,0.496395110901803,0.208124346190844,0.154357407407407
"27",36,TRUE,5,0.663986723886097,0.170002824192227,0.124078333333333
"28",37,TRUE,5,0.58266234975828,0.189461818281203,0.137012037037037
"29",38,TRUE,5,0.550211041307581,0.196690014726229,0.145635185185185
"30",39,TRUE,5,0.577270724266608,0.190681728672833,0.130436904761905
"31",40,TRUE,5,0.357686439694726,0.235045241389823,0.157921666666667
"32",41,TRUE,5,0.168561965999837,0.267419370028924,0.18524
"33",42,TRUE,5,0.366971797217529,0.233340136353207,0.170565
"34",43,TRUE,5,0.678287058308861,0.166345931608155,0.141320238095238
"35",44,TRUE,5,0.609207286895955,0.183337432984465,0.142826666666667
"36",45,TRUE,5,-0.0472172059652916,0.300120942939936,0.207482142857143
"37",46,TRUE,5,0.0350597818053466,0.288089958935041,0.178731884057971
"38",47,TRUE,5,-0.0192373151628666,0.296084433592765,0.185944047619048
"39",48,TRUE,5,-0.0673719134187829,0.302995238035537,0.197105797101449
"40",49,TRUE,5,0.137612705148732,0.272351074186005,0.167027173913044
"41",50,TRUE,7,0.134773751202644,0.272798991771933,0.172341304347826
"42",51,TRUE,7,0.134773751202644,0.272798991771933,0.172341304347826
"43",52,TRUE,7,0.134773751202644,0.272798991771933,0.172341304347826
"44",53,TRUE,7,0.0890215753571898,0.279918732789834,0.166631666666667
"45",54,TRUE,7,0.0716817457235825,0.282570202545609,0.170058333333333
"46",55,TRUE,7,0.0737955594260892,0.282248307996109,0.166788333333333
"47",56,TRUE,5,0.11070211418871,0.276567757063988,0.175161274509804
"48",57,TRUE,5,0.11070211418871,0.276567757063988,0.175161274509804
"49",58,TRUE,5,0.11070211418871,0.276567757063988,0.175161274509804
"50",59,TRUE,5,0.11070211418871,0.276567757063988,0.175161274509804
"51",60,TRUE,5,0.11070211418871,0.276567757063988,0.175161274509804
"52",61,TRUE,5,0.11070211418871,0.276567757063988,0.175161274509804
"53",62,TRUE,5,0.120364148678671,0.275061228603685,0.17026862745098
"54",63,TRUE,5,0.134289700501953,0.272875289780592,0.172451086956522
"55",64,TRUE,5,0.12954923065605,0.27362137718159,0.162507843137255
"56",65,TRUE,5,0.0892557246570139,0.279882756642824,0.182920238095238
"57",66,TRUE,5,0.134773751202644,0.272798991771933,0.172341304347826
"58",67,TRUE,5,0.134051819518683,0.272912777716079,0.172697101449275
"59",68,TRUE,5,0.134773751202644,0.272798991771933,0.172341304347826
"60",69,TRUE,5,0.134773751202644,0.272798991771933,0.172341304347826
"61",70,TRUE,5,0.134289700501953,0.272875289780592,0.172451086956522
"62",71,TRUE,5,0.108287468031381,0.27694297473886,0.176402941176471
"63",72,TRUE,5,0.108287468031381,0.27694297473886,0.176402941176471
"64",73,TRUE,5,0.156040083236456,0.269425580975917,0.170245614035088
"65",74,TRUE,5,0.156040083236456,0.269425580975917,0.170245614035088
"66",75,TRUE,5,0.156040083236456,0.269425580975917,0.170245614035088
"67",76,TRUE,5,0.155164094365888,0.269565369960427,0.170432894736842
"68",77,TRUE,5,0.156040083236456,0.269425580975917,0.170245614035088
"69",78,TRUE,5,0.136528526322751,0.272522218011704,0.17073768115942
"70",79,TRUE,5,0.131245626553247,0.273354620823543,0.174157608695652
"71",80,TRUE,5,0.156040083236456,0.269425580975917,0.170245614035088
"72",81,TRUE,5,0.156040083236456,0.269425580975917,0.170245614035088
"73",82,TRUE,5,0.156040083236456,0.269425580975917,0.170245614035088
"74",83,TRUE,5,0.131521451318047,0.27331122307968,0.173927898550725
"75",84,TRUE,5,0.131729677253938,0.2732784566418,0.174047826086957
"76",85,TRUE,5,0.136290645339481,0.272559754508773,0.170983695652174
"77",86,TRUE,5,0.156040083236456,0.269425580975917,0.170245614035088
"78",87,TRUE,5,0.156340361794902,0.269377646280811,0.170343859649123
"79",88,TRUE,5,0.154143582649526,0.269728130321447,0.170812719298246
"80",89,TRUE,5,0.154143582649526,0.269728130321447,0.170812719298246
"81",90,TRUE,5,0.157041573598503,0.269265675740598,0.167976315789474
"82",91,TRUE,5,0.15923835274388,0.268914588970414,0.167507456140351
"83",92,TRUE,5,0.15923835274388,0.268914588970414,0.167507456140351
"84",93,TRUE,5,0.157841873480994,0.269137825746328,0.16780701754386
"85",94,TRUE,5,0.154943882532017,0.269600499632556,0.170643421052632
"86",95,TRUE,5,0.154943882532017,0.269600499632556,0.170643421052632
"87",96,TRUE,5,0.154943882532017,0.269600499632556,0.170643421052632
"88",97,TRUE,5,0.154943882532017,0.269600499632556,0.170643421052632
"89",98,TRUE,5,0.154943882532017,0.269600499632556,0.170643421052632
"90",99,TRUE,5,0.154943882532017,0.269600499632556,0.170643421052632
"91",100,TRUE,5,0.154943882532017,0.269600499632556,0.170643421052632
"92",101,TRUE,5,0.154943882532017,0.269600499632556,0.170643421052632
"93",102,TRUE,5,0.109327013781179,0.276781499579049,0.175138725490196
"94",103,TRUE,5,0.155625653551662,0.269491724078351,0.168698684210526
"95",104,TRUE,5,0.155625653551662,0.269491724078351,0.168698684210526
"96",105,TRUE,5,0.155625653551662,0.269491724078351,0.168698684210526
"97",106,TRUE,5,0.153729152964731,0.269794199250494,0.169265789473684
"98",107,TRUE,5,0.153729152964732,0.269794199250494,0.169265789473684
"99",108,TRUE,5,0.108007353896471,0.276986469445811,0.175291176470588
"100",109,TRUE,5,0.10800735389647,0.276986469445811,0.175291176470588
"101",110,TRUE,5,0.10800735389647,0.276986469445811,0.175291176470588
"102",111,TRUE,5,0.10800735389647,0.276986469445811,0.175291176470588
"103",112,TRUE,5,0.10800735389647,0.276986469445811,0.175291176470588
"104",113,TRUE,5,0.10450341258837,0.277529967801104,0.177242156862745
"105",114,TRUE,5,0.10450341258837,0.277529967801104,0.177242156862745
"106",115,TRUE,5,0.10450341258837,0.277529967801104,0.177242156862745
