"","n","C","sigma","R2","RMSE","MAE"
"1",2,0.736842105263158,10,0.304028359978291,0.244666037960417,0.173594423133298
"2",3,1.15789473684211,0.1,0.279012096834904,0.249024402516753,0.189269839247991
"3",4,0.842105263157895,0.1,0.487318813118437,0.209991447994117,0.148738745782295
"1",5,0.421052631578947,0.1,0.429889431801912,0.221440709123142,0.150847334996906
"2",6,0.421052631578947,0.1,0.434377265675785,0.220567411336368,0.145356420438919
"3",7,0.421052631578947,0.1,0.445521983206137,0.218383631681412,0.151100657132729
"4",8,0.421052631578947,0.1,0.452970939628134,0.216911769351979,0.15125868338523
"5",9,0.631578947368421,0.1,0.487225621294423,0.210010532561042,0.149657817311846
"6",10,0.842105263157895,0.1,0.544938254232179,0.197839534729421,0.142257388987737
"7",11,1.05263157894737,0.1,0.534143342090498,0.200172342296755,0.145735576321397
"8",12,1.36842105263158,0.1,0.552152433427278,0.196265076130577,0.140401688347154
"9",13,2,0.1,0.615429396934772,0.181872048873189,0.139937087430167
"10",14,2,0.1,0.618479489087277,0.181149384693055,0.138262247742106
"11",15,2,0.01,0.346191024558203,0.237139203500299,0.149561486332459
"12",16,2,0.1,0.610418636861019,0.183053064630011,0.139859655413044
"13",17,1.26315789473684,0.1,0.540158259905472,0.19887587921709,0.144132705127677
"14",18,2,0.01,0.350290342665519,0.236394614774697,0.145906207878081
"15",19,1.89473684210526,0.01,0.416109279809089,0.22410095342798,0.140081421752428
"16",20,1.57894736842105,0.01,0.435888238645139,0.220272608595391,0.135969852037948
"17",21,1.68421052631579,0.01,0.443250551845844,0.218830481186042,0.132470066348693
"18",22,1.78947368421053,0.01,0.443673605074675,0.218747324808367,0.134985477463951
"19",23,1.68421052631579,0.01,0.435369459036182,0.220373871044755,0.135775065291717
"20",24,1.78947368421053,0.01,0.42848482552283,0.22171332787869,0.136081811638125
"21",25,1.68421052631579,0.01,0.422899334887936,0.222794109948407,0.137058059956324
"22",26,1.68421052631579,0.01,0.42730187682082,0.22194266554802,0.136783971417882
"23",27,2,0.01,0.460660645707474,0.215381785613397,0.134953069790353
"24",28,1.89473684210526,0.01,0.460766203528833,0.21536070765534,0.134068493158026
"25",29,2,0.01,0.422867518902776,0.222800251265537,0.134556289367309
"26",30,2,0.01,0.43389129441299,0.220662144453578,0.136401326105754
"27",31,1.89473684210526,0.01,0.41720510886205,0.223890561604698,0.1390873234263
"28",32,1.78947368421053,0.01,0.412275200235352,0.224835521529682,0.138102888553132
"29",33,1.78947368421053,0.01,0.411624759411094,0.224959900969224,0.137187172568538
"30",34,1.78947368421053,0.01,0.402396417265437,0.226717223298952,0.133935258385076
"31",35,1.89473684210526,0.01,0.402840751316379,0.226632922503661,0.133953802047022
"32",36,2,0.01,0.393650291336072,0.228370237907959,0.134420680212503
"33",37,1.89473684210526,0.01,0.406359205323936,0.225964277118856,0.134032632161872
"34",38,1.68421052631579,0.01,0.398179440987469,0.227515729615384,0.135018943962613
"35",39,1.78947368421053,0.01,0.398333646979026,0.227486579284877,0.135423395252794
"36",40,1.89473684210526,0.01,0.404533420031375,0.226311495106654,0.136597277521577
"37",41,1.89473684210526,0.01,0.385592833686044,0.229882575428788,0.142579726456627
"38",42,1.89473684210526,0.01,0.387534415644406,0.229519063201789,0.14109596187424
"39",43,1.89473684210526,0.01,0.383617391743415,0.230251838085937,0.143011869246979
"40",44,1.89473684210526,0.01,0.380618025345191,0.230811370034691,0.142597595451286
"41",45,1.89473684210526,0.01,0.372107991927946,0.232391583582585,0.144130700218912
"42",46,0.421052631578947,10,-0.0593382395085116,0.301852823442944,0.1934779513612
"43",47,2,0.01,0.386914144643473,0.229635255847022,0.140416277029093
"44",48,2,0.01,0.385720028566098,0.229858778994044,0.140607023586736
"45",49,2,0.01,0.404634402182091,0.226292304784932,0.139215411304121
"46",50,2,0.01,0.408871208981578,0.22548568396383,0.140143735932674
"47",51,2,0.01,0.408606604907302,0.225536144841598,0.139954404061417
"48",52,2,0.01,0.407565240863354,0.225734626878448,0.140007733027978
"49",53,2,0.01,0.412938527107483,0.224708607072381,0.139461300823998
"50",54,1.89473684210526,0.01,0.416790668407797,0.223970154628858,0.139404949768708
"51",55,1.68421052631579,0.01,0.409832550970125,0.225302257726898,0.139073383638805
"52",56,1.89473684210526,0.01,0.416743814646139,0.223979151084265,0.138567445781308
"53",57,1.89473684210526,0.01,0.416390282460971,0.224047021640383,0.138396054311386
"54",58,1.89473684210526,0.01,0.414408254511753,0.224427148165095,0.137775235812243
"55",59,2,0.01,0.423656712347833,0.222647866280458,0.136503850225867
"56",60,2,0.01,0.428057867880224,0.221796129290607,0.136712349431622
"57",61,2,0.01,0.425123616977033,0.22236434491861,0.137263349217626
"58",62,2,0.01,0.427511878929887,0.221901969848616,0.135990549634677
"59",63,2,0.01,0.425730273134292,0.222246985508148,0.13668551466929
"60",64,2,0.01,0.425118869997022,0.222365262991567,0.136165758274122
"61",65,2,0.01,0.394190339361447,0.22826851577648,0.140978708167853
"62",66,2,0.01,0.384102809232802,0.230161155544401,0.142431824009316
"63",67,2,0.01,0.381749422762861,0.23060046726332,0.143252268803047
"64",68,2,0.01,0.383807173215509,0.230216388597027,0.143840876921479
"65",69,2,0.01,0.376842897114484,0.231513698225518,0.145687078853669
"66",70,2,0.01,0.372434812315269,0.23233109532022,0.148174024272201
"67",71,2,0.01,0.373492702885108,0.232135191734721,0.147764313889298
"68",72,2,0.01,0.371506654617602,0.232502838611417,0.148209272222545
"69",73,2,0.01,0.370105738904589,0.232761819536255,0.148442224793335
"70",74,2,0.01,0.37619170160693,0.231634631866556,0.149941970631435
"71",75,2,0.01,0.377235014330419,0.231440847581899,0.149753561206437
"72",76,2,0.01,0.374303183771446,0.231984992348874,0.150492927696583
"73",77,2,0.01,0.379128165607636,0.231088799827322,0.148284403592544
"74",78,2,0.01,0.357079768021851,0.23515621649904,0.160085533464502
"75",79,2,0.01,0.357707161607354,0.235041449919005,0.160102113824997
