"","n","mtry","minnodesize","R2","RMSE","MAE"
"1",2,2,3,0.39667191640065,0.227800508051547,0.165408759293114
"2",3,3,2,0.324552672107424,0.241031421287483,0.183099939018801
"3",4,4,3,0.733355369639931,0.151441303436246,0.119868377380952
"1",5,5,2,0.751801881307864,0.146109064589008,0.120026925965608
"2",6,6,2,0.707562754605157,0.158596741420638,0.126689590906084
"3",7,6,7,0.614699266557716,0.182044614507079,0.137019918492063
"4",8,7,7,0.585911522078025,0.188722851936408,0.140133274616402
"5",9,9,5,0.628498435265023,0.178755017683722,0.131055609166666
"6",10,10,4,0.607011276010545,0.183851832259458,0.133242523611111
"7",11,8,3,0.640965096288131,0.175730139210019,0.127910252777777
"8",12,7,2,0.60169916401032,0.185090243461227,0.134460130555555
"9",13,8,4,0.629391329220022,0.178540072028786,0.132155170833333
"10",14,10,3,0.629720701352533,0.178460717172243,0.133525508333333
"11",15,8,3,0.619628053386097,0.180876504810817,0.135201219444444
"12",16,9,3,0.58621467308374,0.188653758010495,0.139197658333333
"13",17,8,4,0.615286515565351,0.181905831634996,0.1326323
"14",18,10,3,0.649789692087727,0.173557098110227,0.13046088611111
"15",19,10,4,0.620366708690827,0.180700794802403,0.131629359722222
"16",20,8,3,0.640509416390714,0.175841620432539,0.127540161111111
"17",21,10,4,0.625170918134965,0.179553782011188,0.127164698611111
"18",22,6,3,0.626515127167489,0.179231535679416,0.130879731746031
"19",23,9,2,0.670769814921426,0.168278154614879,0.124700258333333
"20",24,10,5,0.610897123489013,0.182940616547729,0.130327238055555
"21",25,8,2,0.664851650146449,0.169783882467792,0.124464941666666
"22",26,10,4,0.659373128111871,0.17116594842219,0.124963002777777
"23",27,10,2,0.644592308467059,0.174840213793604,0.127305916666666
"24",28,10,3,0.647051650275599,0.17423423606071,0.126681827777778
"25",29,10,3,0.644101138756216,0.174960985754613,0.12719265
"26",30,10,2,0.643771368257534,0.175042025087282,0.128378366666666
"27",31,8,3,0.611121986258959,0.18288774816615,0.131279411111111
"28",32,9,3,0.619580934257103,0.180887707634149,0.12782904
"29",33,10,2,0.616792542244271,0.181549431763911,0.131703475
"30",34,10,6,0.580516183998396,0.189948348850434,0.133533718055556
"31",35,10,6,0.56802088439572,0.192756615955551,0.136157254722222
"32",36,9,3,0.608853465997417,0.183420410400431,0.130365222222222
"33",37,10,3,0.61354267259342,0.182317640110898,0.127861347222222
"34",38,10,3,0.620303218191533,0.180715904520525,0.127961155555555
"35",39,10,4,0.620108239089053,0.180762298517269,0.129118603888889
"36",40,10,5,0.580374366473998,0.189980454651873,0.133118808055555
