"","n","lm_intercept","mtry","splitrule","min.node.size","R2","RMSE","MAE"
"1",10,TRUE,9,"variance",9,0.566266875930323,0.193147554101476,0.13591119191892
"2",11,TRUE,8,"variance",8,0.579382027164243,0.19020495684238,0.133819797859477
"3",12,TRUE,8,"variance",8,0.567584799796743,0.192853885690322,0.137053493107297
"4",13,TRUE,8,"variance",8,0.572623473977095,0.191726988153369,0.137169339430827
"5",14,TRUE,8,"variance",8,0.570276632678309,0.192252680105611,0.13793217651742
"6",15,TRUE,8,"variance",8,0.574884968590258,0.191219046514162,0.138042208350378
"7",16,TRUE,9,"variance",9,0.5542083259834,0.195814069937152,0.138948420339842
"8",17,TRUE,9,"variance",9,0.572009400149944,0.191864679693506,0.135269136779665
"9",18,TRUE,8,"variance",8,0.571911986105754,0.191886513410179,0.134492439229815
"10",19,TRUE,8,"variance",8,0.59405124300993,0.186858787169048,0.131345642642327
"11",20,TRUE,9,"variance",9,0.574797505155483,0.191238716266134,0.135925046714808
"12",21,TRUE,9,"variance",9,0.58684028977929,0.188511087912877,0.133474202045832
"13",22,TRUE,8,"variance",8,0.585670594922076,0.188777745818576,0.13211199479362
"14",23,TRUE,8,"variance",8,0.574764916908357,0.191246044557026,0.135244467999123
"15",24,TRUE,8,"variance",8,0.626050931660017,0.179342882409108,0.131181710321473
"16",25,TRUE,8,"variance",8,0.628758942570854,0.178692332679318,0.130226585719727
"17",26,TRUE,8,"variance",8,0.629324011373649,0.178556286419266,0.130577489715072
"18",27,TRUE,8,"variance",8,0.628806458721899,0.178680896654925,0.13290240220482
"19",28,TRUE,8,"variance",8,0.620172878455591,0.180746919324109,0.132830953908473
"20",29,TRUE,10,"variance",10,0.609395582708771,0.183293258887552,0.132039504218212
"21",30,TRUE,10,"variance",10,0.616832960281611,0.181539857230508,0.132393696823728
"22",31,TRUE,10,"variance",10,0.604538916488354,0.18442924724729,0.13431439208454
"23",32,TRUE,9,"variance",9,0.600179511350474,0.185442998311513,0.133534363612258
"24",33,TRUE,9,"variance",9,0.582458781743865,0.189508020276257,0.133938446651058
"25",34,TRUE,8,"variance",8,0.601011330807918,0.185249992433323,0.133182669830515
"26",35,TRUE,8,"variance",8,0.584225371278238,0.189106697325544,0.133125763816094
"27",36,TRUE,9,"variance",9,0.600007542575849,0.185482874928257,0.129023771266474
"28",37,TRUE,9,"variance",9,0.59050754049915,0.187672600635241,0.133072511171298
"29",38,TRUE,9,"variance",9,0.583324230516219,0.189311519246875,0.134279066145584
"30",39,TRUE,9,"variance",9,0.584508494961047,0.18904229981464,0.134582432160228
"31",40,TRUE,9,"variance",9,0.649911604766954,0.173526886759954,0.125427746587663
"32",41,TRUE,9,"variance",9,0.657010219310056,0.171758606505028,0.123603727465615
"33",42,TRUE,10,"variance",10,0.638399242054459,0.17635695180368,0.128891605237922
"34",43,TRUE,10,"variance",10,0.650845824935851,0.173295201542073,0.124552980804628
"35",44,TRUE,10,"variance",10,0.671556313973968,0.168077034315277,0.121409157155131
"36",45,TRUE,8,"variance",8,0.680877875020581,0.165674769603232,0.121551359971328
"37",46,TRUE,8,"variance",8,0.665802667963907,0.169542821747418,0.125747914831592
"38",47,TRUE,10,"variance",10,0.653721192587786,0.172580162775111,0.125048019382849
"39",48,TRUE,10,"variance",10,0.655568186838419,0.172119290285857,0.125101521000019
"40",49,TRUE,8,"variance",8,0.687970133419272,0.163823424648866,0.121737956205726
"41",50,TRUE,8,"variance",8,0.688033971804664,0.163806665423216,0.123557650025631
"42",51,TRUE,10,"variance",10,0.676107294975567,0.166908517998006,0.123676208055875
"43",52,TRUE,10,"variance",10,0.66856244401052,0.168841334701265,0.123197326741842
"44",53,TRUE,10,"variance",10,0.669498441568086,0.168602757619758,0.124983182771391
"45",54,TRUE,8,"variance",8,0.676667602350604,0.166764086597355,0.123445679854653
"46",55,TRUE,10,"variance",10,0.656480502574687,0.171891188161416,0.125529380926856
"47",56,TRUE,10,"variance",10,0.663893273899632,0.170026462629039,0.125554135984421
"48",57,TRUE,9,"variance",9,0.662824058723852,0.170296690073314,0.125994498881029
"49",58,TRUE,8,"variance",8,0.689463759036587,0.163430859041023,0.124427569340544
"50",59,TRUE,8,"variance",8,0.700171352167961,0.160588514519125,0.12135256209529
"51",60,TRUE,10,"variance",10,0.670571576859661,0.168328809318837,0.124328845799378
"52",61,TRUE,10,"variance",10,0.675244245377294,0.167130743591721,0.128960019498358
"53",62,TRUE,10,"variance",10,0.680482604930514,0.165777341644501,0.128458193179416
"54",63,TRUE,8,"variance",8,0.70057407014222,0.160480630211708,0.127486284278378
"55",64,TRUE,10,"variance",10,0.682500612315028,0.165253004314043,0.124288790153369
"56",65,TRUE,10,"variance",10,0.677105182096508,0.166651203859449,0.128350882556805
"57",66,TRUE,10,"variance",10,0.669171656456885,0.168686090446627,0.130357313590816
"58",67,TRUE,7,"variance",7,0.666966192139198,0.16924742864989,0.130610753638107
"59",68,TRUE,10,"variance",10,0.678343872408784,0.166331242718711,0.128929844630943
"60",69,TRUE,10,"variance",10,0.673667134420234,0.167536070499075,0.129062623044737
"61",70,TRUE,9,"variance",9,0.682183661017479,0.165335467605326,0.129784709236428
"62",71,TRUE,10,"variance",10,0.667947320455295,0.168997940578511,0.130444724233358
"63",72,TRUE,8,"variance",8,0.699009246253317,0.160899426072324,0.127032875878386
"64",73,TRUE,10,"variance",10,0.675664580028497,0.167022549066868,0.128536233617782
"65",74,TRUE,10,"variance",10,0.662667258746808,0.170336282775697,0.130126684122956
"66",75,TRUE,10,"variance",10,0.668853048378152,0.16876729844858,0.129138283485475
"67",76,TRUE,9,"variance",9,0.67815841194357,0.166379187436259,0.128466003674582
"68",77,TRUE,10,"variance",10,0.670743627500085,0.168284847019632,0.130944953273576
"69",78,TRUE,9,"variance",9,0.686945386835931,0.164092212841347,0.128072596538025
"70",79,TRUE,10,"variance",10,0.663824643774516,0.170043820719318,0.131947641192435
"71",80,TRUE,9,"variance",9,0.668197343854098,0.16893430399475,0.128691586931684
"72",81,TRUE,10,"variance",10,0.657641624352784,0.171600439683371,0.137688512671376
"73",82,TRUE,9,"variance",9,0.67617019126294,0.166892311341227,0.13389823920844
"74",83,TRUE,9,"variance",9,0.690967804657679,0.163034599614169,0.130395714584215
"75",84,TRUE,9,"variance",9,0.689121176112865,0.163520982480759,0.129975094083939
"76",85,TRUE,8,"variance",8,0.677246345041667,0.166614771645045,0.128961553909887
"77",86,TRUE,10,"variance",10,0.671122681632092,0.168187950738037,0.135983128569093
"78",87,TRUE,9,"variance",9,0.683427281170702,0.165011670443258,0.128909649754804
"79",88,TRUE,9,"variance",9,0.681441760156458,0.165528332177163,0.130251424125576
"80",89,TRUE,10,"variance",10,0.68110490666696,0.165615826482513,0.133037376379632
"81",90,TRUE,9,"variance",9,0.678871010515386,0.166194892932166,0.131027914062189
"82",91,TRUE,9,"variance",9,0.688070681231538,0.163797027473616,0.127591407486298
"83",92,TRUE,9,"variance",9,0.673736041734776,0.167518381397837,0.132611714234478
"84",93,TRUE,9,"variance",9,0.670754375901489,0.168282100211978,0.13301291172736
"85",94,TRUE,9,"variance",9,0.670033322092395,0.168466269838985,0.133170759003296
"86",95,TRUE,10,"variance",10,0.657945600099438,0.171524241817022,0.136049058534491
"87",96,TRUE,10,"variance",10,0.671564467757923,0.168074948002783,0.13457833549178
"88",97,TRUE,9,"variance",9,0.675424046508962,0.167084471190236,0.130858270410735
"89",98,TRUE,9,"variance",9,0.682065043855883,0.165366318433187,0.132722834057593
