"","n","k","distance","kernel","R2","RMSE","MAE"
"1",2,13,2,"optimal",0.291968160372977,0.246776790542761,0.172323177083333
"2",3,11,2,"optimal",0.277940411452111,0.249209410276745,0.17701731901278
"3",4,7,2,"optimal",0.544304338722443,0.19797728516087,0.14588173623141
"1",5,15,2,"optimal",0.532546927525826,0.200515027903001,0.147833081452443
"2",6,7,2,"optimal",0.706170912162569,0.15897371058241,0.127225273979983
"3",7,7,2,"optimal",0.689408530745861,0.163445391331505,0.127650649879297
"4",8,5,2,"optimal",0.738287105550758,0.15003427292926,0.119285176241434
"5",9,5,2,"optimal",0.697264012222016,0.161365223236311,0.128944390557119
"6",10,5,2,"optimal",0.730802444834584,0.152164545579496,0.119532577408985
"7",11,7,2,"optimal",0.736348982362851,0.15058878999644,0.119022405815739
"8",12,5,2,"optimal",0.743829222365591,0.148437185456279,0.121238260673162
"9",13,5,2,"optimal",0.763368913643391,0.142663809444931,0.113382562321808
"10",14,5,2,"optimal",0.797587961199071,0.131945956993641,0.103659534788693
"11",15,5,2,"optimal",0.769870292652406,0.140690333883537,0.11136352887828
"12",16,5,2,"optimal",0.770037227486549,0.140639296626018,0.110212787574265
"13",17,5,2,"optimal",0.775401817198716,0.138989194099742,0.113331655411141
"14",18,5,2,"optimal",0.57892501593818,0.190308259847998,0.137054095681581
"15",19,7,2,"optimal",0.636657005718198,0.176781295880947,0.134434867889766
"16",20,9,2,"optimal",0.643784751138055,0.175038737046539,0.131265546697214
"17",21,9,2,"optimal",0.69282368075432,0.162544314685826,0.123304651479621
"18",22,9,2,"optimal",0.660703609651873,0.17083133602213,0.130547072042361
"19",23,9,2,"optimal",0.650933208247972,0.173273514766778,0.132303796051234
"20",24,9,2,"optimal",0.693362729719709,0.162401631456881,0.123977586815672
"21",25,9,2,"optimal",0.692496383640281,0.162630887312123,0.124915273185178
"22",26,9,2,"optimal",0.632491464154067,0.177791761579331,0.13320172517061
"23",27,9,2,"optimal",0.674419645047876,0.167342793249933,0.127767297135139
"24",28,9,2,"optimal",0.669669317776435,0.16855916641113,0.128651941826593
"25",29,7,2,"optimal",0.563225167600156,0.193823628946644,0.137205376196365
"26",30,7,2,"optimal",0.578778591405833,0.19034134585039,0.134445765192408
"27",31,7,2,"optimal",0.596331190380995,0.186333316824535,0.132577650702498
"28",32,7,2,"optimal",0.577905592125904,0.190538489022718,0.138720153513806
"29",33,7,2,"optimal",0.569818426102158,0.192355150647035,0.138252716080475
"30",34,7,2,"optimal",0.580876186756414,0.189866824123411,0.13366737975463
"31",35,5,2,"optimal",0.574268307938923,0.191357684908633,0.138527875791269
"32",36,5,2,"optimal",0.572289722191742,0.191801836364228,0.142580281709993
"33",37,5,2,"optimal",0.574958803481879,0.191202440125745,0.142109079403547
"34",38,5,2,"optimal",0.554188205458556,0.195818488859301,0.145887154513772
"35",39,5,2,"optimal",0.546794734809362,0.197435566894848,0.146614578638659
"36",40,5,2,"optimal",0.549931039320328,0.196751226796373,0.147608824807249
"37",41,5,2,"optimal",0.596360825533099,0.18632647691344,0.13633230150127
"38",42,7,2,"optimal",0.511925055762575,0.204890194337203,0.142460825232276
"39",43,7,2,"optimal",0.510235777178786,0.205244461291574,0.143254182233413
"40",44,7,2,"optimal",0.525584727665404,0.202002734442021,0.141811796739794
"41",45,7,2,"optimal",0.479182099404627,0.211651265237087,0.145839951350387
"42",46,7,2,"optimal",0.480337094178467,0.211416450165157,0.143487886970503
"43",47,7,2,"optimal",0.478297799649645,0.211830870990648,0.145347311373674
"44",48,7,2,"optimal",0.455163785266286,0.21647657157026,0.14803004975553
"45",49,7,2,"optimal",0.462385915688671,0.215037021811353,0.147254445404222
"46",50,7,2,"optimal",0.465040982071292,0.214505372585766,0.146646384912761
"47",51,7,2,"optimal",0.464605234197917,0.21459271687816,0.145804426513544
"48",52,7,2,"optimal",0.539056908010089,0.199113897338291,0.138289610905184
"49",53,7,2,"optimal",0.535396563353616,0.199902914811698,0.140691861173095
"50",54,7,2,"optimal",0.542419223665152,0.198386357286045,0.136859544439228
"51",55,7,2,"optimal",0.54365637079981,0.198117990209333,0.137152000717181
"52",56,9,2,"optimal",0.508512114409121,0.205605309943423,0.138521167579431
"53",57,9,2,"optimal",0.496614739998433,0.208078958280672,0.139546649852679
"54",58,7,2,"optimal",0.536271963753554,0.199714498641643,0.13811251075564
"55",59,9,2,"optimal",0.496178120812088,0.208169179013076,0.140506393695387
"56",60,7,2,"optimal",0.525958790337018,0.201923082091698,0.139703570463551
"57",61,7,2,"optimal",0.48255109053349,0.210965605144143,0.142478414680776
"58",62,7,2,"optimal",0.494723344435718,0.208469504704084,0.141870105611128
"59",63,7,2,"optimal",0.613705446756587,0.182279240364318,0.132638933574158
"60",64,7,2,"optimal",0.613755463296965,0.182267439431533,0.131441836230232
"61",65,7,2,"optimal",0.580336657820746,0.189988990529549,0.135808959104994
"62",66,5,2,"optimal",0.655492064488419,0.172138309146073,0.128347005296582
"63",67,5,2,"optimal",0.640592554474686,0.175821286129781,0.12979685170617
"64",68,5,2,"optimal",0.645346834000501,0.174654523528638,0.128322117478032
"65",69,5,2,"optimal",0.652091990409425,0.17298567132926,0.12683718171555
"66",70,5,2,"optimal",0.65368509022416,0.172589158978849,0.125704889036346
"67",71,5,2,"optimal",0.660823886904721,0.170801054319107,0.122104345012225
"68",72,5,2,"optimal",0.658744100832889,0.171323919502174,0.123758422140248
"69",73,5,2,"optimal",0.641904677361379,0.175500048937266,0.125673417432142
"70",74,7,2,"optimal",0.525485262520096,0.202023909116921,0.141128934533732
"71",75,7,2,"optimal",0.516240638385156,0.203982358519785,0.142232343592977
"72",76,7,2,"optimal",0.513011893203632,0.204661944104612,0.142853595969907
"73",77,7,2,"optimal",0.517456779886608,0.203725797575612,0.14134869790321
"74",78,7,2,"optimal",0.522570056350731,0.202643531143073,0.139921533879247
"75",79,7,2,"optimal",0.519082124600687,0.203382404553179,0.139788851400365
"76",80,7,2,"optimal",0.516575221356982,0.203911806057138,0.140648520935421
"77",81,7,2,"optimal",0.520182623382816,0.203149568250574,0.139474943371483
"78",82,7,2,"optimal",0.51772789702394,0.203668557816387,0.139812510207696
