"","n","k","R2","RMSE","MAE"
"1",2,7,0.291216579382296,0.246907733489302,0.173147619047619
"2",3,7,0.311407981211739,0.243365442991478,0.180320750661376
"3",4,7,0.423151495671998,0.222745430334034,0.156490476190476
"1",5,7,0.425580624337273,0.222275941263615,0.155827380952381
"2",6,5,0.584296867582659,0.189090437301054,0.137478055555556
"3",7,5,0.624352623953132,0.179749668242624,0.129495
"4",8,5,0.626359116953347,0.179268965616844,0.128885
"5",9,5,0.558136967144933,0.194949332391778,0.14119
"6",10,5,0.597813883900676,0.185990796725716,0.130026666666667
"7",11,5,0.595878456316031,0.186437778449898,0.132015
"8",12,5,0.545634687421549,0.197688088496331,0.14228
"9",13,5,0.587932197812785,0.188261822382199,0.135071666666667
"10",14,5,0.604502002841367,0.184437854664744,0.132058333333333
"11",15,5,0.602453515390327,0.184914886997595,0.135391666666667
"12",16,5,0.59665539047314,0.186258476496149,0.136613333333333
"13",17,5,0.581437444793461,0.189739654087735,0.13891
"14",18,5,0.42656807832684,0.222084807674906,0.15256
"15",19,5,0.584432352145186,0.189059620931247,0.14162
"16",20,7,0.495362588438951,0.208337591766002,0.143161904761905
"17",21,7,0.510334705488842,0.205223731405441,0.142178571428571
"18",22,7,0.512134238303295,0.204846283002314,0.141619047619048
"19",23,7,0.49979241005612,0.207421158860077,0.144511904761905
"20",24,7,0.416590163473904,0.224008651322548,0.150122619047619
"21",25,7,0.416600421768738,0.224006681903498,0.150088095238095
"22",26,7,0.417285888262405,0.223875044677275,0.149986904761905
"23",27,7,0.482895186490911,0.210895448957905,0.145184523809524
"24",28,7,0.490412459646078,0.209356918855788,0.143560714285714
"25",29,7,0.568735174616707,0.192597185644981,0.137004761904762
"26",30,5,0.54318045591138,0.198221270637975,0.14426
"27",31,5,0.574500336661343,0.191305531719986,0.138413333333333
"28",32,5,0.575948796423697,0.190979638879821,0.136513333333333
"29",33,5,0.5890397657991,0.188008644304812,0.134496666666667
"30",34,5,0.590051323991593,0.187777114775292,0.133701666666667
"31",35,5,0.58869406768143,0.188087703744822,0.134091666666667
"32",36,5,0.517159423805241,0.203788558560092,0.141406666666667
"33",37,5,0.52254722193553,0.202648377080433,0.139496666666667
"34",38,5,0.52254722193553,0.202648377080433,0.139496666666667
