"","n","k","R2","RMSE","MAE"
"1",2,7,0.174658310094574,0.112023596521988,0.0919351190476191
"2",3,7,0.330367687638365,0.100904566535014,0.0870845238095238
"3",4,5,0.139899825168053,0.114358154497176,0.0936283333333334
"4",5,5,0.501217339995761,0.0870859900711169,0.0682366666666667
"2",6,5,0.452081643158048,0.0912747276084679,0.0756116666666667
"3",7,5,0.401433685263939,0.0954000838574056,0.0762333333333334
"4",8,7,0.71002510151925,0.0664007252183574,0.0562559523809524
"5",9,5,0.58583295819301,0.0793561131860678,0.060875
"6",10,5,0.487885969655102,0.0882421248610889,0.0710466666666667
"7",11,5,0.655591236745809,0.0723651916785043,0.0604616666666667
"8",12,5,0.738251247287052,0.063086281657214,0.05449
"9",13,5,0.690090565713342,0.0686451753585057,0.0560583333333334
"10",14,5,0.714840018266519,0.065847138890008,0.0522183333333333
"11",15,5,0.783224499365277,0.0574113446977163,0.0454616666666667
"12",16,5,0.801705470505709,0.0549095629194041,0.0455183333333333
"13",17,5,0.854391989258,0.0470527763970062,0.0410816666666667
"14",18,5,0.830201775322718,0.0508111697037833,0.0441583333333333
"15",19,5,0.85674011579638,0.0466718394752125,0.04141
"16",20,5,0.850735454022188,0.0476399121885561,0.0423483333333333
"17",21,5,0.85143644464338,0.0475279149553186,0.0431416666666667
"18",22,5,0.862905736027643,0.045656462850291,0.0406266666666667
"19",23,5,0.860707393959928,0.0460210636556783,0.0410116666666666
"20",24,5,0.823217531791746,0.0518456372320758,0.0431783333333334
"21",25,5,0.857076994934807,0.0466169321884942,0.0413516666666667
"22",26,5,0.861421408841121,0.0459029599626575,0.04068
"23",27,5,0.794413123536824,0.0559101058247374,0.0457866666666667
"24",28,5,0.778088979498341,0.0580874157341043,0.0494066666666667
"25",29,5,0.786674862823327,0.0569526107098408,0.0479733333333333
"26",30,5,0.745779552369436,0.0621724325297528,0.0558083333333333
"27",31,5,0.737743901828297,0.0631473918701319,0.0552216666666667
"28",32,5,0.699101825622921,0.0676398127338232,0.05632
"29",33,5,0.699101825622921,0.0676398127338231,0.05632
"30",34,5,0.781012933541239,0.057703459746073,0.0488933333333333
"31",35,5,0.802621540086683,0.0547825820859149,0.0472483333333333
"32",36,5,0.708104857953342,0.0666202186526984,0.0528933333333334
"33",37,5,0.68812131557796,0.0688629251968479,0.05388
"34",38,5,0.686501580809692,0.0690415126331012,0.05503
"35",39,5,0.751914233132363,0.0614176994033479,0.0486333333333334
"36",40,5,0.828878910814744,0.0510087155951477,0.0438333333333333
"37",41,5,0.802371729036146,0.0548172387727316,0.0485533333333333
"38",42,5,0.807257727231828,0.0541353698303306,0.0468566666666667
"39",43,5,0.73727666828424,0.0632036183035961,0.0551583333333334
