"","n","k","distance","kernel","R2","RMSE","MAE"
"1",2,5,2,"optimal",0.252929004219869,0.106579470436471,0.086037037037037
"2",3,13,2,"optimal",-0.0601289587122111,0.126961477882228,0.100287279807855
"3",4,5,2,"optimal",0.261380679413021,0.105974884513261,0.0855574650705795
"4",5,5,2,"optimal",0.0463684594491041,0.120415646982035,0.0846941708096974
"2",6,5,2,"optimal",0.552709616733521,0.08246836807924,0.068644342853899
"3",7,5,2,"optimal",0.57670481421731,0.0802258421626903,0.0653621106951409
"4",8,5,2,"optimal",0.498959629072191,0.0872828623938206,0.0693001595163357
"5",9,5,2,"optimal",0.177474567762928,0.111832307928573,0.0912357313185292
"6",10,5,2,"optimal",0.373916625638289,0.097568292753315,0.0766973555984682
"7",11,5,2,"optimal",0.499388935193404,0.0872454611190971,0.071955782664898
"8",12,5,2,"optimal",0.508654238520334,0.086434321498592,0.0729456462282653
"9",13,5,2,"optimal",0.461891878567498,0.0904539201876587,0.0780156007942365
"10",14,5,2,"optimal",0.502712090003479,0.0869554026772871,0.0709446929902826
"11",15,5,2,"optimal",0.228264579649239,0.108324535870545,0.0871303353118744
"12",16,5,2,"optimal",0.394572169689248,0.095945323282827,0.0789994948651053
"13",17,5,2,"optimal",0.337723826385169,0.100348800505772,0.0852987582456615
"14",18,5,2,"optimal",0.633948683754626,0.0746042564980942,0.0632664948529215
"15",19,23,2,"optimal",0.651809948222223,0.0727613585765265,0.0602711205467529
"16",20,5,2,"optimal",0.639713885862164,0.0740144271652762,0.0627703106050643
"17",21,23,2,"optimal",0.593727348502165,0.0785961756234842,0.063191155521903
"18",22,23,2,"optimal",0.664450385664459,0.0714284115366157,0.0580023578562864
"19",23,5,2,"optimal",0.54605414318494,0.0830796481277716,0.0753729033208016
"20",24,23,2,"optimal",0.563370231551999,0.0814796755473987,0.0693689897298475
"21",25,23,2,"optimal",0.570083036744006,0.0808509097207114,0.0696064082129696
"22",26,23,2,"optimal",0.718599335767931,0.065411661294039,0.0540870406934398
"23",27,5,2,"optimal",0.653402870266739,0.0725947311328783,0.0678199204737058
"24",28,5,2,"optimal",0.673852316013223,0.0704206078749647,0.062961339631187
"25",29,5,2,"optimal",0.648681685510851,0.0730874846108123,0.0663259042998286
"26",30,5,2,"optimal",0.60988933080284,0.0770169887219999,0.0718522831339923
"27",31,5,2,"optimal",0.6427001434367,0.0737070519420524,0.0655841624789181
"28",32,5,2,"optimal",0.655168404096114,0.0724095996368944,0.0629243126774767
"29",33,23,2,"optimal",0.61200249607781,0.0768081112995694,0.0657175907299662
"30",34,5,2,"optimal",0.593560641229119,0.0786122992909687,0.0683630514627939
"31",35,5,2,"optimal",0.247683823106862,0.106952962931774,0.0964982477152286
"32",36,5,2,"optimal",0.360563925689898,0.0986032403115191,0.0912860447504797
"33",37,23,2,"optimal",0.200115760010818,0.110282395273081,0.100449870896448
"34",38,23,2,"optimal",0.229977261626748,0.108204268922746,0.0979211811525765
"35",39,23,2,"optimal",-0.197237303364522,0.134921990654579,0.112891786270742
"36",40,23,2,"optimal",0.0555495316768411,0.119834595236565,0.0997737487548286
"37",41,23,2,"optimal",0.585590876249408,0.0793793017474717,0.0673628245203583
"38",42,23,2,"optimal",0.522119461979477,0.0852417372445647,0.0730541041874976
"39",43,23,2,"optimal",0.565914546523317,0.0812419308217963,0.0734178754049947
"40",44,23,2,"optimal",0.482343034302347,0.0887183898762696,0.0793208810190171
"41",45,23,2,"optimal",0.482149038287391,0.0887350122758904,0.0793342331932783
"42",46,23,2,"optimal",0.428553323115414,0.0932138564313446,0.0841220916594514
"43",47,23,2,"optimal",0.531418006476502,0.0844083513930719,0.0719632201076431
"44",48,23,2,"optimal",0.53491349622365,0.0840929307861731,0.0714599737408357
"45",49,23,2,"optimal",0.497483234143578,0.087411364200196,0.0747231718972303
"46",50,23,2,"optimal",0.423106943964182,0.0936570072124878,0.0761833333333333
"47",51,23,2,"optimal",0.522478450328788,0.0852097140325163,0.0738837598567327
"48",52,23,2,"optimal",0.486488076991222,0.0883624778964465,0.076325
"49",53,23,2,"optimal",0.495347029130478,0.0875969605637091,0.074825
"50",54,23,2,"optimal",0.314470946778998,0.102095253725789,0.0848916666666667
"51",55,23,2,"optimal",0.314470946778998,0.102095253725789,0.0848916666666667
"52",56,23,2,"optimal",0.314470946778998,0.102095253725789,0.0848916666666667
"53",57,23,2,"optimal",0.314470946778998,0.102095253725789,0.0848916666666667
"54",58,23,2,"optimal",0.300229978430419,0.103150250444033,0.087225
"55",59,23,2,"optimal",0.603363593742135,0.0776584838460454,0.0696441932655967
"56",60,23,2,"optimal",0.641553393030859,0.073825238220861,0.0654299279537178
"57",61,23,2,"optimal",0.652600066723714,0.072678756062853,0.0633135275489331
"58",62,23,2,"optimal",0.659009937220196,0.0720051370923439,0.0625158138833482
"59",63,23,2,"optimal",0.561756990474969,0.0816300605843419,0.073889025833091
"60",64,23,2,"optimal",0.557134666487141,0.0820594238074117,0.0746064294810046
"61",65,23,2,"optimal",0.592516581079835,0.0787132040454313,0.0721265806662462
"62",66,23,2,"optimal",0.506429918456403,0.086629744471962,0.079151500481917
"63",67,23,2,"optimal",0.51389937899327,0.0859717383183901,0.076521645658739
"64",68,23,2,"optimal",0.41177845387802,0.0945721112278867,0.0829554672647225
"65",69,5,2,"optimal",0.387292173942907,0.096520449094235,0.0845513742892119
"66",70,5,2,"optimal",0.342727223173328,0.0999690218128379,0.0869365282891042
"67",71,23,2,"optimal",0.424642565941171,0.0935322721391082,0.0823422801315467
"68",72,23,2,"optimal",0.391327136135409,0.0962021083994452,0.0845426763208224
"69",73,5,2,"optimal",0.300929888417144,0.103098652097569,0.0894538684958444
"70",74,23,2,"optimal",0.542182693877508,0.0834331658230107,0.074784492955953
"71",75,23,2,"optimal",0.560482646047718,0.0817486583693425,0.0735835558902338
"72",76,5,2,"optimal",0.502958733413206,0.0869338360590955,0.0787500628032712
"73",77,7,2,"optimal",0.488219767024286,0.0882133619404693,0.0783899648978137
"74",78,5,2,"optimal",0.429559521170965,0.0931317552238975,0.0828538381719942
"75",79,7,2,"optimal",0.429562898024544,0.0931314795660699,0.0828545534076143
"76",80,7,2,"optimal",0.588691093768181,0.079081823872955,0.0715088143538814
"77",81,7,2,"optimal",0.608867773323939,0.0771177624864679,0.0706614532891646
"78",82,7,2,"optimal",0.613898795863246,0.0766201853416378,0.0706468061007049
"79",83,5,2,"optimal",0.578760185916859,0.0800308309917717,0.0738393458255261
"80",84,5,2,"optimal",0.584525886433698,0.0794812347155688,0.0728621071587344
"81",85,5,2,"optimal",0.583488540142532,0.0795803963251117,0.0724382252383131
"82",86,5,2,"optimal",0.54120610272721,0.0835221059792104,0.0767566710909173
"83",87,5,2,"optimal",0.599693818771266,0.0780169141247961,0.0720706379738199
"84",88,5,2,"optimal",0.606155021734055,0.0773847308348185,0.0704065657896308
"85",89,5,2,"optimal",0.567270783164572,0.0811149172578668,0.0735104085543665
"86",90,5,2,"optimal",0.579526100607953,0.0799580402968269,0.0729104511875083
"87",91,5,2,"optimal",0.572760845839774,0.0805987197564761,0.0665474822809397
"88",92,5,2,"optimal",0.557669687122218,0.0820098412937686,0.0678946857442237
"89",93,5,2,"optimal",0.571756342591726,0.080693413960648,0.0655668191559713
"90",94,5,2,"optimal",0.574590072174263,0.0804259927871813,0.0653690850790129
"91",95,5,2,"optimal",0.564247933630184,0.0813977401627258,0.0661127652846273
"92",96,5,2,"optimal",0.573648829160925,0.0805149171073235,0.0669156714511665
"93",97,5,2,"optimal",0.538781168078847,0.083742541267847,0.070497257339133
"94",98,5,2,"optimal",0.583147625707182,0.0796129579221725,0.0651329714035701
"95",99,5,2,"optimal",0.61404097653263,0.0766060764600531,0.0617372366593448
"96",100,5,2,"optimal",0.587699390444719,0.079177103224303,0.0639115985631708
"97",101,5,2,"optimal",0.579447060415143,0.079965555153227,0.0648137870016491
"98",102,5,2,"optimal",0.583755625224312,0.0795548770451334,0.0644115130815524
"99",103,7,2,"optimal",0.550835748890084,0.0826409330569605,0.0678348303331575
"100",104,5,2,"optimal",0.578083360237133,0.0800950998228587,0.0655353909292426
"101",105,5,2,"optimal",0.578072863904405,0.0800960961092217,0.0655366375860932
"102",106,5,2,"optimal",0.595016620105844,0.0784713673982726,0.0630215061608452
"103",107,5,2,"optimal",0.607090514231744,0.0772927709539119,0.0616721353329797
"104",108,5,2,"optimal",0.603120498764041,0.0776822783029057,0.0619590261085253
"105",109,5,2,"optimal",0.600135181562041,0.07797389298105,0.0621105810155107
"106",110,5,2,"optimal",0.575151905005207,0.0803728665091764,0.0661641207056903
"107",111,5,2,"optimal",0.617014844368376,0.0763103755294953,0.0627058381617408
"108",112,23,2,"optimal",0.621214051062522,0.0758908732968611,0.0623628648689865
"109",113,5,2,"optimal",0.670620369001809,0.070768662795032,0.0594808759158639
"110",114,5,2,"optimal",0.678330076488114,0.0699355263875186,0.0589130386638612
"111",115,5,2,"optimal",0.651890571047904,0.0727529342032325,0.0602633380046979
"112",116,5,2,"optimal",0.675641998867694,0.0702271312234423,0.0592635166413449
"113",117,5,2,"optimal",0.714383607136214,0.0658998134467332,0.0558119808885342
"114",118,5,2,"optimal",0.738266422784073,0.0630844528432345,0.0532746853921151
"115",119,5,2,"optimal",0.683706080075016,0.0693486549216394,0.0598446343976698
"116",120,5,2,"optimal",0.675909677182381,0.0701981475695567,0.0606920305687002
