"","n","lm_intercept","mtry","splitrule","min.node.size","R2","RMSE","MAE"
"1",10,TRUE,3,"variance",3,-0.00587564628524784,0.123670115629603,0.0840056216114316
"2",11,TRUE,2,"variance",2,0.25711125979277,0.106280724950115,0.0786465143941871
"3",12,TRUE,3,"variance",3,0.284586642911497,0.10429683808575,0.0762387595146344
"4",13,TRUE,3,"variance",3,0.416731156599142,0.0941731308949422,0.0711212288007742
"5",14,TRUE,4,"variance",4,0.544040961472844,0.0832636672114771,0.066642330595665
"6",15,TRUE,4,"variance",4,0.557822947815855,0.081995632484519,0.0661370012126853
"7",16,TRUE,4,"variance",4,0.681581547154291,0.0695811711199276,0.0593507429931548
"8",17,TRUE,4,"variance",4,0.649061054160992,0.0730480124448182,0.0622852148990025
"9",18,TRUE,4,"variance",4,0.615948799763819,0.0764165072315429,0.0651409219599716
"10",19,TRUE,4,"variance",4,0.660010144983854,0.071899455144721,0.0615297919366618
"11",20,TRUE,4,"variance",4,0.295245182819805,0.10351699269813,0.0845325575659522
"12",21,TRUE,5,"variance",5,0.35677996769828,0.0988945596295223,0.0826204612099418
"13",22,TRUE,5,"variance",5,0.378012707397006,0.0972486040900949,0.0812229231501903
"14",23,TRUE,4,"variance",4,0.287762733773103,0.104065066688154,0.0844234786060201
"15",24,TRUE,4,"variance",4,0.34216228729043,0.100011975027463,0.0809467449876536
"16",25,TRUE,4,"variance",4,0.434044745087605,0.0927648973878663,0.0774252263845109
"17",26,TRUE,7,"variance",7,0.342900263321853,0.0999558615286333,0.0849138016984872
"18",27,TRUE,4,"variance",4,0.375726594448847,0.0974271586882751,0.0787094483944287
"19",28,TRUE,4,"variance",4,0.427415290036202,0.0933066277206061,0.0768921297300727
"20",29,TRUE,8,"variance",8,0.217391089154732,0.109084994585604,0.0900197448387518
"21",30,TRUE,5,"variance",5,0.359577689296697,0.0986792515344644,0.0811630004378803
"22",31,TRUE,5,"variance",5,0.413544760497048,0.0944300143131704,0.0781632054973409
"23",32,TRUE,6,"variance",6,0.4600746151149,0.0906065289743038,0.0771718769348282
"24",33,TRUE,6,"variance",6,0.352095407678191,0.0992540299696115,0.0800298015642719
"25",34,TRUE,6,"variance",6,0.44863334372335,0.0915614938166904,0.0788582100530121
"26",35,TRUE,10,"variance",10,0.213415165147259,0.109361738297449,0.0878349191106046
"27",36,TRUE,7,"variance",7,0.332402700891774,0.100751125331031,0.0836845976119995
"28",37,TRUE,7,"variance",7,0.395323230425415,0.0958857925476475,0.0787853398661203
