"","n","mtry","minnodesize","R2","RMSE","MAE"
"1",2,2,5,0.302751176198531,0.102964263019395,0.0902251778174601
"2",3,3,5,0.275823541727618,0.104933660113819,0.0917734698809526
"3",4,4,7,0.29554205416853,0.103495187621044,0.093871922579365
"4",5,3,6,0.413411098672251,0.0944407746986979,0.0792216734325396
"2",6,5,7,0.411504139677189,0.0945941602750973,0.0808679898015873
"3",7,7,7,0.454622817907182,0.0910628214107837,0.077330999285714
"4",8,8,3,0.488383463307895,0.0881992529993,0.0695623944444435
"5",9,9,5,0.564347266794067,0.0813884620014409,0.0671647530555557
"6",10,10,4,0.616848955539847,0.0763269005411127,0.0621483652777777
"7",11,9,5,0.552966296373024,0.0824447022577914,0.0676149399999999
"8",12,10,5,0.615634681751571,0.0764477516269895,0.0613580186111112
"9",13,10,2,0.613161992349232,0.0766932583000022,0.0616184916666671
"10",14,10,4,0.634655362679018,0.0745322082316482,0.0610719680555556
"11",15,10,5,0.628245972152332,0.0751831402717483,0.0634461433333332
"12",16,10,2,0.682967843388808,0.0694295383655138,0.0569750166666663
"13",17,10,10,0.606602923904224,0.0773407152310422,0.0639513184920633
"14",18,10,9,0.598505809812889,0.078132595736447,0.0661697235119049
"15",19,9,7,0.689889610185263,0.0686674276529503,0.0579968541269841
"16",20,10,6,0.582316406444677,0.0796922940035173,0.0642860441666667
"17",21,10,9,0.558469425853061,0.0819356703443774,0.067849058809524
"18",22,10,7,0.593327426446906,0.0786348499134301,0.065786733809524
"19",23,10,10,0.553563300349363,0.0823896322947641,0.0675666806084657
"20",24,10,5,0.559095621552812,0.0818775475642059,0.0678992063888888
"21",25,10,10,0.59764835950089,0.0782159831042258,0.0672560244047621
"22",26,2,10,0.459125652209209,0.0906861182012439,0.0747906825831052
"23",27,3,6,0.441209857663344,0.0921758154166312,0.0764854228192639
"24",28,3,6,0.387608235049037,0.096495551178992,0.0789195003571426
"25",29,3,6,0.343312660472434,0.0999244903532363,0.0804999764460077
"26",30,3,6,0.378602896,0.0972024547232822,0.0813431825793653
"27",31,5,6,0.463256039328362,0.0903391923226139,0.074810826388889
"28",32,5,6,0.42212509740666,0.0937366733792138,0.0782491428835983
"29",33,5,7,0.437545236860715,0.0924775721734506,0.0763530977380954
"30",34,10,7,0.532943800028203,0.0842708143855247,0.0697497496825396
"31",35,10,3,0.548931912201425,0.0828158896253985,0.0693400472222221
"32",36,10,7,0.567966960487529,0.0810496419141834,0.0681872876190477
"33",37,5,7,0.380453114785446,0.0970576359917446,0.0786101132539683
"34",38,10,7,0.564965553097428,0.0813306875007859,0.0688122419444444
"35",39,6,9,0.32237055274288,0.101505308492497,0.0826886032605821
"36",40,4,9,0.302256683522457,0.103000767957166,0.0833202620767196
"37",41,3,8,0.401832367332441,0.09536830739652,0.0790500652742762
"38",42,4,9,0.437155931007321,0.0925095710424421,0.0751223849074073
"39",43,5,9,0.439357585721311,0.0923284607572734,0.0768046302584453
"40",44,3,3,0.504634224967305,0.0867871884112667,0.0723290289937377
"41",45,3,6,0.472877764793831,0.0895258160124803,0.0730880490413293
