"","n","n.trees","interaction.depth","shrinkage","n.minobsinnode","R2","RMSE","MAE"
"1",2,50,2,0.1,10,-1.25832013870171,0.185304247341421,0.150136504591561
"2",3,50,2,0.1,10,-0.989858275435482,0.173941693051979,0.138940246721399
"3",4,50,2,0.1,10,-0.992679849392426,0.174064972055915,0.138919970330424
"1",5,50,2,0.1,10,-0.962968200175869,0.17276240940171,0.133330159789196
"2",6,50,2,0.1,10,-0.962968200175869,0.17276240940171,0.133330159789196
"3",7,50,2,0.1,10,-0.575338411327683,0.154767423036414,0.12533480282929
"4",8,50,2,0.1,10,-0.436601164224902,0.147795335322025,0.124520471567569
"5",9,50,1,0.1,10,-0.33612076365874,0.14253301658946,0.127236794491366
"6",10,50,1,0.1,10,-0.260781384298614,0.13845623380103,0.123586199703287
"7",11,50,1,0.1,10,-0.0410017380244163,0.125810922691411,0.106928152631439
"8",12,50,1,0.1,10,-0.0410017380244163,0.125810922691411,0.106928152631439
"9",13,50,1,0.1,10,0.0399502124375311,0.120820185473385,0.104841858980725
"10",14,50,1,0.1,10,0.0343076272231282,0.121174718865265,0.104038076416307
"11",15,50,1,0.1,10,0.155476466244968,0.113317894960183,0.0978785947684066
"12",16,50,1,0.1,10,0.359375485382554,0.0986948285652981,0.0906675679457154
"13",17,50,1,0.1,10,0.354018817625854,0.0991065946175919,0.0904609228233689
"14",18,50,1,0.1,10,0.468036774230867,0.0899359705207596,0.0759083479836355
"15",19,50,1,0.1,10,0.468036774230867,0.0899359705207596,0.0759083479836355
"16",20,50,1,0.1,10,0.416037573612493,0.0942291063478431,0.0776100932972589
"17",21,50,2,0.1,10,0.435966080982057,0.0926073018436537,0.0767874993857495
"18",22,50,1,0.1,10,0.449552637619115,0.09148513171205,0.0722403417051759
"19",23,50,1,0.1,10,0.449552637619115,0.09148513171205,0.0722403417051759
"20",24,50,2,0.1,10,0.430213187631682,0.0930783801945902,0.0776377607165458
"21",25,50,2,0.1,10,0.304223458847211,0.102855497969201,0.0845597431113304
"22",26,50,2,0.1,10,0.31104918364896,0.102349736686837,0.0837756934392071
"23",27,50,2,0.1,10,0.48776610419322,0.0882524512372234,0.0722899465686406
"24",28,50,2,0.1,10,0.497674449012461,0.0873947319761632,0.072060172515387
"25",29,50,2,0.1,10,0.503708625831623,0.0868682322187861,0.0746519468969448
"26",30,50,2,0.1,10,0.503708625831623,0.0868682322187861,0.0746519468969448
"27",31,50,2,0.1,10,0.453666522292384,0.091142623829188,0.0793238772106069
"28",32,50,2,0.1,10,0.446422498448275,0.0917448797519153,0.0702439987044206
"29",33,50,2,0.1,10,0.446422498448275,0.0917448797519153,0.0702439987044206
"30",34,50,2,0.1,10,0.446422498448275,0.0917448797519153,0.0702439987044206
"31",35,50,2,0.1,10,0.469267011634797,0.089831915735933,0.0708794277174641
"32",36,50,2,0.1,10,0.431873082641309,0.0929427039893061,0.0757085950977296
"33",37,50,2,0.1,10,0.428636067287927,0.0932071076103678,0.0770971341903047
"34",38,50,2,0.1,10,0.428636067287927,0.0932071076103678,0.0770971341903047
"35",39,50,2,0.1,10,0.435774676482014,0.0926230136210728,0.0764904837971995
"36",40,50,2,0.1,10,0.432760234013414,0.0928701088887632,0.0762701051255831
"37",41,50,2,0.1,10,0.432760234013414,0.0928701088887632,0.0762701051255831
"38",42,50,2,0.1,10,0.432760234013414,0.0928701088887632,0.0762701051255831
"39",43,50,2,0.1,10,0.432760234013414,0.0928701088887632,0.0762701051255831
"40",44,50,2,0.1,10,0.60574191082624,0.0774253052987441,0.0618433270526715
"41",45,50,2,0.1,10,0.60574191082624,0.0774253052987441,0.0618433270526715
"42",46,50,2,0.1,10,0.627724700725182,0.0752358324972892,0.0586962712453878
"43",47,50,2,0.1,10,0.627724700725182,0.0752358324972892,0.0586962712453878
"44",48,50,2,0.1,10,0.610437034992089,0.0769629049108337,0.060070139827227
"45",49,50,2,0.1,10,0.549033110415385,0.0828065991319438,0.0703090674960716
"46",50,50,2,0.1,10,0.54100706679609,0.0835402209733936,0.0723851283297259
"47",51,50,2,0.1,10,0.644154815501615,0.0735568574474853,0.0664505834097076
"48",52,50,2,0.1,10,0.644154815501615,0.0735568574474853,0.0664505834097076
"49",53,50,2,0.1,10,0.670510856722191,0.0707804264148525,0.0638185503249994
"50",54,50,2,0.1,10,0.6289380579617,0.0751131243198062,0.0613548859745547
"51",55,50,2,0.1,10,0.635328705652489,0.0744634938200581,0.0597605807950462
"52",56,50,2,0.1,10,0.622216162316011,0.0757904188515724,0.0614926843297532
"53",57,50,2,0.1,10,0.552138744432165,0.0825209780802901,0.0708594309769937
"54",58,50,2,0.1,10,0.552138744432165,0.0825209780802901,0.0708594309769937
"55",59,50,2,0.1,10,0.574598146986592,0.0804252294906085,0.0691012160263014
"56",60,50,2,0.1,10,0.464748300040604,0.0902135239708505,0.074942981333544
"57",61,50,2,0.1,10,0.464748300040604,0.0902135239708505,0.074942981333544
"58",62,50,2,0.1,10,0.464748300040604,0.0902135239708505,0.074942981333544
"59",63,50,2,0.1,10,0.476179179071736,0.0892450215164748,0.0738392942928406
"60",64,50,2,0.1,10,0.476179179071736,0.0892450215164748,0.0738392942928406
"61",65,50,2,0.1,10,0.476179179071736,0.0892450215164748,0.0738392942928406
"62",66,50,2,0.1,10,0.513078256172957,0.0860443195564136,0.0726477684400678
"63",67,50,2,0.1,10,0.513078256172957,0.0860443195564136,0.0726477684400678
"64",68,50,2,0.1,10,0.513078256172957,0.0860443195564136,0.0726477684400678
"65",69,50,2,0.1,10,0.46508961329702,0.0901847562137066,0.073915264461313
"66",70,50,2,0.1,10,0.482889040704048,0.0886715890098764,0.0721215714012765
"67",71,50,2,0.1,10,0.482889040704048,0.0886715890098764,0.0721215714012765
"68",72,50,2,0.1,10,0.482889040704048,0.0886715890098764,0.0721215714012765
"69",73,50,2,0.1,10,0.482889040704048,0.0886715890098764,0.0721215714012765
"70",74,50,2,0.1,10,0.482889040704048,0.0886715890098764,0.0721215714012765
"71",75,50,2,0.1,10,0.478938617542427,0.0890096439602525,0.0725839669637799
"72",76,50,2,0.1,10,0.446792921253576,0.091714179368819,0.0753615870348764
"73",77,50,2,0.1,10,0.446792921253576,0.091714179368819,0.0753615870348764
"74",78,50,2,0.1,10,0.446792921253576,0.091714179368819,0.0753615870348764
"75",79,50,2,0.1,10,0.446792921253576,0.091714179368819,0.0753615870348764
"76",80,50,2,0.1,10,0.446792921253576,0.091714179368819,0.0753615870348764
"77",81,50,2,0.1,10,0.446792921253576,0.091714179368819,0.0753615870348764
"78",82,50,2,0.1,10,0.446792921253576,0.091714179368819,0.0753615870348764
"79",83,50,2,0.1,10,0.446792921253576,0.091714179368819,0.0753615870348764
"80",84,50,2,0.1,10,0.446792921253576,0.091714179368819,0.0753615870348764
"81",85,50,2,0.1,10,0.433473645602696,0.0928116896267521,0.0772592790360838
"82",86,50,2,0.1,10,0.433473645602696,0.0928116896267521,0.0772592790360838
"83",87,50,2,0.1,10,0.433473645602696,0.0928116896267521,0.0772592790360838
"84",88,50,2,0.1,10,0.433473645602696,0.0928116896267521,0.0772592790360838
"85",89,50,2,0.1,10,0.430938103823304,0.0930191514636039,0.078328004753498
"86",90,50,2,0.1,10,0.430938103823304,0.0930191514636039,0.078328004753498
"87",91,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"88",92,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"89",93,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"90",94,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"91",95,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"92",96,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"93",97,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"94",98,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"95",99,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"96",100,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"97",101,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"98",102,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"99",103,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"100",104,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"101",105,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"102",106,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"103",107,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"104",108,50,2,0.1,10,0.380121987620347,0.0970835695631519,0.08489208821615
"105",109,50,2,0.1,10,0.315418962796431,0.102024635696931,0.0862700450550742
"106",110,50,2,0.1,10,0.315418962796431,0.102024635696931,0.0862700450550742
"107",111,50,2,0.1,10,0.315418962796431,0.102024635696931,0.0862700450550742
"108",112,50,2,0.1,10,0.315418962796431,0.102024635696931,0.0862700450550742
"109",113,50,2,0.1,10,0.315418962796431,0.102024635696931,0.0862700450550742
"110",114,50,2,0.1,10,0.315418962796431,0.102024635696931,0.0862700450550742
"111",115,50,2,0.1,10,0.315418962796431,0.102024635696931,0.0862700450550742
"112",116,50,2,0.1,10,0.315418962796431,0.102024635696931,0.0862700450550742
"113",117,50,2,0.1,10,0.315418962796431,0.102024635696931,0.0862700450550742
"114",118,50,2,0.1,10,0.284370830897657,0.104312568022307,0.0892351298946826
"115",119,50,2,0.1,10,0.284370830897657,0.104312568022307,0.0892351298946826
"116",120,50,2,0.1,10,0.284370830897657,0.104312568022307,0.0892351298946826
