"","n","lm_intercept","k","R2","RMSE","MAE"
"54",63,TRUE,5,0.557300780981471,0.082044032516722,0.0648981481481481
"55",64,TRUE,5,0.548331027999345,0.0828710322961356,0.0664675925925925
"56",65,TRUE,5,0.603177060648433,0.0776767426017781,0.0638679487179487
"57",66,TRUE,5,0.66837534920934,0.0710094294207936,0.0589977777777778
"58",67,TRUE,5,0.663821162360855,0.0714953515194442,0.0593644444444444
"59",68,TRUE,5,0.662361685254878,0.0716503773735895,0.0594511111111111
"60",69,TRUE,5,0.622411631214618,0.0757708089781102,0.0603845238095237
"61",70,TRUE,5,0.689403440158003,0.0687212326401517,0.0570134615384615
"62",71,TRUE,5,0.593722104647731,0.0785966828512936,0.0647519230769231
"63",72,TRUE,5,0.556041797673581,0.0821606113694759,0.0633772727272727
"64",73,TRUE,5,0.503258949539931,0.0869075777949731,0.0704648148148148
"65",74,TRUE,5,0.514121842387572,0.0859520636331575,0.0697907407407407
"66",75,TRUE,5,0.522660642306667,0.085193457166809,0.0675314814814815
"67",76,TRUE,5,0.530283485208241,0.0845104735150907,0.0661601851851852
"68",77,TRUE,5,0.593339042272913,0.0786337268781966,0.0617257575757576
"69",78,TRUE,5,0.672705132157222,0.0705443470197982,0.0590224358974359
"70",79,TRUE,5,0.527368689916801,0.0847722801115355,0.066187962962963
"71",80,TRUE,5,0.672705132157222,0.0705443470197982,0.0590224358974359
"72",81,TRUE,5,0.669920494781069,0.0708438084260558,0.059549358974359
"73",82,TRUE,5,0.666521338289524,0.0712076486470257,0.0600942307692308
"74",83,TRUE,5,0.213237295766495,0.109374102510603,0.0893983333333333
"75",84,TRUE,5,0.564861121259862,0.0813404488007726,0.0632601851851852
"76",85,TRUE,5,0.564861121259862,0.0813404488007726,0.0632601851851852
"77",86,TRUE,5,0.667773771190484,0.0710738069579994,0.0595705128205128
"78",87,TRUE,5,0.677006085259479,0.0700793056675095,0.0562410256410256
"79",88,TRUE,5,0.676909909909506,0.0700897383719565,0.057499358974359
"80",89,TRUE,5,0.678581533504268,0.0699081859126218,0.0561782051282051
"81",90,TRUE,5,0.684668298464667,0.0692430895376423,0.0570108974358975
"82",91,TRUE,5,0.684668298464667,0.0692430895376423,0.0570108974358975
"83",92,TRUE,5,0.6814921811722,0.0695909346141678,0.0581378205128205
"84",93,TRUE,5,0.673234028641247,0.0704873254375372,0.0586282051282051
"85",94,TRUE,5,0.673234028641247,0.0704873254375372,0.0586282051282051
"86",95,TRUE,5,0.580508683761727,0.0798645608013474,0.0648288461538462
"87",96,TRUE,5,0.578501835580663,0.0800553690603236,0.0654673076923077
"88",97,TRUE,5,0.578501835580663,0.0800553690603236,0.0654673076923077
"89",98,TRUE,5,0.512874697798847,0.0860623031562913,0.0726511904761905
"90",99,TRUE,5,0.514015185835739,0.0859614969113915,0.0722972222222222
"91",100,TRUE,5,0.508882377226796,0.086414252836835,0.0728448412698412
"92",101,TRUE,5,0.508882377226796,0.086414252836835,0.0728448412698412
"93",102,TRUE,5,0.506927660362068,0.0865860524694211,0.0731547619047619
