"","n","C","sigma","R2","RMSE","MAE"
"1",2,0.736842105263158,0.1,0.301169860462495,0.10308095507578,0.080268777811284
"2",3,2,0.1,0.289288983534519,0.10395350662899,0.0857455805016851
"3",4,1.57894736842105,0.1,0.305381503881894,0.10276986637994,0.0865988177903538
"1",5,1.15789473684211,0.1,0.44224574147658,0.0920903381321115,0.0721955963351598
"2",6,1.15789473684211,0.1,0.387833093981153,0.0964778338614468,0.0753858076882375
"3",7,2,0.01,0.0694488418984344,0.11894953459276,0.0820318165457606
"4",8,0.947368421052632,0.1,0.511170585656946,0.0862127077583887,0.0649671732921984
"5",9,2,0.01,0.332391465758042,0.100751973108281,0.0671490696890896
"6",10,2,0.01,0.340374472130642,0.100147784819628,0.0672325464645156
"7",11,2,0.01,0.28657969248332,0.104151457976229,0.0695229532911721
"8",12,1.89473684210526,0.01,0.379248454129185,0.0971519506733716,0.0683242777480085
"9",13,2,0.01,0.444116028199101,0.091935807742194,0.0660245998317249
"10",14,2,0.01,0.482252372588468,0.0887261585432313,0.0630371155929384
"11",15,1.68421052631579,0.01,0.535539759150291,0.0840362939828521,0.0586245046571896
"12",16,1.68421052631579,0.01,0.623974731127726,0.0756138123878302,0.0529442195005295
"13",17,1.68421052631579,0.01,0.645379640227031,0.073430156396258,0.0504247205544834
"14",18,1.57894736842105,0.01,0.665354055067361,0.0713321646863296,0.0508923421647705
"15",19,1.36842105263158,0.01,0.684266805251755,0.0692871570810567,0.0490419329820001
"16",20,1.78947368421053,0.01,0.679265839438296,0.0698337283426639,0.0491271889050715
"17",21,1.78947368421053,0.01,0.450321914889024,0.0914211818747445,0.0664148393084192
"18",22,1.68421052631579,0.01,0.491914146272292,0.0878943931177474,0.065199156436298
"19",23,1.68421052631579,0.01,0.514698233260605,0.0859010666026336,0.0631621969747281
"20",24,1.68421052631579,0.01,0.447843857996857,0.0916270224752742,0.0698761710090927
"21",25,1.68421052631579,0.01,0.414678484981516,0.094338694974022,0.0732185791444142
"22",26,1.68421052631579,0.01,0.416497046631321,0.0941920284042701,0.0739799858573193
"23",27,1.68421052631579,0.01,0.335263897457377,0.100534993312327,0.0795181985257383
"24",28,1.15789473684211,0.01,0.43331552487414,0.0928246408584209,0.0744655509674931
"25",29,1.15789473684211,0.01,0.426315523662614,0.0933961919925416,0.07467639999059
"26",30,1.26315789473684,0.01,0.401700798126844,0.0953787951276047,0.0760855929171418
"27",31,1.15789473684211,0.01,0.436695134919076,0.0925474317303003,0.0743150488019551
"28",32,1.05263157894737,0.01,0.472103297348518,0.089591559190017,0.0728942729342316
"29",33,1.15789473684211,0.01,0.452531679510784,0.0912372353587854,0.0749267198059398
"30",34,1.15789473684211,0.01,0.411585129255608,0.0945876509644289,0.0782162110796708
"31",35,1.05263157894737,0.01,0.349716410732387,0.0994360850754908,0.0794722860981204
"32",36,1.15789473684211,0.01,0.292760639170692,0.103699301639136,0.0819440397129888
"33",37,1.15789473684211,0.01,0.293047424487656,0.103678274491764,0.0819820251054562
"34",38,1.15789473684211,0.01,0.288194338409441,0.104033531009036,0.0816284444681512
"35",39,1.05263157894737,0.01,0.130555565929467,0.114977678591652,0.0959490796617468
"36",40,0.947368421052632,0.01,0.189993793442899,0.11097797434263,0.0918714099547543
"37",41,0.842105263157895,0.01,0.264474771319997,0.105752686057751,0.0875732540013417
"38",42,0.842105263157895,0.01,0.292101273997331,0.10374763024074,0.0854795938878486
"39",43,0.842105263157895,0.01,0.289450514524106,0.103941692638053,0.0853547224023615
"40",44,0.842105263157895,0.01,0.257756243060394,0.106234577949355,0.0868041437675942
"41",45,0.947368421052632,0.01,0.150869627988344,0.113626546646931,0.0918490099929369
"42",46,0.947368421052632,0.01,0.164115220541431,0.112736832567168,0.0888522079294082
"43",47,0.947368421052632,0.01,0.160193571095253,0.113000982006891,0.0890248356146933
"44",48,0.947368421052632,0.01,0.167290737854904,0.112522485789188,0.0881789629492922
"45",49,0.947368421052632,0.01,0.162833030482504,0.112823264728363,0.0859462880094715
"46",50,0.947368421052632,0.01,0.130712128006445,0.114967326029771,0.0857639629730863
"47",51,0.947368421052632,0.01,0.143901497352451,0.114091814957686,0.0855608529793353
"48",52,0.947368421052632,0.01,0.1247361595854,0.115361823869614,0.0871269058072365
"49",53,0.947368421052632,0.01,0.129939251820761,0.115018422893017,0.0864763951738944
"50",54,0.947368421052632,0.01,0.105200416126957,0.116642147510624,0.0874811229954024
"51",55,0.947368421052632,0.01,0.142997133870742,0.114152061083385,0.0854145523335251
"52",56,0.947368421052632,0.01,0.167297159957496,0.112522051884839,0.0847024388692632
